Name,Team,Season,FIP,WAR,xFIP,WPA,SIERA,Barrel%,HardHit%,xERA,EV,NameASCII,PlayerId,MLBAMID
Yusmeiro Petit,WSN,2016,4.807851216,-0.147696711,4.440884325,-0.667554043,4.030869996,0.05970149,0.32835821,3.69,88.61792755,Yusmeiro Petit,4020,433589
Cody Martin,SEA,2016,5.679027602,-0.148637578,5.028472682,-0.825371996,4.89871612,0.1097561,0.41463415,6.57,88.50870871,Cody Martin,12182,592533
James Pazos,NYY,2016,10.04656548,-0.155289128,4.245282091,-0.17255801,3.928596231,0.15384615,0.46153846,8.13,85.71161358,James Pazos,13323,572021
Carson Fulmer,CHW,2016,5.975132197,-0.156137079,5.174218442,-0.476050019,4.79590065,0.08823529,0.29411765,7.69,87.68202838,Carson Fulmer,18311,608334
Tom Gorzelanny,CLE,2016,9.813231818,-0.158790931,6.590296677,0.147637993,7.015971137,0.11111111,0.44444444,12.81,89.1422187,Tom Gorzelanny,6244,452733
Drew VerHagen,DET,2016,5.409718732,-0.160252959,5.022687822,-0.527526021,4.491628675,0.05555556,0.34722222,5.24,88.75214419,Drew VerHagen,13424,572403
James Hoyt,HOU,2016,4.919288731,-0.168122515,3.100379046,-0.550830007,2.960878603,0.09433962,0.30188679,3.46,87.83695562,James Hoyt,14605,624586
Adam Loewen,ARI,2016,7.813228533,-0.168249384,7.589762667,0.136712,7.291826727,0.04761905,0.19047619,13.36,88.46489868,Adam Loewen,2134,429400
Sam Freeman,MIL,2016,7.97264774,-0.168998435,6.536613715,-0.103316002,6.172672674,0.07407407,0.25925926,5.78,90.01796312,Sam Freeman,6832,518693
Spencer Patton,CHC,2016,5.021560495,-0.171058252,4.989161298,-0.199951932,4.614882145,0.046875,0.40625,4.97,89.84320068,Spencer Patton,12361,607359
Darwin Barney,TOR,2016,14.14656038,-0.171110094,6.143362623,-0.295511991,6.244515132,0.33333333,0.33333333,5.31,90.90799967,Darwin Barney,2430,446381
Jim Henderson,NYM,2016,4.83227522,-0.17514345,4.754470611,-0.296525955,3.786798827,0.08080808,0.31313131,4.19,88.95288338,Jim Henderson,6653,449104
Paul Clemens,- - -,2016,5.683943919,-0.176477092,5.327399059,-1.300298005,5.068331472,0.08849558,0.42477876,5.28,90.81455578,Paul Clemens,8037,518560
Shawn Morimando,CLE,2016,9.789413001,-0.177290484,6.35947344,-0.111263998,5.822960862,0.11764706,0.35294118,6.87,86.83280945,Shawn Morimando,13606,596049
Kelvin Marte,PIT,2016,12.14656124,-0.177498877,5.845601312,-0.022390001,5.63104259,0.14285714,0.5,13.28,90.66514369,Kelvin Marte,5200,517629
Antonio Bastardo,- - -,2016,4.668728185,-0.178840857,4.721529167,0.857419968,3.959647711,0.05882353,0.2513369,3.72,86.61184914,Antonio Bastardo,8844,455374
