Name,Team,Season,FIP,WAR,xFIP,WPA,SIERA,Barrel%,HardHit%,xERA,EV,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",2023,3.1508736928304044,5.944300174713135,3.536170850632092,1.9351179599761963,3.5332911320929963,0.0512334,0.36242884,3.18,86.93737302820267,"Zack Wheeler",10310,554430
"Spencer Strider","ATL",2023,2.853254623315771,5.51859712600708,2.9242724886054283,1.7842200994491577,2.8581407362289086,0.07951807,0.36144578,3.09,88.50467051630434,"Spencer Strider",27498,675911
"Kevin Gausman","TOR",2023,2.968553873010584,5.295444011688232,3.21527419976286,2.2059082984924316,3.340367661446791,0.0982906,0.43162393,3.85,89.41354562093275,"Kevin Gausman",14107,592332
"Sonny Gray","MIN",2023,2.825692533410114,5.284530162811279,3.6442586753031483,3.008566379547119,3.9499351412851196,0.06862745,0.39019608,3.66,89.13211633663366,"Sonny Gray",12768,543243
"Gerrit Cole","NYY",2023,3.1641312685879797,5.226975440979004,3.597196205609153,4.392210483551025,3.6260404162447184,0.07536765,0.39154412,3.48,89.22226270988806,"Gerrit Cole",13125,543037
"Zac Gallen","ARI",2023,3.26456416902088,5.165846347808838,3.485153228754089,2.869828224182129,3.6684335189806765,0.09233449,0.45993031,4.16,91.48185748686515,"Zac Gallen",19291,668678
"Justin Steele","CHC",2023,3.0185018910176655,4.872097969055176,3.3229785291497724,2.533886194229126,3.6052567474391406,0.05432596,0.36619718,3.5,87.79938616071429,"Justin Steele",17312,657006
"Logan Webb","SFG",2023,3.162447766904478,4.854581832885742,2.9538168780781606,2.7290005683898926,3.161129235048294,0.06935484,0.45483871,3.63,90.7105724897541,"Logan Webb",17995,657277
"Zach Eflin","TBR",2023,3.0073855823468114,4.799571514129639,3.124700686717677,1.5291801691055298,3.301576529589442,0.08979592,0.34897959,3.02,87.45463552494803,"Zach Eflin",13774,621107
"Pablo López","MIN",2023,3.3323599471259366,4.47028112411499,3.283717529460327,1.4530185461044312,3.367610397951726,0.0627451,0.34509804,3,87.05951423267327,"Pablo Lopez",17085,641154
"George Kirby","SEA",2023,3.3442012034148556,4.377768516540527,3.630514826979142,2.4412384033203125,3.7149050934916836,0.075,0.40892857,3.9,89.24765765260324,"George Kirby",25436,669923
"Framber Valdez","HOU",2023,3.4974646019213127,4.341346263885498,3.3856254026143238,2.1279823780059814,3.6990487334250277,0.07948244,0.45101664,4.33,91.50401638862782,"Framber Valdez",17295,664285
"Jordan Montgomery","- - -",2023,3.5624608583405903,4.297833204269409,4.013504443107919,1.7317023128271103,4.232065658820195,0.07513417,0.37745975,3.98,88.33946161684783,"Jordan Montgomery",16511,656756
"Blake Snell","SDP",2023,3.4383736928304036,4.099476337432861,3.622610037525495,3.9717702865600586,4.057019763956012,0.07389163,0.33743842,3.77,87.20345786340852,"Blake Snell",13543,605483
"Aaron Nola","PHI",2023,4.02956707832096,3.880146026611328,3.631651960482608,0.5511742830276489,3.7511549588771955,0.08256881,0.3853211,3.71,89.28110585793358,"Aaron Nola",16149,605400
"Kyle Bradish","BAL",2023,3.2668980677221073,3.782278299331665,3.5307865636247486,2.4841744899749756,3.7574349679759034,0.06873614,0.41906874,3.77,90.01327950613839,"Kyle Bradish",24586,680694
"Jesús Luzardo","MIA",2023,3.5516821674313794,3.708141803741455,3.7184182870242912,1.665484070777893,3.6897505148914003,0.09322034,0.39830508,3.96,89.46332139989293,"Jesus Luzardo",19959,666200
"Dylan Cease","CHW",2023,3.723966913169386,3.6901907920837402,4.075248144743806,-0.2782037854194641,4.099556928388007,0.06224066,0.41493776,4.13,89.9855272620293,"Dylan Cease",18525,656302
"Corbin Burnes","MIL",2023,3.812699597050271,3.4344260692596436,3.8043166448685737,1.6256462335586548,4.021431088589101,0.05294118,0.32156863,3.38,86.40258981299213,"Corbin Burnes",19361,669203
