Name,Team,Season,FIP,WAR,xFIP,WPA,SIERA,Barrel%,HardHit%,xERA,EV,NameASCII,PlayerId,MLBAMID
"Gerrit Cole","HOU",2019,2.639441173090714,7.473671913146973,2.475281412624454,4.3053083419799805,2.6170789869916513,0.05681818,0.35454545,2.43,87.60823977402745,"Gerrit Cole",13125,543037
"Jacob deGrom","NYM",2019,2.6747937894334983,6.939486026763916,3.1119300347771133,4.205755710601807,3.2874872504897974,0.04618474,0.29518072,2.7,86.50300672974414,"Jacob deGrom",10954,594798
"Lance Lynn","TEX",2019,3.127609473598633,6.752039909362793,3.8509735849678814,2.6426279544830322,3.826219987937597,0.0569395,0.32918149,3.48,87.91682070240296,"Lance Lynn",2520,458681
"Max Scherzer","WSN",2019,2.4480520062929525,6.472187042236328,2.8793493789995908,3.4657559394836426,2.9313831877187257,0.06341463,0.35365854,2.77,87.59754107800983,"Max Scherzer",3137,453286
"Justin Verlander","HOU",2019,3.2678211385829,6.4248809814453125,3.1762127172449865,5.192185878753662,2.9516052608763834,0.06813627,0.31462926,2.66,87.2057236493644,"Justin Verlander",8700,434378
"Charlie Morton","TBR",2019,2.8133245546702796,5.983532905578613,3.2830795783619005,3.401790142059326,3.544390066279752,0.04781705,0.32848233,3.26,86.87849849947808,"Charlie Morton",4676,450203
"Stephen Strasburg","WSN",2019,3.252286984875145,5.601249694824219,3.1680882854198797,3.2846200466156006,3.486928343645011,0.05343511,0.33778626,3.09,87.89110100338492,"Stephen Strasburg",10131,544931
"Shane Bieber","CLE",2019,3.3213189650352444,5.501377355307341,3.232283512923817,3.819747948786244,3.3558078796527417,0.07400722,0.41696751,3.8,90.59153839340783,"Shane Bieber",19427,669456
"Zack Greinke","- - -",2019,3.218801807509125,5.338922500610352,3.740818670358462,3.3590819239616394,3.9591838127325794,0.06112054,0.3327674,3.43,87.53879141971983,"Zack Greinke",1943,425844
"Lucas Giolito","CHW",2019,3.4347641863335743,5.161978721618652,3.661685544549848,2.7411441802978516,3.566687232399179,0.07932692,0.34615385,3.48,88.13970755145279,"Lucas Giolito",15474,608337
"Walker Buehler","LAD",2019,3.0055999634958015,5.1241254806518555,3.3688345146173977,2.254530191421509,3.5014240637914393,0.04393305,0.36401674,3.33,89.30554537579957,"Walker Buehler",19374,621111
"Hyun Jin Ryu","LAD",2019,3.099045984862779,4.946580410003662,3.315757478258041,4.330024242401123,3.7703352654241766,0.04135338,0.30827068,3.43,86.59399224806202,"Hyun Jin Ryu",14444,547943
"Patrick Corbin","WSN",2019,3.486286703430781,4.689886569976807,3.5862737444515282,2.6045141220092773,3.8786264536955697,0.08778626,0.38740458,4.06,89.90175743177387,"Patrick Corbin",9323,571578
"Jack Flaherty","STL",2019,3.463585014559552,4.661951541900635,3.642088899878911,3.9703140258789062,3.6823745542977777,0.06889353,0.30271399,3.38,86.5708245243129,"Jack Flaherty",17479,656427
"Zack Wheeler","NYM",2019,3.4802210867354257,4.626984119415283,4.0629704992095785,-0.6712579727172852,4.203260700379582,0.04991394,0.32358003,3.86,87.0256617970123,"Zack Wheeler",10310,554430
"Mike Clevinger","CLE",2019,2.4917872972168804,4.484679698944092,3.0861381012378875,3.322834014892578,3.3139623413218344,0.05498282,0.34020619,3.11,86.43737159385813,"Mike Clevinger",12808,605182
"Sonny Gray","CIN",2019,3.4193326755806,4.4838104248046875,3.645108179483041,2.877861738204956,3.968440714823827,0.06542056,0.32009346,3.56,88.13746510545906,"Sonny Gray",12768,543243
"José Berríos","MIN",2019,3.8529445514172407,4.353603839874268,4.320453727597458,2.049462080001831,4.277128100538087,0.06473595,0.32027257,4.06,86.99086072198276,"Jose Berrios",14168,621244
"Noah Syndergaard","NYM",2019,3.5984951319191625,4.306643486022949,3.831498795830453,-0.4465777277946472,4.01823746103843,0.04585538,0.31216931,3.41,86.82839006696429,"Noah Syndergaard",11762,592789
"Jake Odorizzi","MIN",2019,3.3586635637583226,4.296117782592773,4.327440107880898,2.426849842071533,4.144023235514545,0.06855792,0.36170213,3.91,89.23722627737226,"Jake Odorizzi",6397,543606
"Luis Castillo","CIN",2019,3.696526906738555,4.203364849090576,3.4797733816866856,2.52103590965271,3.9457201536112185,0.04690832,0.32835821,3.33,87.20155902004454,"Luis Castillo",15689,622491
"Mike Minor","TEX",2019,4.246009425317386,4.148629188537598,4.598737266470849,3.324012041091919,4.511706487560456,0.06632653,0.30442177,3.86,86.92233811211341,"Mike Minor",10021,501985
"Kyle Hendricks","CHC",2019,3.6094897016967082,4.104111671447754,4.259407614213599,2.581834077835083,4.382316332510717,0.04638219,0.3135436,3.78,86.53673377403847,"Kyle Hendricks",12049,543294
"Michael Soroka","ATL",2019,3.454467462966804,4.01092529296875,3.847444179365524,3.4533019065856934,4.279473155311845,0.04892368,0.37377691,4.08,88.15774333501005,"Michael Soroka",18383,647336
"Liam Hendriks","OAK",2019,1.8728330051197728,3.851616147905588,3.214345115423203,1.4641440212726593,2.584017955408324,0.05945946,0.38918919,2.27,89.82333577473959,"Liam Hendriks",3548,521230
"Marcus Stroman","- - -",2019,3.718530274848323,3.8452742099761963,3.9922541887761955,1.7607000470161438,4.414173124437614,0.03776978,0.35431655,3.72,88.15376110951834,"Marcus Stroman",13431,573186
"Eduardo Rodriguez","BOS",2019,3.8631897710991385,3.703545331954956,4.099482864032772,1.6110639572143555,4.309605271665333,0.05851064,0.29432624,3.72,86.20144382911393,"Eduardo Rodriguez",13164,593958
"Marco Gonzales","SEA",2019,4.154896175215397,3.6069254875183105,5.112152622133641,0.5184338688850403,5.076993492508855,0.04718417,0.34094368,4.26,88.3466796875,"Marco Gonzales",15467,594835
"Chris Sale","BOS",2019,3.390480051759016,3.596116542816162,2.9335049033122287,0.04110999405384064,2.999147223111435,0.07848837,0.36337209,3.51,88.54017366202346,"Chris Sale",10603,519242
"Clayton Kershaw","LAD",2019,3.8588693071842326,3.555100427940488,3.502066053128965,2.480414055287838,3.7650376995334502,0.06118143,0.32489451,3.64,88.60940544758368,"Clayton Kershaw",2036,477132
"Jose Quintana","CHC",2019,3.7988047973454346,3.487223356962204,4.19774614542897,-0.9009079411625862,4.498827009983353,0.05504587,0.36513761,4.73,90.04999848005836,"Jose Quintana",11423,500779
"James Paxton","NYY",2019,3.864451865752581,3.4722909927368164,4.031977675598091,1.04460608959198,3.933434192791215,0.06666667,0.38461538,3.69,89.21279373368147,"James Paxton",11828,572020
"Aaron Nola","PHI",2019,4.03443777053917,3.4385063648223877,3.823532896642238,1.7732540369033813,4.138366125923184,0.06390977,0.39473684,4.23,89.16152529761905,"Aaron Nola",16149,605400
"Kirby Yates","SDP",2019,1.301921483465845,3.4212727546691895,2.250492628318217,3.9250922203063965,2.0454092122704277,0.02459016,0.36065574,2.22,86.89166666666667,"Kirby Yates",9073,489446
"Germán Márquez","COL",2019,4.058837061914905,3.3346469402313232,3.5384097458302293,1.076035976409912,3.8504925935059884,0.07509881,0.43083004,4.76,91.17727877789046,"German Marquez",15038,608566
"Joe Musgrove","PIT",2019,3.818706166954464,3.294097125530243,4.306384378403131,-0.0930500254034996,4.308833055416734,0.06237817,0.38596491,4.14,88.92011834319527,"Joe Musgrove",12970,605397
"Madison Bumgarner","SFG",2019,3.9026129901425897,3.272519111633301,4.3139462342582,0.4714082181453705,4.145015523659113,0.08503401,0.41666667,4.57,90.42229692944251,"Madison Bumgarner",5524,518516
"Brandon Woodruff","MIL",2019,3.0085300451283317,3.258641004562378,3.3613019660291292,1.7555580139160156,3.5956854827764566,0.03492063,0.3015873,3.48,86.12211413261218,"Brandon Woodruff",16162,605540
"Trevor Bauer","- - -",2019,4.3360751230255525,3.229561984539032,4.334214586978645,0.38292402029037476,4.138298152008476,0.07899461,0.37701975,4.23,88.69781782670455,"Trevor Bauer",12703,545333
"Masahiro Tanaka","NYY",2019,4.268954530653064,3.2254148721694946,4.290949520550587,1.3450560569763184,4.463564106348436,0.05985915,0.37852113,4.41,89.10656175545766,"Masahiro Tanaka",15764,547888
"Matthew Boyd","DET",2019,4.320124613977752,3.185492992401123,3.881401897286389,-0.24725602567195892,3.6132660633136497,0.08536585,0.3495935,3.86,89.28889052672956,"Matthew Boyd",15440,571510
"John Means","BAL",2019,4.414009449866511,3.1512570828199387,5.475202785047091,1.2232060730457306,5.018692000368431,0.06131078,0.30655391,4,87.53562409888009,"John Means",16269,607644
