Name,Team,Season,FIP,WAR,xFIP,WPA,SIERA,Barrel%,HardHit%,xERA,EV,NameASCII,PlayerId,MLBAMID
Chris Sale,BOS,2017,2.453129569,7.621091843,2.649004162,3.731312037,2.576745062,0.05487805,0.30284553,2.68,86.78227881,Chris Sale,10603,519242
Corey Kluber,CLE,2017,2.499701854,7.212139606,2.521766255,4.721086025,2.68195442,0.05307856,0.29087049,2.59,85.31917598,Corey Kluber,2429,446372
Max Scherzer,WSN,2017,2.898503488,6.431716442,3.281608885,4.466095924,2.976355347,0.05156951,0.29147982,2.49,86.49758099,Max Scherzer,3137,453286
Stephen Strasburg,WSN,2017,2.718476222,5.896215916,3.266245041,3.42971611,3.368201702,0.05417607,0.31151242,2.92,87.33421062,Stephen Strasburg,10131,544931
Luis Severino,NYY,2017,3.074881071,5.597612858,3.04292044,2.964048147,3.249950657,0.06048387,0.33266129,3.1,87.21201012,Luis Severino,15890,622663
Carlos Carrasco,CLE,2017,3.102639694,5.374616146,3.240731017,3.423339844,3.345246165,0.06589147,0.34302326,3.71,87.41410873,Carlos Carrasco,6632,471911
Zack Greinke,ARI,2017,3.305909868,4.857717514,3.343653414,3.114069939,3.481877447,0.05545287,0.31608133,3.5,87.32218424,Zack Greinke,1943,425844
Jimmy Nelson,MIL,2017,3.049274681,4.815720081,3.151413839,2.02944994,3.419843327,0.04025424,0.31567797,3.45,85.92519321,Jimmy Nelson,10547,519076
Aaron Nola,PHI,2017,3.270734943,4.546579361,3.381392658,1.529690027,3.6023785,0.04366812,0.30786026,3.3,85.71008943,Aaron Nola,16149,605400
Chris Archer,TBR,2017,3.396445646,4.48557806,3.349335249,-0.516985536,3.436984589,0.05390335,0.39776952,3.73,89.47279655,Chris Archer,6345,502042
James Paxton,SEA,2017,2.606169044,4.412494659,3.250012678,1.519237995,3.45441837,0.0252809,0.31460674,2.76,87.22734709,James Paxton,11828,572020
Clayton Kershaw,LAD,2017,3.071925401,4.347234726,2.837222028,4.177654266,3.036606458,0.05592841,0.2639821,2.92,85.34237404,Clayton Kershaw,2036,477132
Justin Verlander,- - -,2017,3.842105714,4.146909714,4.167442996,3.213022113,4.049665665,0.06137184,0.35740072,4.27,87.61065752,Justin Verlander,8700,434378
Jacob deGrom,NYM,2017,3.500354909,4.144550323,3.229720631,1.784212112,3.4445259,0.0512334,0.28652751,3.15,86.32809472,Jacob deGrom,10954,594798
