Name,Team,Season,FIP,WAR,xFIP,WPA,SIERA,Barrel%,HardHit%,xERA,EV,NameASCII,PlayerId,MLBAMID
"Aaron Nola","PHI",2022,2.5807236845900374,6.3126044273376465,2.769559269780066,2.4007060527801514,2.8024568154976937,0.07116105,0.3164794,2.74,87.69984998811788,"Aaron Nola",16149,605400
"Carlos Rodón","SFG",2022,2.2528804398654554,6.195089340209961,2.9067454417100116,3.177814483642578,2.826217413757532,0.0645933,0.39712919,2.64,89.01348743946731,"Carlos Rodon",16137,607074
"Justin Verlander","HOU",2022,2.4895738588060654,6.031988143920898,3.230781258600099,4.036792278289795,3.086807218791894,0.06278027,0.34753363,2.66,87.81146364795919,"Justin Verlander",8700,434378
"Sandy Alcantara","MIA",2022,2.9856088385869612,5.754610538482666,3.293084572137847,5.083241939544678,3.4171198617216736,0.0516129,0.38548387,2.9,87.84774590163934,"Sandy Alcantara",18684,645261
"Kevin Gausman","TOR",2022,2.3796065315028496,5.67413854598999,2.754864273376801,1.0547484159469604,2.9381444273265833,0.0814664,0.38492872,3.34,88.99886903234086,"Kevin Gausman",14107,592332
"Shohei Ohtani","LAA",2022,2.4015876281692323,5.598513126373291,2.65180317032409,3.40584659576416,2.7331527533206605,0.06329114,0.33164557,2.68,87.12631202290076,"Shohei Ohtani",19755,660271
"Max Fried","ATL",2022,2.7023590479632054,4.9662604331970215,3.090723563349386,4.2953362464904785,3.308323987671246,0.0398482,0.31878558,2.85,86.21551382797271,"Max Fried",13743,608331
"Spencer Strider","ATL",2022,1.8288866358868392,4.892046809196472,2.295808546593041,2.3710421323776245,2.4059747205067152,0.06115108,0.35971223,2.39,88.0085923448741,"Spencer Strider",27498,675911
"Shane Bieber","CLE",2022,2.872431001663208,4.754509925842285,2.9829505360871553,2.6421947479248047,3.212911959733241,0.07207207,0.42882883,3.51,89.89048295454545,"Shane Bieber",19427,669456
"Corbin Burnes","MIL",2022,3.1371834769107334,4.580051898956299,2.8515409662434377,3.1547722816467285,2.9111847501339367,0.05714286,0.34081633,3.05,87.1794056056701,"Corbin Burnes",19361,669203
"Dylan Cease","CHW",2022,3.0961266538371213,4.446528434753418,3.502379676424291,2.9591245651245117,3.4752264847935486,0.06150342,0.31207289,2.7,86.83308431739631,"Dylan Cease",18525,656302
"Max Scherzer","NYM",2022,2.6170181402884367,4.4422078132629395,3.226542998469296,3.1452620029449463,2.8754816009093256,0.08403361,0.33893557,2.87,87.8074600395115,"Max Scherzer",3137,453286
"Framber Valdez","HOU",2022,3.0577952386935467,4.358530521392822,2.994579214985594,1.952986478805542,3.138250230696959,0.05765766,0.41441441,3.31,89.83710793887867,"Framber Valdez",17295,664285
"Logan Webb","SFG",2022,3.0344413982142884,4.19116735458374,3.3146275272518464,2.1205625534057617,3.555797784551915,0.05457746,0.38908451,3.59,88.90920779001799,"Logan Webb",17995,657277
"Zac Gallen","ARI",2022,3.0472136103588605,4.171887397766113,3.31493617369105,4.094451904296875,3.3216105044572792,0.07775378,0.36069114,3.17,87.80102913019694,"Zac Gallen",19291,668678
"Zack Wheeler","PHI",2022,2.890208779440986,4.166671276092529,3.0628150625945696,2.7173421382904053,3.1868084960500123,0.07692308,0.34491315,3.1,85.730146484375,"Zack Wheeler",10310,554430
"Yu Darvish","SDP",2022,3.312773477885755,4.109619617462158,3.5774527251201054,3.592216730117798,3.3852322062534577,0.08952381,0.36952381,3.49,88.50535606971154,"Yu Darvish",13074,506433
"Alek Manoah","TOR",2022,3.3463293188462764,4.0877485275268555,3.9748178928122773,3.557124376296997,3.846280762590954,0.0537037,0.31481481,3.31,87.49227544559099,"Alek Manoah",26410,666201
"Tyler Anderson","LAD",2022,3.308326518474536,4.039698004722595,4.104227052534496,2.007628381252289,4.038682211446776,0.04942966,0.2851711,3.1,84.95740175247192,"Tyler Anderson",12880,542881
"Martín Pérez","TEX",2022,3.265232363856016,3.987985610961914,3.803612988321262,1.9225102663040161,4.076584866938167,0.04332756,0.34662045,3.59,88.20733816964285,"Martin Perez",6902,527048
