Name,Team,Season,FIP,WAR,xFIP,WPA,SIERA,Barrel%,HardHit%,xERA,EV,NameASCII,PlayerId,MLBAMID
Clayton Kershaw,LAD,2015,1.990327299,8.552693367,2.090899323,4.978271961,2.234749835,0.02767528,0.24354244,2.13,85.60988517,Clayton Kershaw,2036,477132
Jake Arrieta,CHC,2015,2.347567602,7.033605099,2.611156891,5.929729939,2.745919552,0.02241379,0.24655172,2.37,85.12285086,Jake Arrieta,4153,453562
David Price,- - -,2015,2.775046111,6.698485374,3.238764463,3.697698116,3.267244442,0.04404568,0.3050571,3.19,87.44123139,David Price,3184,456034
Max Scherzer,WSN,2015,2.766246844,6.515219212,2.883327975,3.248440266,2.625781344,0.05136986,0.29623288,2.61,87.06152694,Max Scherzer,3137,453286
Dallas Keuchel,HOU,2015,2.909455834,5.693697929,2.751952633,3.777748108,2.839080517,0.03271028,0.28037383,2.85,85.74858011,Dallas Keuchel,9434,572971
Chris Sale,CHW,2015,2.73103782,5.61800909,2.599363804,2.25267005,2.518015542,0.04,0.2647619,2.76,85.86986101,Chris Sale,10603,519242
Corey Kluber,CLE,2015,2.971431599,5.570906639,3.04581528,1.50367403,2.982509305,0.05299145,0.31965812,3.31,87.92796847,Corey Kluber,2429,446372
Zack Greinke,LAD,2015,2.760839293,5.31836319,3.222538756,6.758110046,3.272796222,0.04013378,0.27591973,2.65,87.26671273,Zack Greinke,1943,425844
Chris Archer,TBR,2015,2.897744693,5.107626915,3.006463323,1.911429882,3.07903804,0.04570384,0.38939671,3.24,89.58797775,Chris Archer,6345,502042
Gerrit Cole,PIT,2015,2.657632212,5.097633362,3.162022783,2.405216455,3.231995981,0.03819444,0.34722222,3.56,88.23033692,Gerrit Cole,13125,543037
Madison Bumgarner,SFG,2015,2.872525023,4.892143726,3.014458712,2.640929937,2.99988338,0.04414261,0.30050934,3.14,87.5367899,Madison Bumgarner,5524,518516
Jon Lester,CHC,2015,2.918959588,4.862522602,3.063269455,2.346600056,3.187366111,0.04056437,0.28042328,3.14,87.12394639,Jon Lester,4930,452657
Jacob deGrom,NYM,2015,2.704274344,4.860325336,2.92097024,3.157867908,2.99335078,0.03952569,0.29644269,2.76,87.38032298,Jacob deGrom,10954,594798
Carlos Carrasco,CLE,2015,2.839582893,4.811462879,2.658230842,1.743056059,2.740362983,0.03862661,0.33905579,2.87,88.68184669,Carlos Carrasco,6632,471911
Cole Hamels,- - -,2015,3.47268324,4.498921514,3.397557725,1.582130075,3.445267865,0.04047218,0.33220911,3.41,87.73605639,Cole Hamels,4972,430935
Jose Quintana,CHW,2015,3.182059021,4.307998657,3.511385608,1.094944,3.619596814,0.03949447,0.328594,3.91,88.02312349,Jose Quintana,11423,500779
Johnny Cueto,- - -,2015,3.525103212,4.142643929,3.782648688,1.691412032,3.81126179,0.04245283,0.31761006,3.72,86.71117834,Johnny Cueto,6893,456501
Matt Harvey,NYM,2015,3.049086712,4.0476861,3.239482914,2.841302156,3.225692257,0.02857143,0.30285714,2.61,87.86155394,Matt Harvey,11713,518774
Tyson Ross,SDP,2015,2.975430497,3.974600792,3.146444525,0.405464262,3.350700946,0.03082852,0.32947977,3.14,87.43403974,Tyson Ross,7872,475115
Sonny Gray,OAK,2015,3.450901442,3.949494362,3.686710815,3.367276192,3.799004734,0.03993344,0.34442596,3.46,88.90208685,Sonny Gray,12768,543243
Shelby Miller,ATL,2015,3.445282069,3.686624527,4.07394843,0.166621953,4.158358594,0.03442623,0.27540984,3.33,87.12271341,Shelby Miller,10197,571946
Gio González,WSN,2015,3.048204751,3.660577774,3.590231322,-0.355990022,3.773590686,0.04069767,0.3372093,3.8,88.1227838,Gio Gonzalez,7448,461829
Michael Pineda,NYY,2015,3.338987934,3.561232328,2.95322895,-0.499467969,3.092176004,0.05122951,0.34221311,3.38,87.86005076,Michael Pineda,5372,501381
Collin McHugh,HOU,2015,3.580402249,3.538690567,3.910935321,1.433294058,3.909340773,0.03194888,0.28753994,3.38,86.0855673,Collin McHugh,7531,543521
John Lackey,STL,2015,3.564786411,3.507473707,3.767859432,3.225104332,3.898498115,0.05120482,0.32228916,3.59,88.26720492,John Lackey,1507,407793
Stephen Strasburg,WSN,2015,2.811604189,3.476247311,2.691848941,1.023582101,2.759212334,0.04129794,0.33333333,3.03,88.48220553,Stephen Strasburg,10131,544931
Clay Buchholz,BOS,2015,2.674770169,3.314776897,3.301620929,1.624537945,3.345599882,0.01497006,0.31736527,3.17,87.52872314,Clay Buchholz,3543,453329
Carlos Martinez,STL,2015,3.211515832,3.290861409,3.281133129,1.927586172,3.435585784,0.034,0.336,3.46,87.23664721,Carlos Martinez,11682,593372
Francisco Liriano,PIT,2015,3.187165181,3.283431292,3.154413093,0.56917417,3.380454697,0.03853955,0.27991886,3.48,85.80776837,Francisco Liriano,3201,434538
Kyle Hendricks,CHC,2015,3.355815991,3.217654467,3.251190113,0.436378032,3.373607547,0.03071017,0.29174664,3.56,88.02885762,Kyle Hendricks,12049,543294
Nathan Eovaldi,NYY,2015,3.41869098,3.189133406,3.809805186,0.659078181,3.993241629,0.038,0.348,4.02,88.47572715,Nathan Eovaldi,9132,543135
Anthony DeSclafani,CIN,2015,3.669694863,3.145215988,3.967263718,-0.654462099,4.076710626,0.04355401,0.34146341,3.93,88.52836905,Anthony DeSclafani,13050,543101
Justin Verlander,DET,2015,3.493593723,3.139219046,4.151848295,1.409462094,3.952220437,0.03617571,0.27131783,2.76,87.06998442,Justin Verlander,8700,434378
J.A. Happ,- - -,2015,3.406849588,3.1318671,3.690380329,0.774467975,3.821828667,0.04431599,0.37186898,3.82,89.39803244,J.A. Happ,7410,457918
Jordan Zimmermann,WSN,2015,3.753428445,3.08244133,3.816147232,0.38922596,3.82520274,0.04032258,0.32580645,3.93,87.41917117,Jordan Zimmermann,4505,519455
Danny Salazar,CLE,2015,3.614674791,3.029083014,3.482109243,0.552703977,3.391622191,0.06175299,0.36653386,3.77,89.5937893,Danny Salazar,5867,517593
Lance Lynn,STL,2015,3.44157855,2.975368977,3.900070462,1.378219962,4.000805267,0.04109589,0.3072407,3.8,88.84661068,Lance Lynn,2520,458681
Jake Odorizzi,TBR,2015,3.611940178,2.873911381,3.964257878,1.06753397,3.899680741,0.06187625,0.33932136,4.1,88.46477905,Jake Odorizzi,6397,543606
Noah Syndergaard,NYM,2015,3.246927083,2.853304625,2.908691399,0.471165955,2.947562127,0.04466501,0.28039702,2.76,86.15728635,Noah Syndergaard,11762,592789
Kyle Gibson,MIN,2015,3.955511472,2.818833828,3.951178417,0.626468003,4.115814796,0.04635762,0.34271523,4.02,88.34169338,Kyle Gibson,10123,502043
Garrett Richards,LAA,2015,3.861889534,2.807924032,3.796475863,-0.101905927,3.939949376,0.04934211,0.31578947,3.56,87.31200679,Garrett Richards,9784,572070
Wei-Yin Chen,BAL,2015,4.157984103,2.775830507,4.014013781,1.117820144,3.971651515,0.0539629,0.31703204,3.82,87.24760408,Wei-Yin Chen,13071,612672
