Name,Team,Season,FIP,WAR,xFIP,WPA,SIERA,Barrel%,HardHit%,xERA,EV,NameASCII,PlayerId,MLBAMID
"Corbin Burnes","MIL",2021,1.631111966778418,7.468717098236084,2.301181694668924,3.3050739765167236,2.610739581428981,0.03133159,0.30548303,2,85.49289725629974,"Corbin Burnes",19361,669203
"Zack Wheeler","PHI",2021,2.588784108608961,7.2170538902282715,2.837810339867204,3.616490125656128,3.1785661708982538,0.04562044,0.28467153,2.77,84.6249854244403,"Zack Wheeler",10310,554430
"Nathan Eovaldi","BOS",2021,2.7916063239764557,5.727327346801758,3.4832731094819294,1.8595218658447266,3.6026362501294633,0.0626186,0.36242884,3.35,88.04449404761905,"Nathan Eovaldi",9132,543135
"Walker Buehler","LAD",2021,3.155587893830021,5.545984745025635,3.5719495928383873,3.842290163040161,3.727905298451464,0.06788991,0.36880734,3.08,88.24866345699432,"Walker Buehler",19374,621111
"Max Scherzer","- - -",2021,2.9748668306863415,5.36572003364563,3.2359168946594545,4.36692214012146,2.9017099060880205,0.08029197,0.34306569,2.88,87.92308063271605,"Max Scherzer",3137,453286
"Gerrit Cole","NYY",2021,2.9218723508004087,5.186107158660889,2.933213115086212,3.432220220565796,2.93358357177988,0.09772727,0.38636364,3.13,88.72654466324201,"Gerrit Cole",13125,543037
"Julio Urías","LAD",2021,3.1269461488316,5.038454532623291,3.7256832284807886,2.0650484561920166,3.6385987324014777,0.05346535,0.3029703,3.08,85.95184673526423,"Julio Urias",14765,628711
"Carlos Rodón","CHW",2021,2.649933639894437,4.949018478393555,3.171457894443794,2.499176263809204,2.957450895530984,0.06557377,0.36065574,2.68,89.1762890625,"Carlos Rodon",16137,607074
"Jacob deGrom","NYM",2021,1.235251513771389,4.891274929046631,1.6148077757462214,2.8850600719451904,1.743321385873792,0.06626506,0.36746988,1.52,87.71299651731928,"Jacob deGrom",10954,594798
"Kevin Gausman","SFG",2021,3.003367455800375,4.800727844238281,3.275722124582778,2.6876301765441895,3.420783308889135,0.0708502,0.40890688,3.52,89.14970723343686,"Kevin Gausman",14107,592332
"Brandon Woodruff","MIL",2021,2.9581382056765673,4.7425923347473145,3.0503654683793817,3.7883243560791016,3.3060710892670673,0.05816555,0.32438479,3.25,86.17738290148064,"Brandon Woodruff",16162,605540
"Charlie Morton","ATL",2021,3.1754201191714713,4.533352375030518,3.309508819748196,2.2681143283843994,3.5345460790938104,0.04946237,0.32473118,3.32,88.12713381057269,"Charlie Morton",4676,450203
"Dylan Cease","CHW",2021,3.4054466117713047,4.4823784828186035,3.7210930883335385,0.6652238965034485,3.566489343306271,0.09876543,0.38518519,3.63,89.1948046875,"Dylan Cease",18525,656302
"Aaron Nola","PHI",2021,3.369296126306513,4.4191155433654785,3.3734890876406833,-0.8882956504821777,3.2625293290080317,0.07112971,0.37238494,3.35,88.94466008192389,"Aaron Nola",16149,605400
"Sandy Alcantara","MIA",2021,3.4180082028034566,4.284825801849365,3.446059497550878,1.9656363725662231,3.678393871765249,0.06076389,0.39409722,3.47,87.6027617872807,"Sandy Alcantara",18684,645261
"Lance Lynn","CHW",2021,3.3165309377536656,4.2540202140808105,3.8152067110416996,3.1214942932128906,3.721634416971622,0.05741627,0.34449761,2.72,87.66871466708542,"Lance Lynn",2520,458681
"Trevor Rogers","MIA",2021,2.5459739720911014,4.252532482147217,3.538147604151776,1.7944843769073486,3.720128629383343,0.0497076,0.3625731,3.37,87.72878461826348,"Trevor Rogers",22286,669432
"Lucas Giolito","CHW",2021,3.791302814555877,4.1397624015808105,3.752406999010083,1.9061142206192017,3.7191117654720367,0.06666667,0.34193548,3.25,87.66210084606988,"Lucas Giolito",15474,608337
"Logan Webb","SFG",2021,2.7183487137205864,4.085827004164457,2.785994152766368,2.1938900500535965,3.1335774752727508,0.05583756,0.38832487,3.18,88.13374238161697,"Logan Webb",17995,657277
"Frankie Montas","OAK",2021,3.3732426786167733,4.006720542907715,3.6434444662083916,1.3981322050094604,3.785165658313694,0.08678501,0.42209073,3.98,89.316453313253,"Frankie Montas",14309,593423
"José Berríos","- - -",2021,3.472117467804088,4.003082036972046,3.590676702478978,2.098281979560852,3.651366872437419,0.09090909,0.38297872,4.09,88.43860410575049,"Jose Berrios",14168,621244
"Freddy Peralta","MIL",2021,3.1215352754923678,3.978978130966425,3.657525358643014,2.800924204289913,3.4049848627335093,0.05974843,0.31132075,2.66,86.58825468405699,"Freddy Peralta",18679,642547
"Eduardo Rodriguez","BOS",2021,3.322254005438251,3.9198587611317635,3.434226437535708,-0.5522698238492012,3.645583196165625,0.06802721,0.33560091,3.47,86.46187446646614,"Eduardo Rodriguez",13164,593958
"Robbie Ray","TOR",2021,3.692447929314286,3.9077200889587402,3.362566680310958,3.4532978534698486,3.2114522736318776,0.09808102,0.42857143,3.6,90.42270486856223,"Robbie Ray",11486,592662
"Adam Wainwright","STL",2021,3.6643798535544683,3.9013466835021973,3.871912107423431,3.0258824825286865,4.13440011400724,0.06218487,0.3512605,3.84,88.19496100382004,"Adam Wainwright",2233,425794
"Tyler Mahle","CIN",2021,3.8033674558003745,3.8651747703552246,3.7363761309120394,2.0561840534210205,3.8155381509647652,0.06526316,0.33894737,3.73,87.8149382424406,"Tyler Mahle",16358,641816
"Luis Castillo","CIN",2021,3.750851205460168,3.8463573455810547,3.6286877356594713,1.0962260961532593,4.0268814125422026,0.04536862,0.36672968,3.6,87.65927468385215,"Luis Castillo",15689,622491
