Name,Team,Season,BABIP,wOBA,wRC+,Off,Def,BsR,WAR,wRAA,UBR,WPA,Clutch,Barrel%,HardHit%,xBA,xSLG,NameASCII,PlayerId,MLBAMID
"Trea Turner","- - -",2021,0.362255965,0.3861617553308143,142.50758213473318,42.57260347923376,6.841180980205536,7.614636760437861,7.125598155316118,38.36302021515668,3.299999952316284,2.39258474111557,-0.6428962024255291,0.07361963,0.4601227,0.304,0.485,"Trea Turner",16252,607208
"Fernando Tatis Jr.","SDP",2021,0.324041811,0.40267823228129634,157.6987803343458,45.762284766375316,3.8273687958717346,5.656546102836728,6.807224870750922,39.86760508404602,5.099999666213989,4.104684352874756,-0.7973403884349253,0.21276596,0.556231,0.279,0.615,"Fernando Tatis Jr.",19709,665487
"Juan Soto","WSN",2021,0.332467532,0.42023942209839255,163.69397404985946,49.91245050723022,-4.037590980529785,-3.1177585064433515,6.79761205261639,57.255957656952646,0.5,4.0148606300354,-0.9533036453653017,0.13285024,0.52415459,0.305,0.545,"Juan Soto",20123,665742
"Bryce Harper","PHI",2021,0.359133126,0.4308981269751364,170.48425745080436,53.47433577131942,-7.246352851390839,-0.27414523903280497,6.648216872774855,57.72330289826259,-2.4999999403953552,4.5625386238098145,-1.3115459459679393,0.18055556,0.49166667,0.301,0.609,"Bryce Harper",11579,547180
"José Ramírez","CLE",2021,0.255760368,0.37188066832554606,139.77967140015403,36.66932670717164,5.61368752270937,5.693681333446875,6.436105920564182,30.2331257864464,2.4999998807907104,3.7740769386291504,1.2017028609550806,0.1106383,0.42340426,0.283,0.508,"Jose Ramirez",13510,608070
"Vladimir Guerrero Jr.","TOR",2021,0.3125,0.4190476244334374,165.70161871862166,54.80423419641262,-15.553187131881714,-1.3436698250006884,6.346165895408138,60.41976545539616,-0.10000002384185791,3.2180593013763428,-1.0593162795543862,0.15120968,0.55241935,0.311,0.597,"Vladimir Guerrero Jr.",19611,665489
"Carlos Correa","HOU",2021,0.307875894,0.36358570921757377,132.95456314337574,24.68472060418787,16.273742198944092,-1.137737977085635,6.317098466396905,26.030907944982,1,1.8544464111328125,-0.38834996651591447,0.09438202,0.4247191,0.296,0.482,"Carlos Correa",14162,621043
"Bryan Reynolds","PIT",2021,0.345238095,0.3850083169607764,139.8216033903613,33.206479487583984,7.8253419399261475,0.4574447013437748,6.285094220843301,37.72503725589906,2.5999998450279236,2.9629974365234375,-0.030159622952278475,0.1036036,0.40765766,0.294,0.523,"Bryan Reynolds",19326,668804
"Brandon Crawford","SFG",2021,0.334261838,0.37713274529845237,139.67776093736074,26.125836332384576,17.50356101989746,-1.6052411827258766,6.219638594964778,28.48311635158964,-1.5,3.344031810760498,0.8475603002199583,0.11488251,0.4308094,0.259,0.492,"Brandon Crawford",5343,543063
"Cedric Mullins","BAL",2021,0.32150776,0.3716875475734027,135.59351174497044,31.898526303743374,4.6653687953948975,2.4829969538841397,5.997289890744349,31.979189755435463,0.40000009536743164,1.8575340509414673,-0.9750573684214767,0.08074534,0.39130435,0.272,0.447,"Cedric Mullins",17929,656775
"Marcus Semien","TOR",2021,0.275862068,0.367611065589262,130.94209004165356,29.55015909379271,5.069807291030884,2.122403652407229,5.9715631212567715,31.858740653711532,1.399999976158142,1.3206870555877686,-1.3483968970387983,0.09823183,0.41257367,0.249,0.459,"Marcus Semien",12533,543760
"Aaron Judge","NYY",2021,0.332402234,0.38704453784199033,149.9826024255484,38.92539852316684,-5.982848286628723,0.18851914233528078,5.489128743600956,38.032295348534426,-0.4000000134110451,4.649587631225586,0.799647211449785,0.17632242,0.57934509,0.308,0.594,"Aaron Judge",15640,592450
"Nicky Lopez","KCR",2021,0.346698113,0.3286870972372955,104.47418016492274,8.425859590257001,26.706247329711914,5.330835935426876,5.473877272743992,6.666404404174952,4.300000190734863,1.2126463651657104,0.8425995131129358,0.00684932,0.26484018,0.239,0.305,"Nicky Lopez",19339,670032
"Buster Posey","SFG",2021,0.349315068,0.37888653002231315,140.81757252662743,20.368982364828966,17.514921188354492,-3.2222305319737643,5.324299245368092,24.213117508390255,-0.6000000238418579,1.7106412649154663,-0.32038330535057713,0.08064516,0.39032258,0.281,0.469,"Buster Posey",9166,457763
"Tyler O'Neill","STL",2021,0.366197183,0.3838341801082178,142.66600104101735,31.95831462200377,2.8418121337890625,2.79052833491005,5.2939597225752,30.83799578430708,3.299999952316284,2.5731616020202637,-0.8736102060785931,0.17924528,0.52201258,0.276,0.579,"Tyler O'Neill",15711,641933
"Jose Altuve","HOU",2021,0.280412371,0.35684171336694714,128.39714090450926,24.815694923558944,4.409675598144531,1.2431557080708444,5.271776332140671,23.793365260166787,2.9999999403953552,1.8272173404693604,0.05398123819851253,0.06382979,0.344294,0.262,0.421,"Jose Altuve",5417,514888
"Starling Marte","- - -",2021,0.371508379,0.36442603025564047,131.97125607507425,31.21871653713511,2.611777901649475,10.186263994080946,5.183111916772063,21.781631377313673,3.899999976158142,3.7843105792999268,1.0823715232371094,0.08355795,0.393531,0.277,0.438,"Starling Marte",9241,516782
