Name,contract_years,salary,AAV,minor league,catcher,date,new_team,former_team,Age,WAR3,Yrs,career_games,stayed_same_team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,PlayerId,MLBAMID,G_2,PA_2,HR_2,R_2,RBI_2,SB_2,BB%_2,K%_2,AVG_2,OBP_2,SLG_2,GDP_2,CS_2,H_2,OPS_2,G_3,PA_3,HR_3,R_3,RBI_3,SB_3,BB%_3,K%_3,AVG_3,OBP_3,SLG_3,GDP_3,CS_3,H_3,OPS_3
Travis Jankowski,1,1.7,1.7,0,0,2024,TEX,TEX,33,1.7,9,577,1,107,287,1,34,30,19,0.121951219,0.146341463,0.263157894,0.356643356,0.331983805,6,1,65,0.688627161,13768,608671,44,64,0,11,2,3,0.125,0.15625,0.163636363,0.28125,0.163636363,0,0,9,0.444886363,76,157,1,24,10,5,0.140127388,0.184713375,0.251908396,0.363636363,0.351145038,1,0,33,0.714781401
Matt Duffy,1,0.72,0.72,1,0,2024,TEX,KCR,33,1.6,8,704,0,79,209,2,17,16,1,0.057416267,0.18660287,0.2513089,0.306220095,0.324607329,4,0,48,0.630827424,13836,622110,77,247,2,14,16,0,0.06882591,0.202429149,0.25,0.307692307,0.311403508,6,0,57,0.619095815,97,322,5,45,30,8,0.077639751,0.195652173,0.287197231,0.357142857,0.380622837,16,1,83,0.737765694
Jared Walsh,1,0.72,0.72,1,0,2024,TEX,LAA,30,1.2,5,364,0,39,116,4,10,11,0,0.094827586,0.387931034,0.125,0.215517241,0.278846153,1,0,13,0.494363394,18607,665120,118,454,15,41,44,2,0.059471365,0.303964757,0.215130023,0.268722466,0.373522458,6,1,91,0.642244924,144,585,29,70,98,2,0.082051282,0.259829059,0.27735849,0.34017094,0.509433962,7,1,147,0.849604902
Joey Votto,1,0.72,0.72,1,0,2024,TOR,CIN,40,3.4,17,2056,0,65,242,14,26,38,0,0.111570247,0.256198347,0.201923076,0.314049586,0.432692307,2,0,42,0.746741893,4314,458015,91,376,11,31,41,0,0.117021276,0.257978723,0.204968944,0.319148936,0.369565217,8,0,66,0.688714153,129,533,36,73,99,1,0.14446529,0.238273921,0.265625,0.375234521,0.5625,7,0,119,0.937734521
Daniel Vogelbach,1,2,2,0,0,2024,TOR,NYM,31,1.5,8,571,0,104,319,13,33,48,0,0.131661442,0.253918495,0.232727272,0.338557993,0.403636363,6,0,64,0.742194356,14130,596129,130,461,18,47,59,0,0.158351409,0.247288503,0.238341968,0.360086767,0.432642487,11,0,92,0.792729254,93,258,9,30,24,0,0.166666666,0.220930232,0.218604651,0.348837209,0.381395348,6,0,47,0.730232557
Eduardo Escobar,1,0.72,0.72,1,0,2024,TOR,LAA,35,2.6,13,1363,0,100,309,6,32,31,2,0.058252427,0.252427184,0.225694444,0.269480519,0.34375,7,1,65,0.613230519,6153,500871,136,542,20,58,69,0,0.073800738,0.23800738,0.24040404,0.295202952,0.43030303,4,2,119,0.725505982,146,599,28,77,90,1,0.080133555,0.207011686,0.253187613,0.313856427,0.471766848,3,0,139,0.785623275
Justin Turner,1,13,13,0,0,2024,TOR,BOS,39,7.8,15,1539,0,146,626,23,86,96,4,0.081469648,0.175718849,0.275985663,0.345047923,0.455197132,10,1,154,0.800245055,5235,457759,128,532,13,61,81,3,0.093984962,0.167293233,0.277777777,0.34962406,0.438034188,13,0,130,0.787658248,151,612,27,87,87,3,0.099673202,0.160130718,0.277673545,0.361111111,0.470919324,12,0,148,0.832030435
Isiah Kiner-Falefa,2,15,7.5,0,0,2024,TOR,NYY,29,6.5,6,647,0,115,361,6,39,37,14,0.077562326,0.193905817,0.242331288,0.305555555,0.340490797,12,5,79,0.646046352,16512,643396,142,531,4,66,48,22,0.06591337,0.13559322,0.260869565,0.314393939,0.327122153,13,4,126,0.641516092,158,677,8,74,53,20,0.041358936,0.132939438,0.270866141,0.312130177,0.357480314,11,5,172,0.669610491
Kevin Kiermaier,1,10.5,10.5,0,0,2024,TOR,TOR,34,8.2,11,1043,1,129,408,8,58,36,14,0.071078431,0.210784313,0.264864864,0.321867321,0.418918918,9,1,98,0.740786239,11038,595281,63,221,7,28,22,6,0.063348416,0.276018099,0.228155339,0.280542986,0.368932038,2,1,47,0.649475024,122,390,4,54,37,9,0.084615384,0.253846153,0.258620689,0.328205128,0.387931034,4,5,90,0.716136162
Eddie Rosario,1,4,4,1,0,2024,WSN,ATL,32,0.5,9,1030,0,142,516,21,64,74,3,0.065891472,0.236434108,0.255230125,0.304854368,0.449790794,13,4,122,0.754645162,12155,592696,80,270,5,27,24,3,0.062962962,0.251851851,0.212,0.259259259,0.328,3,0,53,0.587259259,111,412,14,42,62,11,0.063106796,0.148058252,0.258575197,0.304878048,0.4353562,4,3,98,0.740234248
Jesse Winker,1,1.5,1.5,0,0,2024,WSN,MIL,30,1.9,7,610,0,61,197,1,16,23,0,0.131979695,0.258883248,0.19879518,0.319796954,0.246987951,0,0,33,0.566784905,13590,608385,136,547,14,51,53,0,0.153564899,0.188299817,0.219298245,0.34369287,0.344298245,8,0,100,0.687991115,110,485,24,77,71,1,0.10927835,0.154639175,0.304964539,0.393814432,0.555555555,14,0,129,0.949369987
Joey Gallo,1,5,5,0,0,2024,WSN,MIN,30,5.4,9,863,0,111,332,21,39,40,1,0.144578313,0.427710843,0.177304964,0.301204819,0.439716312,3,1,50,0.740921131,14128,608336,126,410,19,48,47,3,0.136585365,0.397560975,0.16,0.280487804,0.357142857,0,0,56,0.637630661,153,616,38,90,77,6,0.180194805,0.34577922,0.19879518,0.35064935,0.457831325,6,0,99,0.808480675
Travis Blankenhorn,1,0.72,0.72,1,0,2024,WSN,WSN,27,-0.4,4,36,1,10,37,1,2,1,0,0.162162162,0.162162162,0.161290322,0.297297297,0.258064516,0,0,5,0.555361813,18395,663905,1,3,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,24,24,1,4,4,0,0.041666666,0.333333333,0.173913043,0.208333333,0.391304347,0,0,4,0.59963768
Nick Senzel,1,2,2,0,0,2024,WSN,CIN,29,-1.5,5,377,0,104,330,13,49,42,6,0.078787878,0.224242424,0.235880398,0.296969696,0.398671096,9,2,71,0.695640792,19293,669222,110,420,5,45,25,8,0.071428571,0.18095238,0.230563002,0.29584352,0.305630026,7,5,86,0.601473546,36,124,1,18,8,2,0.096774193,0.129032258,0.252252252,0.322580645,0.315315315,3,5,28,0.63789596
