Name,Team,Season,BABIP,wOBA,wRC+,Off,Def,BsR,WAR,wRAA,UBR,WPA,Clutch,Barrel%,HardHit%,xBA,xSLG,NameASCII,PlayerId,MLBAMID
"Alex Bregman","HOU",2019,0.280821917,0.4184302281328412,167.2945410107893,58.17969798365876,2.5595279932022095,-1.1665005069226027,8.32930004866952,58.74565904470429,-3.4000000953674316,4.321380138397217,-1.1140894645237678,0.04592902,0.37160752,0.263,0.453,"Alex Bregman",17678,608324
"Cody Bellinger","LAD",2019,0.302211302,0.4149256520241452,160.62181817164873,54.21823809124866,5.847859859466553,1.4298310605809093,7.880175790864575,54.19209865030238,-0.10000002384185791,5.408937931060791,-0.7257925987684519,0.12555066,0.45594714,0.319,0.635,"Cody Bellinger",15998,641355
"Mike Trout","LAA",2019,0.297734627,0.4364301597909309,176.56422379657047,61.284952063990424,-2.42087721824646,2.571027143858373,7.830235672857318,60.41879061417807,3.6999998092651367,5.169490337371826,-1.1729702620000086,0.17514124,0.43785311,0.31,0.678,"Mike Trout",10155,545361
"Anthony Rendon","WSN",2019,0.322580645,0.4126485417068565,154.77797651899814,45.879557654678436,3.3060742616653442,-0.8083237549290061,6.779978798378557,51.77100849100164,0.8999999761581421,4.945283889770508,0.5287482326736725,0.10897436,0.46581197,0.31,0.59,"Anthony Rendon",12861,543685
"Christian Yelich","MIL",2019,0.354545454,0.44159413070966164,174.11236108167284,63.864412958476805,-15.156704425811768,7.151192885823548,6.528950022161405,60.99383254137274,3.200000047683716,7.34187650680542,0.48542867173253423,0.15775401,0.48663102,0.314,0.629,"Christian Yelich",11477,592885
"Marcus Semien","OAK",2019,0.294455066,0.3725865506485805,137.67703677456774,35.88611193668319,3.7384464740753174,-0.08561761770397425,6.479205778046364,33.996592946501806,4.199999928474426,2.3304758071899414,-0.8972973093434904,0.07374101,0.37589928,0.272,0.495,"Marcus Semien",12533,543760
"Rafael Devers","BOS",2019,0.339357429,0.3769256896003866,132.32607459015875,27.253220231145953,13.632208824157715,-1.7505236603319645,6.4432036966956705,34.581668172836636,2.799999952316284,1.9303942918777466,-1.1316146799884523,0.08097928,0.48399247,0.298,0.526,"Rafael Devers",17350,646240
"Ketel Marte","ARI",2019,0.342163355,0.40473624273610953,149.85578505795033,45.105866449870604,0.04431271553039551,3.7972293393686414,6.332221904639719,46.03327777794047,2.9000000953674316,3.307450294494629,-0.61472938356783,0.09072165,0.4,0.3,0.525,"Ketel Marte",13613,606466
"Nolan Arenado","COL",2019,0.311688311,0.3915574364764716,129.53253837633753,24.758560657656055,17.156184196472168,-1.035779932513833,6.123376208322015,40.98407969825552,3.2999999076128006,3.6611080169677734,0.3654551104558532,0.06759443,0.37574553,0.27,0.48,"Nolan Arenado",9777,571448
"George Springer","HOU",2019,0.305135951,0.40047988784205807,155.15424580794243,41.42878570845685,1.2187130451202393,2.234954258427024,6.1002102335782515,38.709918505236125,2,2.0665931701660156,-0.5671097972471406,0.12162162,0.43243243,0.283,0.578,"George Springer",12856,543807
"Francisco Lindor","CLE",2019,0.29113924,0.34933322362648034,117.93282604692672,15.508833600034105,23.222797870635986,0.5192191377282143,6.064978109399842,16.61839536373793,-2.200000047683716,0.7199276685714722,-0.07923106702993998,0.07100592,0.40828402,0.273,0.464,"Francisco Lindor",12916,596019
"Trevor Story","COL",2019,0.361256544,0.380253602455302,122.12659054944977,21.486303227815874,19.585984230041504,2.3356319218873978,6.02294939476644,34.20273906258131,2.5999999046325684,0.9009445905685425,-0.7058517425410152,0.07673861,0.46043165,0.26,0.464,"Trevor Story",12564,596115
"Xander Bogaerts","BOS",2019,0.337634408,0.3895118071258753,140.8384024759768,36.69748098700007,-0.5326638221740723,0.2650503860786557,5.970615335437172,41.97857183794191,-0.10000002384185791,4.089319705963135,1.3568289421160515,0.08032129,0.4437751,0.274,0.477,"Xander Bogaerts",12161,593428
"Mookie Betts","BOS",2019,0.308823529,0.3803322583436966,134.63002813658872,34.46070257005207,0.7692060470581055,3.2127530612051487,5.907981800149553,36.85765683454387,4.300000384449959,3.841033458709717,0.9960784060559846,0.09306931,0.47326733,0.311,0.577,"Mookie Betts",13611,605141
"J.T. Realmuto","PHI",2019,0.309045226,0.33972870444847364,107.35131428082538,11.083611209164875,30.729103088378906,5.332055285573006,5.899556635640514,10.145123202573078,4.000000178813934,1.0535342693328857,-0.6228658411030059,0.06603774,0.41037736,0.273,0.469,"J.T. Realmuto",11739,592663
"DJ LeMahieu","NYY",2019,0.348979591,0.3747621643433877,136.0254966079629,28.748713401735216,6.729264736175537,-1.4101697728037834,5.752479624452055,31.041405936360746,0.6000000238418579,2.969869375228882,0.3384612296093299,0.0696325,0.48742747,0.317,0.524,"DJ LeMahieu",9874,518934
"Yasmani Grandal","MIL",2019,0.279202279,0.36083874768680996,121.20375040254218,14.719964141362592,24.049007177352905,-2.960571790114045,5.724830178635788,22.344927449115797,-4.800000190734863,1.693634033203125,-0.19750689968677082,0.10290237,0.4116095,0.241,0.475,"Yasmani Grandal",11368,518735
"Javier Báez","CHC",2019,0.344827586,0.34710139335269996,112.3413430171423,10.504273218785459,28.996542930603027,1.3696434861049056,5.575802758181025,13.172936758709186,3.400000214576721,0.4549837112426758,-0.5031090932800332,0.12466844,0.43236074,0.26,0.5,"Javier Baez",12979,595879
"Juan Soto","WSN",2019,0.311518324,0.39400750825681335,142.56490607654976,37.335001057067416,-1.124197006225586,0.3263924401253462,5.56006492654039,42.19402772938599,-2.6999999284744263,3.5693390369415283,-0.44649660197480134,0.11298077,0.47836538,0.285,0.575,"Juan Soto",20123,665742
"Matt Chapman","OAK",2019,0.270471464,0.3543069247879199,125.31403693439424,20.24399214340942,11.79509425163269,-1.4330584313720465,5.471290381195456,19.90550903892713,0.699999988079071,3.6694748401641846,1.4473708686094287,0.10933941,0.48063781,0.251,0.502,"Matt Chapman",16505,656305
"Josh Donaldson","ATL",2019,0.292479108,0.37736235343520863,131.01182498796396,25.132611708673892,7.652291297912598,-1.8310209941118956,5.227314908975199,32.71216216679221,-2.9000000059604645,2.0642037391662598,-1.233204142120739,0.15151515,0.50505051,0.262,0.53,"Josh Donaldson",5038,518626
"Yoán Moncada","CHW",2019,0.405970149,0.3794245002724284,139.26026618538273,28.001715250260034,4.935157060623169,-0.0480367885902524,5.1676035631126,28.744694677128294,0.2999999523162842,2.2780802249908447,-0.4160063777785181,0.10803324,0.47922438,0.282,0.518,"Yoan Moncada",17232,660162
"Jose Altuve","HOU",2019,0.302564102,0.3739447178526814,137.20780068711292,25.526998414464767,5.760378122329712,-0.5332491658627987,4.968655247363876,25.583297411717947,-0.5,0.6145626902580261,-0.41618671778999616,0.07819905,0.33649289,0.268,0.484,"Jose Altuve",5417,514888
"Ronald Acuña Jr.","ATL",2019,0.336683417,0.36889346095465,125.46324954488173,30.42909088143036,-3.377470016479492,6.408397941850126,4.844061957178006,30.257716561377794,4.5999999940395355,4.498187065124512,1.1253812545458652,0.12895928,0.47058824,0.279,0.574,"Ronald Acuna Jr.",18401,660670
"Carlos Santana","CLE",2019,0.29330254,0.3796459741514585,138.43414991165827,34.72591477831382,-10.762285113334656,1.0278179226443172,4.743283572737434,35.40657345870066,1.7000000476837158,3.2310874462127686,0.3084376345836124,0.09421842,0.44753747,0.266,0.48,"Carlos Santana",2396,467793
"Jeff McNeil","NYM",2019,0.336561743,0.3844523276902933,144.12829736283746,30.250818959527535,0.3568844795227051,-2.7607293035835028,4.730635673333303,31.62031320212118,-2.299999952316284,1.6210379600524902,-1.380660311509683,0.04357798,0.36697248,0.283,0.465,"Jeff McNeil",15362,643446
"Pete Alonso","NYM",2019,0.28021978,0.3841176861585314,143.90904982962908,40.751731468511046,-14.349258661270142,0.6047463091090322,4.712808621908756,38.44658675152552,-2.0999999046325684,3.7836320400238037,-0.9252909328781889,0.14628297,0.42206235,0.257,0.551,"Pete Alonso",19251,624413
"Nelson Cruz","MIN",2019,0.350877192,0.4173317082459107,164.02159808158166,40.18559816300235,-12.314814567565918,-2.445666148327291,4.541728748120335,43.86250185693912,-2.799999952316284,3.216717004776001,-0.39187822126179483,0.18654434,0.51376147,0.29,0.637,"Nelson Cruz",2434,443558
"Tim Anderson","CHW",2019,0.399463806,0.3631293819677876,128.23944187904743,20.743530645540776,6.9091795682907104,2.047481215558946,4.509983267646066,19.340021320192935,1.2999999523162842,1.8701560497283936,0.5645685483659031,0.04859335,0.37851662,0.283,0.45,"Tim Anderson",15172,641313
"Freddie Freeman","ATL",2019,0.31797235,0.38708458808025076,137.38155426805582,33.84158080950595,-10.64835011959076,-0.28785528987646103,4.398002056964257,40.16582819208718,0.699999988079071,4.64900541305542,0.7462860512647156,0.11652542,0.42372881,0.294,0.569,"Freddie Freeman",5361,518692
"Trea Turner","WSN",2019,0.347826086,0.3557595131258485,117.5059167201515,20.338841728475636,6.667102217674255,7.1968016270548105,4.387005200071148,17.619283614289706,2.0999998822808266,2.3089232444763184,1.0732247156521573,0.06097561,0.4195122,0.279,0.455,"Trea Turner",16252,607208
"Max Muncy","LAD",2019,0.283387622,0.37249012686768357,132.81927925195404,25.729216632126253,0.6358706951141357,0.22511692438274622,4.386763022094002,26.756788137993198,2.4000000953674316,4.8225507736206055,1.062044464363165,0.11111111,0.42982456,0.261,0.51,"Max Muncy",13301,571970
"Kris Bryant","CHC",2019,0.330623306,0.3794689480727318,133.54763648284256,28.87126439019888,-3.9579087495803833,0.8093787860125303,4.385265852743406,32.62567643217593,3.2999998554587364,3.3503942489624023,0.7072363923496288,0.0875,0.3375,0.247,0.463,"Kris Bryant",15429,592178
"Eugenio Suárez","CIN",2019,0.311953352,0.3807144797319337,130.48772739733005,22.605552464511497,1.0398632287979126,-4.023070320487022,4.348917600020882,34.77930159845601,-6.300000369548798,2.9892656803131104,-1.0736442767279133,0.12755102,0.4005102,0.247,0.5,"Eugenio Suarez",12552,553993
"Austin Meadows","TBR",2019,0.330601092,0.3796176519149389,143.8846563117791,31.565822392095107,-9.479387283325195,-1.5826989896595478,4.226413213177683,30.488861876864213,-2.5,2.602802276611328,-1.1965198329398605,0.11528822,0.42857143,0.282,0.545,"Austin Meadows",15672,640457
"Ozzie Albies","ATL",2019,0.324803149,0.3537985326229841,115.5734854643437,20.09485473292887,0.8605278730392456,5.670758953318,4.211646323308402,20.547718971921203,1.6000001430511475,1.4328826665878296,-0.6919421035181146,0.06203008,0.34022556,0.282,0.482,"Ozzie Albies",16556,645277
"Michael Conforto","NYM",2019,0.29032258,0.3582764546941636,126.97861616887052,24.466300357240655,-2.2729244232177734,1.4009349709376693,4.164482320473813,21.475382459457435,0.5000000596046448,1.7967116832733154,-1.2180444486725597,0.10864198,0.39012346,0.262,0.507,"Michael Conforto",16376,624424
"Aaron Judge","NYY",2019,0.360189573,0.38221578711298254,141.06658102684742,22.913391156953125,3.6947269439697266,-0.5483397468924522,4.15849775005782,24.0640021626766,1.399999976158142,2.7405786514282227,0.8859399229266032,0.19665272,0.58158996,0.278,0.582,"Aaron Judge",15640,592450
"Roberto Pérez","CLE",2019,0.285123966,0.3255884586548319,101.87360646622356,-1.3083732527371241,26.595406532287598,-2.3835718678310513,4.037226774417216,2.193428928156595,-3.3000000715255737,0.9286243915557861,1.2741231605173888,0.10622711,0.41025641,0.222,0.444,"Roberto Perez",2900,547379
"Yuli Gurriel","HOU",2019,0.289029535,0.36429392705198194,130.6807127676951,22.975068518717954,-3.8145625591278076,-1.0232517952099442,4.016175878693557,23.465667935845623,-2.0999998822808266,2.0927677154541016,-0.12875126733890818,0.03168317,0.37425743,0.28,0.415,"Yuli Gurriel",19198,493329
"Mark Canha","OAK",2019,0.308243727,0.38558593332286806,146.46886693288832,29.21993584035007,-6.1265480518341064,-0.29775980953127146,3.9931950515616172,28.20358200313566,-0.5000000223517418,1.26289963722229,-1.424452044648046,0.08852459,0.40655738,0.245,0.465,"Mark Canha",11445,592192
"Mitch Garver","MIN",2019,0.276923076,0.40444257598069383,155.30433322345436,24.059844194964565,3.3719895482063293,-1.3158299000933766,3.928611202140393,26.224070023798443,-1.600000023841858,0.9468701481819153,-1.026448117060458,0.15044248,0.5,0.255,0.573,"Mitch Garver",15161,641598
"Justin Turner","LAD",2019,0.303523035,0.3698478160548384,131.08811299582322,19.061481198713423,3.5441713333129883,-3.4566512778401375,3.897612074847331,23.685748687431456,-1.9000000357627869,0.37255552411079407,-3.10120543582646,0.07323232,0.42424242,0.286,0.516,"Justin Turner",5235,457759
"J.D. Martinez","BOS",2019,0.342364532,0.3861450111663323,138.5613483268925,31.164624760056626,-14.968921661376953,-1.215726767666638,3.886678878897061,37.600716560276936,-2.799999952316284,0.3500913381576538,-3.0482627192999576,0.10835214,0.48081264,0.306,0.575,"J.D. Martinez",6184,502110
"Bryce Harper","PHI",2019,0.313186813,0.36547490532458626,124.21948662588713,20.2657512623053,-2.2281246185302734,-1.5271460013464093,3.866248512397024,26.845870087033134,-3.4000000953674316,4.7109599113464355,1.3880570845006819,0.13533835,0.45614035,0.273,0.547,"Bryce Harper",11579,547180
"Max Kepler","MIN",2019,0.244274809,0.3550047258402677,121.8681930068228,15.788660525682548,2.302150011062622,-0.8693501763045788,3.855934748811636,18.066489736887792,-0.5,2.483307361602783,0.5539936387577908,0.08391608,0.41724942,0.259,0.458,"Max Kepler",12144,596146
"Carlos Correa","HOU",2019,0.303191489,0.38040165366413436,141.57479906079405,16.983811844477867,11.010267734527588,-0.07305150013417006,3.849403788397808,16.777481950225745,1,1.0002238750457764,0.059508380866225785,0.12440191,0.40191388,0.282,0.552,"Carlos Correa",14162,621043
