Name,contract_years,salary,AAV,minor_league ,catcher ,date,new_team,former_team,Age,WAR3,Yrs,career_games,stayed_same_team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,PlayerId,MLBAMID,G_2,PA_2,HR_2,R_2,RBI_2,SB_2,BB%_2,K%_2,AVG_2,OBP_2,SLG_2,GDP_2,CS_2,H_2,OPS_2,G_3,PA_3,HR_3,R_3,RBI_3,SB_3,BB%_3,K%_3,AVG_3,OBP_3,SLG_3,GDP_3,CS_3,H_3,OPS_3
Willson Contreras,5,87.5,17.5,0,1,2023,STL,CHC,31,8.9,7,734,0,113,487,22,65,55,4,0.092402464,0.211498973,0.242788461,0.349075975,0.466346153,14,2,101,0.815422128,11609,575929,128,483,21,61,57,5,0.107660455,0.285714285,0.237288135,0.339544513,0.438256658,11,4,98,0.777801171,105,409,24,57,64,1,0.092909535,0.249388753,0.272222222,0.354523227,0.533333333,4,2,98,0.88785656
Ben Gamel,1,0.72,0.72,1,0,2023,TBR,PIT,31,-0.6,7,679,0,115,423,9,42,46,5,0.113475177,0.231678486,0.231805929,0.323877068,0.369272237,5,1,86,0.693149305,12160,592325,122,400,8,43,26,3,0.1275,0.2625,0.247058823,0.346733668,0.388235294,7,6,84,0.734968962,134,356,7,47,33,2,0.11235955,0.292134831,0.247588424,0.337078651,0.372990353,0,2,77,0.710069004
Charlie Culberson,1,0.72,0.72,1,0,2023,TBR,TEX,34,0.9,10,585,0,70,124,2,19,12,2,0.04032258,0.25,0.252173913,0.283333333,0.356521739,5,3,29,0.639855072,3298,518586,91,271,5,23,22,7,0.062730627,0.236162361,0.242914979,0.295880149,0.380566801,3,1,60,0.67644695,108,144,5,14,20,0,0.041666666,0.305555555,0.259259259,0.293706293,0.437037037,5,1,35,0.73074333
Robbie Grossman,1,2,2,0,0,2023,TEX,ATL,33,4.5,10,1011,0,129,477,7,40,45,6,0.117400419,0.270440251,0.209245742,0.310272536,0.311435523,3,2,86,0.621708059,5254,543257,156,671,23,88,67,20,0.14605067,0.230998509,0.238779174,0.357249626,0.414721723,8,5,133,0.771971349,138,482,6,57,38,9,0.122406639,0.178423236,0.24047619,0.334024896,0.347619047,7,4,101,0.681643943
Sandy Leon,1,0.72,0.72,1,1,2023,TEX,MIN,34,-1.5,11,533,0,34,86,0,6,4,0,0.15116279,0.313953488,0.169014084,0.297619047,0.211267605,2,0,12,0.508886652,5273,506702,84,220,4,15,14,0,0.054545454,0.295454545,0.183168316,0.237442922,0.267326732,2,0,37,0.504769654,65,191,5,14,19,0,0.068062827,0.246073298,0.191860465,0.251336898,0.296511627,0,0,33,0.547848525
Travis Jankowski,1,1.25,1.25,0,0,2023,TEX,NYM,32,0,8,470,0,44,64,0,11,2,3,0.125,0.15625,0.163636363,0.28125,0.163636363,0,0,9,0.444886363,13768,608671,76,157,1,24,10,5,0.140127388,0.184713375,0.251908396,0.363636363,0.351145038,1,0,33,0.714781401,25,24,0,4,0,2,0.083333333,0.166666666,0.181818181,0.25,0.181818181,0,2,4,0.431818181
Elier Hernandez,1,0.25,0.25,1,0,2023,TEX,TEX,28,-0.4,1,14,1,14,35,0,4,3,0,0.028571428,0.428571428,0.181818181,0.2,0.242424242,1,0,6,0.442424242,13750,609274,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brandon Belt,1,9.3,9.3,0,0,2023,TOR,SFG,35,5.1,12,1310,0,78,298,8,25,23,1,0.124161073,0.27181208,0.212598425,0.325503355,0.3503937,9,0,54,0.675897055,10264,474832,97,381,29,65,59,3,0.125984251,0.270341207,0.273846153,0.377952755,0.596923076,9,2,89,0.974875831,156,616,17,76,57,4,0.134740259,0.206168831,0.233840304,0.339285714,0.403041825,6,3,123,0.742327539
Kevin Kiermaier,1,9,9,0,0,2023,TOR,TBR,33,6.1,10,914,0,63,221,7,28,22,6,0.063348416,0.276018099,0.228155339,0.280542986,0.368932038,2,1,47,0.649475024,11038,595281,122,390,4,54,37,9,0.084615384,0.253846153,0.258620689,0.328205128,0.387931034,4,5,90,0.716136162,129,480,14,60,55,19,0.054166666,0.216666666,0.228187919,0.277661795,0.39821029,8,5,102,0.675872085
Vinny Capra,1,0.72,0.72,1,0,2023,TOR,TOR,26,0.1,1,8,1,8,7,0,2,0,0,0.285714285,0.142857142,0.2,0.428571428,0.2,0,0,1,0.628571428,25040,681962,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Corey Dickerson,1,2.25,2.25,0,0,2023,WSN,STL,34,0.4,10,1033,0,97,297,6,28,36,0,0.04040404,0.161616161,0.266903914,0.299663299,0.398576512,4,0,75,0.698239811,10762,572816,109,365,6,43,29,6,0.06849315,0.186301369,0.270833333,0.326027397,0.407738095,8,5,91,0.733765492,78,279,12,33,59,1,0.05734767,0.200716845,0.303846153,0.340501792,0.565384615,4,0,79,0.905886407
Dominic Smith,1,2,2,0,0,2023,WSN,NYM,28,0.9,6,447,0,58,152,0,11,17,0,0.078947368,0.243421052,0.19402985,0.276315789,0.283582089,0,0,26,0.559897878,15653,642086,145,493,11,43,58,2,0.064908722,0.227180527,0.244394618,0.304259634,0.363228699,13,1,109,0.667488333,89,197,11,35,25,1,0.0964467,0.223350253,0.282485875,0.355329949,0.525423728,5,2,50,0.880753677
Jeimer Candelario,1,5,5,0,0,2023,WSN,DET,29,6.2,7,606,0,124,467,13,49,50,0,0.059957173,0.23340471,0.216783216,0.271948608,0.361305361,9,1,93,0.633253969,13621,600869,149,626,16,75,67,0,0.103833865,0.215654952,0.271095152,0.351437699,0.443447037,10,0,151,0.794884736,94,386,8,33,32,3,0.111398963,0.256476683,0.202985074,0.305699481,0.337313432,3,1,68,0.643012913
