Name,contract_years,salary,AAV,minor_league ,catcher ,date,new_team,former_team,Age,WAR3,Yrs,career_games,stayed_same_team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,PlayerId,MLBAMID,G_2,PA_2,HR_2,R_2,RBI_2,SB_2,BB%_2,K%_2,AVG_2,OBP_2,SLG_2,GDP_2,CS_2,H_2,OPS_2,G_3,PA_3,HR_3,R_3,RBI_3,SB_3,BB%_3,K%_3,AVG_3,OBP_3,SLG_3,GDP_3,CS_3,H_3,OPS_3
Jermaine Palacios,1,0.72,0.72,1,0,2023,DET,DET,26,-0.6,1,30,1,30,77,2,8,6,0,0.051948051,0.35064935,0.142857142,0.184210526,0.228571428,2,0,10,0.412781954,18371,650339,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Michael Brantley,1,12,12,0,0,2023,HOU,HOU,36,5.5,14,1430,1,64,277,5,28,26,1,0.111913357,0.108303249,0.288065843,0.369565217,0.41563786,1,1,70,0.785203077,4106,488726,121,508,8,68,47,1,0.064960629,0.104330708,0.311300639,0.362204724,0.437100213,11,0,146,0.799304937,148,637,22,88,90,3,0.080062794,0.103610675,0.311304347,0.372056514,0.502608695,21,2,179,0.874665209
Jose Abreu,3,58.5,19.5,0,0,2023,HOU,CHW,36,10.2,9,1270,0,157,679,15,85,75,0,0.091310751,0.162002945,0.304492512,0.37849779,0.44592346,19,0,183,0.82442125,15676,547989,152,659,30,86,117,1,0.092564491,0.216995447,0.261484098,0.350531107,0.480565371,28,0,148,0.831096478,159,693,33,85,123,2,0.051948051,0.219336219,0.283911671,0.33044733,0.503154574,24,2,180,0.833601904
Jackie Bradley Jr.,1,0.9,0.9,0,0,2023,KCR,TOR,33,0.9,10,1138,0,132,370,4,30,38,2,0.064864864,0.208108108,0.203488372,0.255434782,0.311046511,5,3,70,0.566481293,12984,598265,134,428,6,39,29,7,0.06542056,0.308411214,0.162790697,0.235981308,0.260981912,8,1,63,0.49696322,147,567,21,69,62,8,0.098765432,0.273368606,0.224696356,0.317375886,0.421052631,6,6,111,0.738428517
Franmil Reyes,1,2,2,0,0,2023,KCR,CHC,27,1.1,5,529,0,118,473,14,43,47,2,0.063424947,0.33192389,0.221461187,0.272727272,0.365296803,12,1,97,0.638024075,14566,614177,115,466,30,57,85,4,0.092274678,0.319742489,0.253588516,0.324034334,0.5215311,13,1,106,0.845565434,150,548,37,69,81,0,0.085766423,0.284671532,0.248987854,0.310218978,0.512145748,15,0,123,0.822364726
Matt Duffy,1,1.5,1.5,0,0,2023,KCR,LAA,32,1.3,7,626,0,77,247,2,14,16,0,0.06882591,0.202429149,0.25,0.307692307,0.311403508,6,0,57,0.619095815,13836,622110,97,322,5,45,30,8,0.077639751,0.195652173,0.287197231,0.357142857,0.380622837,16,1,83,0.737765694,46,169,1,12,12,0,0.112426035,0.171597633,0.25170068,0.343195266,0.326530612,4,1,37,0.669725878
Johan Camargo,1,0.72,0.72,0,0,2023,KCR,PHI,29,-0.2,6,416,0,52,166,3,8,15,0,0.078313253,0.222891566,0.236842105,0.296969696,0.315789473,1,0,36,0.612759169,14950,622666,15,18,0,1,0,0,0.111111111,0.333333333,0,0.111111111,0,0,0,0,0.111111111,98,248,7,31,32,1,0.06048387,0.173387096,0.23275862,0.279352226,0.383620689,5,0,54,0.662972915
Brandon Drury,2,17,8.5,0,0,2023,LAA,SDP,30,1.8,8,645,0,138,568,28,87,87,2,0.066901408,0.221830985,0.262548262,0.320422535,0.492277992,8,3,136,0.812700527,11615,592273,51,88,4,7,14,0,0.034090909,0.25,0.273809523,0.306818181,0.476190476,3,0,23,0.783008657,120,447,15,43,41,0,0.055928411,0.25279642,0.217703349,0.261744966,0.380382775,6,1,91,0.642127741
Jake Lamb,1,1.25,1.25,0,0,2023,LAA,SEA,32,-0.9,9,705,0,41,111,3,13,6,0,0.099099099,0.342342342,0.216494845,0.315315315,0.391752577,4,1,21,0.707067892,13329,571875,55,170,7,25,19,0,0.129411764,0.3,0.194444444,0.305882352,0.368055555,4,0,28,0.673937907,78,226,6,26,30,1,0.14159292,0.243362831,0.192513368,0.323008849,0.352941176,4,0,36,0.675950025
Chad Wallach,1,0.72,0.72,1,1,2023,LAA,LAA,31,-0.7,6,90,1,12,40,1,3,4,0,0.1,0.225,0.142857142,0.23076923,0.257142857,1,0,5,0.487912087,17161,595453,23,66,0,2,6,0,0.045454545,0.484848484,0.2,0.242424242,0.266666666,1,0,12,0.509090908,19,54,1,4,3,0,0.111111111,0.222222222,0.25,0.333333333,0.375,0,0,12,0.708333333
David Peralta,1,6.5,6.5,0,0,2023,LAD,TBR,35,2.3,9,1008,0,134,490,12,39,59,1,0.083673469,0.232653061,0.250569476,0.31632653,0.414578587,8,3,110,0.730905117,2136,444482,150,538,8,57,63,2,0.085501858,0.171003717,0.258726899,0.32527881,0.402464065,9,1,126,0.727742875,99,423,12,48,57,0,0.082742316,0.205673758,0.274869109,0.342789598,0.460732984,9,0,105,0.803522582
Luke Williams,1,0.72,0.72,1,0,2023,LAD,LAD,26,-0.1,2,137,1,79,136,1,21,6,11,0.06617647,0.323529411,0.236220472,0.286764705,0.314960629,1,4,30,0.601725334,19931,663897,58,108,1,8,6,2,0.092592592,0.212962962,0.244897959,0.314814814,0.31632653,2,2,24,0.631141344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
J.D. Martinez,1,10,10,0,0,2023,LAD,BOS,35,3.5,12,1409,0,139,596,16,76,62,0,0.087248322,0.24328859,0.2739212,0.34117647,0.448405253,20,0,146,0.789581723,6184,502110,148,634,28,92,99,0,0.086750788,0.236593059,0.285964912,0.349131121,0.517543859,18,0,163,0.86667498,146,657,36,98,105,2,0.109589041,0.210045662,0.304347826,0.382621951,0.556521739,19,0,175,0.93914369
Bradley Zimmer,1,0.72,0.72,0,0,2023,LAD,TOR,30,1.5,6,372,0,109,117,2,18,5,3,0.042735042,0.384615384,0.123809523,0.206896551,0.228571428,0,2,13,0.435467979,16221,605548,99,348,8,44,35,15,0.086206896,0.350574712,0.227424749,0.324712643,0.344481605,3,3,68,0.669194248,9,14,0,1,0,0,0.071428571,0.5,0,0.071428571,0,0,0,0,0.071428571
Jason Heyward,1,22,22,0,0,2023,LAD,CHC,33,1.2,13,1579,0,48,151,1,15,10,1,0.072847682,0.211920529,0.204379562,0.278145695,0.277372262,3,0,28,0.555517957,4940,518792,104,353,8,35,30,5,0.076487252,0.19263456,0.213622291,0.280453257,0.346749226,4,1,69,0.627202483,147,589,21,78,62,8,0.115449915,0.186757215,0.251461988,0.342954159,0.428849902,12,3,129,0.771804061
Yuli Gurriel,1,1.25,1.25,0,0,2023,MIA,HOU,39,3.4,7,801,0,146,584,8,53,53,8,0.051369863,0.125,0.242201834,0.287671232,0.359633027,13,0,132,0.647304259,19198,493329,143,605,15,83,81,1,0.097520661,0.112396694,0.318867924,0.383471074,0.46226415,16,1,169,0.845735224,144,612,31,85,104,5,0.060457516,0.10620915,0.29787234,0.343137254,0.540780141,12,3,168,0.883917395
Jose Iglesias,1,0.72,0.72,1,0,2023,MIA,COL,33,1.8,11,1096,0,118,467,3,48,47,2,0.036402569,0.119914346,0.291571753,0.327623126,0.380410022,11,3,128,0.708033148,10231,578428,137,511,9,65,48,5,0.04109589,0.146771037,0.271221532,0.309197651,0.391304347,10,2,131,0.700501998,146,530,11,62,59,6,0.037735849,0.132075471,0.287698412,0.31758034,0.406746031,17,6,145,0.724326371
Jean Segura,2,17,8.5,0,0,2023,MIA,PHI,33,6.8,11,1328,0,98,387,10,45,33,13,0.064599483,0.149870801,0.276836158,0.335917312,0.387005649,16,6,98,0.722922961,5933,516416,131,567,14,76,58,9,0.068783068,0.137566137,0.289883268,0.348056537,0.435797665,16,3,149,0.783854202,144,618,12,79,60,10,0.048543689,0.118122977,0.279513888,0.322528363,0.420138888,11,2,161,0.742667251
Garrett Hampson,1,0.72,0.72,1,1,2023,MIA,COL,28,-0.3,5,419,0,90,226,2,29,15,12,0.092920353,0.278761061,0.211055276,0.286995515,0.306532663,3,2,42,0.593528178,19262,641658,147,494,11,69,33,17,0.066801619,0.238866396,0.233995584,0.289205702,0.379690949,6,7,106,0.668896651,105,327,8,40,27,15,0.073394495,0.269113149,0.247491638,0.301538461,0.384615384,2,3,74,0.686153845
Luke Voit,1,2,2,0,0,2023,MIL,WSN,32,2.6,6,486,0,135,568,22,55,69,1,0.096830985,0.315140845,0.226,0.308098591,0.402,9,1,113,0.710098591,14811,572228,68,241,11,26,35,0,0.087136929,0.307053941,0.239436619,0.327800829,0.436619718,12,0,51,0.764420547,118,510,21,72,62,0,0.139215686,0.278431372,0.263403263,0.378431372,0.463869463,12,0,113,0.842300835
Tyler Naquin,1,0.72,0.72,1,0,2023,MIL,NYM,32,0.2,7,557,0,105,334,11,47,46,4,0.056886227,0.278443113,0.229032258,0.282282282,0.422580645,3,2,71,0.704862927,13359,571980,127,454,19,52,70,5,0.077092511,0.233480176,0.270072992,0.332599118,0.476885644,9,3,111,0.809484762,89,294,10,34,34,4,0.047619047,0.224489795,0.288321167,0.325342465,0.467153284,8,2,79,0.792495749
Brian Anderson,1,3.5,3.5,0,0,2023,MIL,MIA,30,3.5,6,531,0,98,383,8,43,28,1,0.096605744,0.263707571,0.221893491,0.31070496,0.346153846,7,0,75,0.656858806,18289,605119,67,264,7,24,28,5,0.098484848,0.246212121,0.248927038,0.337121212,0.377682403,4,0,58,0.714803615,126,520,20,57,66,5,0.084615384,0.219230769,0.261437908,0.342307692,0.468409586,15,1,120,0.810717278
Donovan Solano,1,2,2,0,0,2023,MIN,CIN,35,3.6,9,686,0,80,304,4,22,24,0,0.0625,0.200657894,0.284172661,0.338815789,0.384892086,5,0,79,0.723707875,8623,456781,101,344,7,35,31,2,0.072674418,0.168604651,0.280130293,0.344023323,0.403908794,8,0,86,0.747932117,81,228,4,27,23,0,0.043859649,0.21491228,0.330232558,0.359649122,0.455813953,4,1,71,0.815463075
Carlos Correa,6,200,33.33333333,0,0,2023,MIN,MIN,28,14.2,8,888,1,136,590,22,70,64,0,0.10338983,0.205084745,0.291187739,0.366101694,0.46743295,18,1,152,0.833534644,14162,621043,148,640,26,104,92,0,0.1171875,0.18125,0.279279279,0.365625,0.484684684,16,0,155,0.850309684,75,321,21,42,59,1,0.109034267,0.233644859,0.278571428,0.358255451,0.567857142,8,0,78,0.926112593
Tony Wolters,1,0.72,0.72,1,1,2023,MIN,LAD,31,-0.7,7,407,0,2,4,0,0,0,0,0,0.75,0,0,0,0,0,0,0,11470,547172,14,30,0,3,0,0,0.166666666,0.4,0.125,0.275862068,0.125,1,1,3,0.400862068,121,411,1,42,42,0,0.08759124,0.165450121,0.26183844,0.337408312,0.328690807,9,1,94,0.666099119
Joey Gallo,1,11,11,0,0,2023,MIN,LAD,29,6.4,8,752,0,126,410,19,48,47,3,0.136585365,0.397560975,0.16,0.280487804,0.357142857,0,0,56,0.637630661,14128,608336,153,616,38,90,77,6,0.180194805,0.34577922,0.19879518,0.35064935,0.457831325,6,0,99,0.808480675,70,297,22,54,49,4,0.175084175,0.383838383,0.253112033,0.388513513,0.597510373,0,2,61,0.986023886
Christian Vazquez,3,30,10,0,1,2023,MIN,HOU,32,4.1,8,733,0,119,426,9,41,52,1,0.051643192,0.16197183,0.273869346,0.31455399,0.399497487,10,4,109,0.714051477,9774,543877,138,498,6,51,49,8,0.06626506,0.168674698,0.257641921,0.307847082,0.351528384,15,4,118,0.659375466,138,521,23,66,72,4,0.063339731,0.193857965,0.275933609,0.32046332,0.477178423,17,2,133,0.797641743
Michael Perez,1,0.72,0.72,1,1,2023,NYM,NYM,30,-0.9,5,199,1,45,132,6,10,14,1,0.075757575,0.242424242,0.14876033,0.213740458,0.297520661,2,0,18,0.511261119,12977,605421,70,231,7,19,21,0,0.082251082,0.294372294,0.142857142,0.22077922,0.29047619,4,1,30,0.51125541,22,55,0,6,2,0,0.145454545,0.345454545,0.217391304,0.345454545,0.326086956,0,0,10,0.671541501
Tommy Pham,1,6,6,0,0,2023,NYM,BOS,35,1.8,9,876,0,144,622,17,89,63,8,0.090032154,0.268488745,0.236462093,0.311897106,0.373646209,20,3,131,0.685543315,2967,502054,155,561,15,74,49,14,0.139037433,0.228163992,0.229473684,0.340463458,0.383157894,10,6,109,0.723621352,145,654,21,77,68,25,0.123853211,0.188073394,0.273368606,0.368501529,0.449735449,22,4,155,0.818236978
Omar Narvaez,2,15,7.5,0,1,2023,NYM,MIL,31,1.7,7,600,0,84,296,4,21,23,0,0.097972972,0.192567567,0.20610687,0.291525423,0.305343511,4,0,54,0.596868934,13338,553882,123,445,11,54,49,0,0.092134831,0.188764044,0.265984654,0.341573033,0.401534526,13,0,104,0.743107559,132,482,22,63,55,0,0.097510373,0.190871369,0.278037383,0.352697095,0.460280373,5,0,119,0.812977468
Abraham Almonte,1,0.72,0.72,1,0,2023,NYM,BOS,34,-1,10,455,0,15,37,1,7,2,1,0.027027027,0.324324324,0.257142857,0.297297297,0.4,1,0,9,0.697297297,5486,501659,64,175,5,20,19,1,0.148571428,0.217142857,0.216216216,0.331428571,0.398648648,2,1,32,0.730077219,17,38,1,11,4,0,0.184210526,0.210526315,0.29032258,0.421052631,0.548387096,1,0,9,0.969439727
Brandon Nimmo,8,162,20.25,0,0,2023,NYM,NYM,30,10.4,7,608,1,151,673,16,102,64,3,0.105497771,0.172362555,0.274137931,0.367164179,0.43275862,9,2,159,0.799922799,12927,607043,92,386,8,51,28,5,0.139896373,0.204663212,0.292307692,0.401041666,0.436923076,3,4,95,0.837964742,69,254,8,34,29,3,0.181102362,0.279527559,0.221105527,0.375494071,0.407035175,1,0,44,0.782529246
Rafael Ortega,1,0.72,0.72,1,0,2023,NYY,CHC,32,2.2,6,364,0,118,371,7,35,35,12,0.118598382,0.199460916,0.240506329,0.330623306,0.357594936,10,7,76,0.688218242,10323,542364,103,330,11,44,33,12,0.09090909,0.212121212,0.29054054,0.359756097,0.462837837,3,6,86,0.822593934,34,96,2,7,10,3,0.083333333,0.229166666,0.204545454,0.270833333,0.306818181,2,0,18,0.577651514
Wilmer Difo,1,0.72,0.72,1,0,2023,NYY,ARI,31,-0.6,8,492,0,3,6,0,0,0,0,0,0.166666666,0,0,0,0,0,0,0,14320,594694,116,240,4,25,24,1,0.083333333,0.225,0.269406392,0.329166666,0.383561643,2,0,59,0.712728309,43,144,2,15,8,0,0.083333333,0.201388888,0.251908396,0.314685314,0.312977099,2,1,33,0.627662413
Aaron Judge,9,360,40,0,0,2023,NYY,NYY,31,17.7,7,729,1,157,696,62,133,131,16,0.159482758,0.251436781,0.310526315,0.424855491,0.685964912,14,3,177,1.110820403,15640,592450,148,633,39,89,98,6,0.118483412,0.249605055,0.287272727,0.372827804,0.543636363,16,1,158,0.916464167,102,447,27,75,55,3,0.143176733,0.315436241,0.272486772,0.381165919,0.539682539,11,2,103,0.920848458
Jake Bauers,1,0.72,0.72,1,0,2023,NYY,NYY,27,-0.2,3,328,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anthony Rizzo,2,40,20,0,0,2023,NYY,NYY,33,5.2,12,1536,1,130,548,32,77,75,6,0.105839416,0.184306569,0.223655913,0.33759124,0.479569892,13,5,104,0.817161132,3473,519203,141,576,22,73,61,6,0.090277777,0.151041666,0.24798387,0.34375,0.439516129,15,2,123,0.783266129,146,613,27,89,94,5,0.115823817,0.140293637,0.29296875,0.404567699,0.51953125,15,2,150,0.924098949
Jesus Aguilar,1,3,3,0,0,2023,OAK,BAL,33,1,9,759,0,129,507,16,39,51,1,0.055226824,0.234714003,0.234913793,0.281437125,0.379310344,8,0,109,0.660747469,11342,542583,131,510,22,49,93,0,0.090196078,0.182352941,0.260579064,0.328712871,0.458797327,11,0,117,0.787510198,131,369,12,39,50,0,0.116531165,0.219512195,0.235668789,0.325136612,0.388535031,12,0,74,0.713671643
Aledmys Diaz,2,14.5,7.25,0,0,2023,OAK,HOU,32,2.7,7,582,0,92,327,12,35,38,1,0.055045871,0.16207951,0.24262295,0.287461773,0.403278688,7,1,74,0.690740461,15937,649557,84,319,8,28,45,0,0.050156739,0.194357366,0.258503401,0.31661442,0.404761904,7,1,76,0.721376324,69,247,9,36,40,2,0.105263157,0.113360323,0.271428571,0.356275303,0.466666666,10,0,57,0.822941969
Jace Peterson,2,9.5,4.75,0,0,2023,OAK,MIL,33,3.3,9,740,0,113,328,8,44,34,12,0.100609756,0.259146341,0.236111111,0.31595092,0.381944444,8,1,68,0.697895364,12325,607054,94,302,6,36,31,10,0.125827814,0.225165562,0.247104247,0.347682119,0.366795366,1,1,64,0.714477485,29,108,2,14,11,4,0.055555555,0.222222222,0.22,0.268518518,0.33,1,1,22,0.598518518
Trea Turner,11,300,27.27272727,0,0,2023,PHI,LAD,30,14.4,8,849,0,160,708,21,101,100,27,0.063559322,0.185028248,0.297546012,0.342776203,0.466257668,9,3,194,0.809033871,16252,607208,148,646,28,107,77,32,0.063467492,0.170278637,0.327731092,0.374613003,0.536134453,18,5,195,0.910747456,122,569,19,96,57,35,0.075571177,0.198594024,0.297504798,0.353251318,0.497120921,10,5,155,0.850372239
Kevin Plawecki,1,0.72,0.72,1,1,2023,PIT,BOS,32,-0.3,8,447,0,64,186,1,15,13,0,0.075268817,0.17204301,0.220238095,0.286486486,0.285714285,6,0,37,0.572200771,13807,608700,64,173,3,15,15,0,0.069364161,0.150289017,0.286624203,0.348837209,0.388535031,4,0,45,0.73737224,60,174,3,13,17,0,0.068965517,0.178160919,0.221518987,0.287356321,0.341772151,4,1,35,0.629128472
Chris Owings,1,0.72,0.72,1,0,2023,PIT,NYY,31,0.3,10,710,0,27,68,0,6,0,1,0.147058823,0.352941176,0.107142857,0.253731343,0.142857142,3,0,6,0.396588485,10030,572008,21,50,1,9,5,2,0.14,0.3,0.325581395,0.42,0.627906976,0,1,14,1.047906976,67,196,3,13,14,5,0.071428571,0.397959183,0.138888888,0.209183673,0.233333333,2,2,25,0.442517006
Andrew McCutchen,1,5,5,0,0,2023,PIT,MIL,36,2.4,14,1895,0,134,580,17,66,69,8,0.098275862,0.213793103,0.236893203,0.315517241,0.384466019,10,6,122,0.69998326,9847,457705,144,574,27,78,80,6,0.141114982,0.229965156,0.221991701,0.334494773,0.443983402,10,1,107,0.778478175,59,262,10,45,29,2,0.164122137,0.209923664,0.255707762,0.377862595,0.456621004,1,1,56,0.834483599
Austin Hedges,1,5,5,0,1,2023,PIT,CLE,30,-0.6,8,605,0,105,338,7,26,30,2,0.073964497,0.23076923,0.163265306,0.240853658,0.248299319,12,0,48,0.489152977,12976,595978,88,312,10,32,31,1,0.048076923,0.278846153,0.178321678,0.219672131,0.307692307,7,0,51,0.527364438,102,347,11,28,36,1,0.077809798,0.314121037,0.176282051,0.252173913,0.310897435,3,0,55,0.563071348
Tyler Heineman,1,0.72,0.72,1,1,2023,PIT,PIT,32,0.3,3,82,1,62,174,0,16,9,1,0.045977011,0.097701149,0.216560509,0.276470588,0.267515923,3,0,34,0.543986511,13897,623168,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,12,1,1,2,0,0,0.333333333,0.272727272,0.272727272,0.636363636,0,0,3,0.909090908
Carlos Santana,1,6.725,6.725,0,0,2023,PIT,SEA,37,2.1,13,1784,0,131,506,19,52,60,0,0.140316205,0.173913043,0.201856148,0.316205533,0.375870069,9,0,87,0.692075602,2396,467793,158,659,19,66,69,2,0.130500758,0.154779969,0.214159292,0.318664643,0.34159292,12,0,121,0.660257563,158,686,34,110,93,4,0.157434402,0.157434402,0.280977312,0.396501457,0.514834205,13,0,161,0.911335662
Rougned Odor,1,0.8,0.8,0,0,2023,SDP,BAL,29,-0.4,9,1095,0,135,472,13,49,53,6,0.06779661,0.230932203,0.206572769,0.275423728,0.356807511,9,1,88,0.632231239,12282,596059,102,361,15,42,39,0,0.074792243,0.27700831,0.201863354,0.286111111,0.378881987,3,1,65,0.664993098,145,581,30,77,93,11,0.08950086,0.30636833,0.204980842,0.28275862,0.438697318,4,9,107,0.721455938
Nelson Cruz,1,1,1,0,0,2023,SDP,WSN,42,4.4,18,2006,0,124,507,10,50,64,4,0.096646942,0.234714003,0.234375,0.313492063,0.337053571,16,0,105,0.650545634,2434,443558,140,584,32,79,86,3,0.087328767,0.215753424,0.265107212,0.334482758,0.497076023,14,0,136,0.831558781,120,521,41,81,108,0,0.107485604,0.251439539,0.310572687,0.392307692,0.638766519,14,1,141,1.031074211
