Name,Team,Season,BABIP,wOBA,wRC+,Off,Def,BsR,WAR,wRAA,UBR,WPA,Clutch,Barrel%,HardHit%,xBA,xSLG,NameASCII,PlayerId,MLBAMID
Mike Trout,LAA,2014,0.349489795,0.402370749,166.6539712,57.83445566,-4.465483904,6.182288256,8.286635279,49.9675135,1.299999714,7.167886257,1.706143686,,,,,Mike Trout,10155,545361
Buster Posey,SFG,2014,0.318965517,0.370801059,142.4866055,25.36193676,24.89329952,-3.491635047,7.522199261,28.23105855,-1.800000012,5.030715466,1.686234216,,,,,Buster Posey,9166,457763
Jonathan Lucroy,MIL,2014,0.324055666,0.368358601,132.8085276,22.26186048,25.7005558,-1.86052278,7.436801789,29.33719777,0.199999988,3.906624079,1.562541434,,,,,Jonathan Lucroy,7870,518960
Andrew McCutchen,PIT,2014,0.355072463,0.41152117,168.5049297,51.28599628,-3.434777498,1.456212327,7.401350989,50.47531335,-1.5,5.068327904,-0.26646128,,,,,Andrew McCutchen,9847,457705
Giancarlo Stanton,MIA,2014,0.353293413,0.403093054,160.8818222,43.82485264,-0.722224712,0.22344658,6.84726643,45.57227096,-1.299999975,5.308540344,-0.663760156,,,,,Giancarlo Stanton,4949,519317
Michael Brantley,CLE,2014,0.333333333,0.388592838,151.1212815,43.19618323,-4.920210898,5.210334778,6.531041774,40.76865645,2.299999952,4.291183949,-0.325135458,,,,,Michael Brantley,4106,488726
Anthony Rendon,WSN,2014,0.314401622,0.360761565,130.016771,29.83727048,7.874503136,6.824079128,6.405440976,26.61167303,5.199999809,1.506951213,-1.567189788,,,,,Anthony Rendon,12861,543685
José Bautista,TOR,2014,0.287383177,0.40176532,160.179146,41.81722151,-6.735469162,-2.700659857,6.170321318,47.38697978,-2.099999845,3.708433867,-1.743776485,,,,,Jose Bautista,1887,430832
Russell Martin,PIT,2014,0.33559322,0.370043358,140.1647934,16.47310616,25.59667873,-4.266263,6.142666395,21.19761533,-0.400000095,2.152414322,-0.512662532,,,,,Russell Martin,4616,431145
Adrián Beltré,TEX,2014,0.344902386,0.380154175,142.4898017,28.45095354,5.606122971,-0.225568541,5.854340149,33.05558913,1.100000024,2.222723484,-1.366365746,,,,,Adrian Beltre,639,134181
Carlos Gómez,MIL,2014,0.33898305,0.367521636,132.2366626,24.94571259,7.446808338,1.641839044,5.692424585,28.43111102,0.600000024,1.33704567,-2.001807277,,,,,Carlos Gomez,4881,460576
