Name,Team,Season,BABIP,wOBA,wRC+,Off,Def,BsR,WAR,wRAA,UBR,WPA,Clutch,Barrel%,HardHit%,xBA,xSLG,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",2017,0.356643356,0.430184422851145,173.81664358316738,60.59926579848604,4.576394557952881,-1.1495810206979513,8.715152909683518,62.53441469886081,0.5000000074505806,2.1029891967773438,-3.635870049843406,0.24852071,0.55029586,0.287,0.668,"Aaron Judge",15640,592450
"Jose Altuve","HOU",2017,0.37037037,0.4050184821647714,159.64068041446606,54.15833528196385,1.359931230545044,5.445271810982376,7.701397623379174,46.99971119310653,1.2000000476837158,3.505044460296631,-0.5582663673456354,0.05675147,0.27984344,0.291,0.477,"Jose Altuve",5417,514888
"José Ramírez","CLE",2017,0.319105691,0.3964889530092478,146.3522184493424,40.44755857682483,8.542709350585938,3.5604084976948798,6.995813276726216,41.150109030424375,-1.399999976158142,1.0735111236572266,-2.565518330932851,0.04606526,0.34548944,0.302,0.487,"Jose Ramirez",13510,608070
"Kris Bryant","CHC",2017,0.334170854,0.3991411538738193,146.5762830238972,44.18229458197934,3.1114271879196167,4.373093390837312,6.982585541431484,43.9144491580872,4.799999952316284,1.8033579587936401,-2.959194379197843,0.08899297,0.37002342,0.26,0.497,"Kris Bryant",15429,592178
"Mike Trout","LAA",2017,0.318021201,0.4369006416177362,180.49388600567576,54.039859995434405,-2.811303675174713,3.6879769135266542,6.7650043620078195,49.63598560374451,1.0000000596046448,5.288961887359619,-1.0380270803014113,0.12025316,0.40506329,0.294,0.589,"Mike Trout",10155,545361
"Giancarlo Stanton","MIA",2017,0.288359788,0.4104566109724705,158.09080000886834,48.01760647873487,-7.871359944343567,-3.649060094729066,6.363615472435565,52.30529511588718,-2.4000000953674316,4.640135765075684,-1.6099656321200424,0.16933638,0.45537757,0.277,0.599,"Giancarlo Stanton",4949,519317
"Joey Votto","CIN",2017,0.320627802,0.42821576085153107,163.10797553052072,49.95905964113551,-11.606359094381332,-7.386613235808909,6.236439616900244,64.03463714699971,-10.100000381469727,4.757420063018799,-0.8025293751299607,0.08713693,0.32780083,0.299,0.555,"Joey Votto",4314,458015
"Brian Dozier","MIN",2017,0.299549549,0.3618832151265615,125.89454018503977,22.866788811417344,14.687892436981201,0.34296175790950656,6.054877223007316,24.389776497980627,3.0999998450279236,1.130236268043518,-0.7957726452013103,0.07531381,0.34518828,0.244,0.468,"Brian Dozier",9810,572821
"Anthony Rendon","WSN",2017,0.314496314,0.39411276399790746,140.90132229658974,32.92777768845315,5.750924825668335,1.1231940942816436,5.919844937280269,37.385002970664004,0.20000004768371582,2.2578158378601074,-0.6906954420601705,0.05787037,0.375,0.275,0.478,"Anthony Rendon",12861,543685
"Tommy Pham","STL",2017,0.368078175,0.39810908980893367,148.8850885101247,38.241983759308894,1.9260907173156738,4.941597872413695,5.811429470390231,34.53788694189741,4.300000309944153,3.1228621006011963,-0.10361498155387183,0.09638554,0.43373494,0.278,0.481,"Tommy Pham",2967,502054
"Francisco Lindor","CLE",2017,0.274621212,0.3526813645711106,116.38912299518462,18.59505355818448,15.788971900939941,3.9753396096639335,5.798475307007194,19.398193517180804,3.2000000923871994,2.5663042068481445,1.0544574016961499,0.06713781,0.35512367,0.28,0.5,"Francisco Lindor",12916,596019
"Nolan Arenado","COL",2017,0.319829424,0.3952016020569566,129.58259833156023,24.4371339640959,9.955897331237793,-1.4177278052084148,5.74995454512264,42.64432671986584,1.7000000476837158,4.294613838195801,1.525887524046273,0.07874016,0.37598425,0.28,0.525,"Nolan Arenado",9777,571448
"Marcell Ozuna","MIA",2017,0.354838709,0.38793820769698534,143.30575003826942,33.69998124978386,0.6604156494140625,-4.093102493323386,5.743284592309891,38.41971492851965,-3.099999785423279,2.6884732246398926,-0.04936901340182587,0.08492569,0.45435244,0.279,0.514,"Marcell Ozuna",10324,542303
"Justin Turner","LAD",2017,0.325581395,0.39956292659876735,150.73835433872154,34.494520669803954,3.4278560876846313,-0.9160721437074244,5.632408606990967,36.051231999416835,1,3.1506619453430176,-0.9387813993325058,0.07579462,0.38141809,0.298,0.548,"Justin Turner",5235,457759
"Paul Goldschmidt","ARI",2017,0.343007915,0.4004370406706271,142.17934056802204,37.65477082837566,-6.54396915435791,1.6036790329962969,5.371956253789375,44.64167768281146,1.4999999403953552,2.1756441593170166,-1.8119880979532588,0.12259615,0.47115385,0.284,0.56,"Paul Goldschmidt",9218,502671
