Name,Team,Season,BABIP,wOBA,wRC+,Off,Def,BsR,WAR,wRAA,UBR,WPA,Clutch,Barrel%,HardHit%,xBA,xSLG,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",2022,0.340236686,0.45819641417238366,208.50861111416398,86.01304318848464,-0.9332156181335449,1.0283350166864693,11.233380434409678,82.08243445725579,0.3999999761581421,7.73596715927124,-1.4318138146108463,0.26237624,0.60891089,0.305,0.706,"Aaron Judge",15640,592450
"Nolan Arenado","STL",2022,0.289760348,0.38100475536559736,149.69580777891403,35.87692131256916,11.853635296225548,0.07899995986372232,7.241646626946086,35.09861492427297,-0.4000000059604645,2.5386080741882324,-0.39132347722863914,0.08179959,0.38854806,0.266,0.445,"Nolan Arenado",9777,571448
"Manny Machado","SDP",2022,0.337349397,0.38163479654946914,153.00984014962037,39.29330617698308,7.206005871295929,-0.3699831385165453,7.198697333108745,36.77961078981336,0.8999998569488525,4.653870582580566,1.4863936727255398,0.098434,0.48993289,0.267,0.45,"Manny Machado",11493,592518
"Paul Goldschmidt","STL",2022,0.367609254,0.4193155593526216,175.89175046008353,58.29917248316241,-15.336955308914185,0.8978465464897454,6.852493916336922,56.667054186818575,0.6000001430511475,4.910310745239258,-1.8414859321081076,0.11502347,0.46948357,0.261,0.482,"Paul Goldschmidt",9218,502671
"Jose Altuve","HOU",2022,0.314769975,0.3968867239761986,164.01753570983902,43.83321952254073,2.0349362194538116,0.32180178398266435,6.812233802042906,41.81364139115931,-2.399999976158142,2.8521616458892822,-0.40140005113289234,0.07709751,0.29478458,0.269,0.44,"Jose Altuve",5417,514888
"Freddie Freeman","LAD",2022,0.358870967,0.3925452781305916,157.62882135897124,49.101524199879044,-8.843627452850342,1.6970470463857055,6.773576511213143,46.57144740648406,2.000000238418579,2.8178887367248535,-1.446326872388676,0.10058027,0.47969052,0.313,0.538,"Freddie Freeman",5361,518692
"J.T. Realmuto","PHI",2022,0.317934782,0.3539975367340387,128.36273347112842,22.003164260083953,21.83864164352417,3.4835999505594373,6.62471858642309,19.75719534735582,3.0999998450279236,0.37795794010162354,-1.0044433054852968,0.11282051,0.46666667,0.275,0.463,"J.T. Realmuto",11739,592663
"Dansby Swanson","ATL",2022,0.347826086,0.3374367519870572,116.15397480210652,16.75880249557426,21.889909744262695,3.6960407248698175,6.561454536641178,15.311068581560308,3.2000000029802322,1.6588976383209229,0.39088945677411346,0.10822511,0.46103896,0.257,0.461,"Dansby Swanson",18314,621020
"Francisco Lindor","NYM",2022,0.30125523,0.34181135130876844,125.11879771192021,21.790605278765565,14.993076801300049,1.186682412866503,6.401602697293275,17.984645880372977,1.8999998569488525,3.762782335281372,1.3725598650925876,0.08333333,0.41071429,0.254,0.427,"Francisco Lindor",12916,596019
"Trea Turner","LAD",2022,0.341897233,0.3496184023559516,128.27652748241826,29.851891655130004,6.721580535173416,6.592106543947011,6.386725332295809,22.426755364173715,1.7000000476837158,3.316854953765869,1.1405786024286813,0.07561437,0.41398866,0.276,0.432,"Trea Turner",16252,607208
"Yordan Alvarez","HOU",2022,0.320359281,0.4265703602113586,184.9735597896399,51.70532521234779,-9.161659002304077,-1.9377932441420853,6.321057764398901,52.06621029276354,0.699999988079071,5.216564178466797,-0.6013230033508634,0.21024259,0.59838275,0.329,0.672,"Yordan Alvarez",19556,670541
"Andrés Giménez","CLE",2022,0.353424657,0.36407862888659287,142.10908870051364,30.25421701808799,11.10941219329834,3.860632178839296,6.183938010425617,24.042313664400613,0.40000003576278687,4.399728775024414,2.0652659251425947,0.06217617,0.37564767,0.257,0.4,"Andres Gimenez",19950,665926
"Mookie Betts","LAD",2022,0.272311212,0.3733934800203231,144.53331426108184,34.90753719283655,1.2986669540405273,1.8452996811829507,6.09997366516504,32.31039286710709,2.7000001668930054,4.443459510803223,0.8902038048438801,0.09745763,0.4470339,0.254,0.465,"Mookie Betts",13611,605141
"José Ramírez","CLE",2022,0.278557114,0.3627308818630706,141.1576075930556,35.27758640801379,0.767305850982666,3.552118443418294,6.048535115413153,28.833868763929544,2.799999713897705,2.9125022888183594,-0.14043050825072845,0.06628788,0.3655303,0.255,0.408,"Jose Ramirez",13510,608070
"Mike Trout","LAA",2022,0.323076923,0.4177913187477594,176.00512233393417,42.67855617682549,-1.3440512418746948,-0.00010145734995603561,5.989187737453865,42.831791734314585,-0.8999999761581421,4.773397445678711,0.023012548243542597,0.19666667,0.50333333,0.265,0.583,"Mike Trout",10155,545361
"Xander Bogaerts","BOS",2022,0.361948955,0.36310586375917275,133.1364424312978,26.710089421888508,10.23691701889038,3.181137483101338,5.96478165450067,26.74880829040117,4.400000274181366,0.9781252145767212,0.011496666271845868,0.06502242,0.39461883,0.259,0.383,"Xander Bogaerts",12161,593428
"Austin Riley","ATL",2022,0.314769975,0.37660742744889564,142.93787548789095,33.74386853554233,-2.087630271911621,-0.8277850588783622,5.816479336011316,36.81026942764356,-1.7000001072883606,1.9475431442260742,-1.073333552710134,0.15742794,0.50776053,0.271,0.531,"Austin Riley",18360,663586
