Name,date,new_team,former_team,Age,WAR3,Yrs,career_games,stayed_same_team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,PlayerId,MLBAMID,G_2,PA_2,HR_2,R_2,RBI_2,SB_2,BB%_2,K%_2,AVG_2,OBP_2,SLG_2,GDP_2,CS_2,H_2,OPS_2,G_3,PA_3,HR_3,R_3,RBI_3,SB_3,BB%_3,K%_3,AVG_3,OBP_3,SLG_3,GDP_3,CS_3,H_3,OPS_3
"Marwin Gonzalez",2022,NYY,HOU,33,1.3,10,1053,0,91,307,5,30,28,3,0.065146579,0.254071661,0.199275362,0.274509803,0.304347826,8,2,55,0.578857629,5497,503556,114,463,15,52,55,1,0.066954643,0.211663066,0.263529411,0.321814254,0.414117647,7,0,112,0.735931901,114,463,15,52,55,1,0.066954643,0.211663066,0.263529411,0.321814254,0.414117647,7,0,112,0.735931901
"Anthony Rizzo",2022,NYY,NYY,32,7.1,11,1406,1,141,576,22,73,61,6,0.090277777,0.151041666,0.24798387,0.34375,0.439516129,15,2,123,0.783266129,3473,519203,146,613,27,89,94,5,0.115823817,0.140293637,0.29296875,0.404567699,0.51953125,15,2,150,0.924098949,146,613,27,89,94,5,0.115823817,0.140293637,0.29296875,0.404567699,0.51953125,15,2,150,0.924098949
"Ryan LaMarre",2022,NYY,NYY,33,0,6,128,1,9,24,2,3,4,1,0.083333333,0.25,0.19047619,0.291666666,0.476190476,1,0,4,0.767857142,10700,534606,14,26,2,3,3,1,0.115384615,0.192307692,0.217391304,0.307692307,0.478260869,0,1,5,0.785953176,14,26,2,3,3,1,0.115384615,0.192307692,0.217391304,0.307692307,0.478260869,0,1,5,0.785953176
"Rob Brantly",2022,NYY,NYY,32,-0.3,7,133,1,6,21,0,0,0,0,0,0.19047619,0.15,0.19047619,0.2,0,0,3,0.39047619,10655,542963,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Jose Peraza",2022,NYY,NYM,28,-1.1,7,618,0,64,154,6,21,20,1,0.058441558,0.168831168,0.204225352,0.266233766,0.38028169,5,0,29,0.646515456,13593,606299,141,403,6,37,33,7,0.042183622,0.143920595,0.239361702,0.285359801,0.34574468,9,6,90,0.631104481,141,403,6,37,33,7,0.042183622,0.143920595,0.239361702,0.285359801,0.34574468,9,6,90,0.631104481
"Jed Lowrie",2022,OAK,OAK,38,0.1,13,1257,1,139,512,14,55,69,0,0.095703125,0.2109375,0.245076586,0.318359375,0.398249452,8,0,112,0.716608827,4418,476704,9,8,0,0,0,0,0.125,0.5,0,0.125,0,0,0,0,0.125,9,8,0,0,0,0,0.125,0.5,0,0.125,0,0,0,0,0.125
"Stephen Vogt",2022,OAK,ATL,37,1.1,9,724,0,78,238,7,24,25,0,0.109243697,0.235294117,0.195238095,0.282700421,0.333333333,2,0,41,0.616033754,5000,519390,99,280,10,30,40,3,0.071428571,0.235714285,0.262745098,0.314285714,0.490196078,1,1,67,0.804481792,99,280,10,30,40,3,0.071428571,0.235714285,0.262745098,0.314285714,0.490196078,1,1,67,0.804481792
"Jorge Bonifacio",2022,PHI,PHI,29,-0.6,5,224,1,7,12,0,0,2,0,0.083333333,0.5,0.09090909,0.166666666,0.09090909,0,0,1,0.257575756,12174,593528,5,21,0,3,3,0,0.047619047,0.333333333,0.35,0.38095238,0.5,0,0,7,0.88095238,5,21,0,3,3,0,0.047619047,0.333333333,0.35,0.38095238,0.5,0,0,7,0.88095238
"Nick Castellanos",2022,PHI,CIN,30,6.2,9,1086,0,138,585,34,95,100,3,0.07008547,0.206837606,0.308851224,0.362393162,0.576271186,16,1,164,0.938664348,11737,592206,151,664,27,100,73,2,0.061746987,0.215361445,0.289430894,0.337349397,0.525203252,12,2,178,0.862552649,151,664,27,100,73,2,0.061746987,0.215361445,0.289430894,0.337349397,0.525203252,12,2,178,0.862552649
"Kyle Schwarber",2022,PHI,BOS,29,5.6,7,664,0,113,471,32,76,71,1,0.135881104,0.269639065,0.26566416,0.373673036,0.553884711,4,1,106,0.927557747,16478,656941,155,610,38,82,92,2,0.114754098,0.255737704,0.24952741,0.339344262,0.531190926,6,3,132,0.870535188,155,610,38,82,92,2,0.114754098,0.255737704,0.24952741,0.339344262,0.531190926,6,3,132,0.870535188
"Odubel Herrera",2022,PHI,PHI,30,1.3,6,755,1,124,492,13,59,51,6,0.058943089,0.156504065,0.26,0.310204081,0.415555555,6,1,117,0.725759636,11476,546318,39,139,1,12,16,2,0.07913669,0.237410071,0.222222222,0.287769784,0.341269841,0,2,28,0.629039625,39,139,1,12,16,2,0.07913669,0.237410071,0.222222222,0.287769784,0.341269841,0,2,28,0.629039625
"Johan Camargo",2022,PHI,ATL,28,-1.1,5,364,0,15,18,0,1,0,0,0.111111111,0.333333333,0,0.111111111,0,0,0,0,0.111111111,14950,622666,98,248,7,31,32,1,0.06048387,0.173387096,0.23275862,0.279352226,0.383620689,5,0,54,0.662972915,98,248,7,31,32,1,0.06048387,0.173387096,0.23275862,0.279352226,0.383620689,5,0,54,0.662972915
"Taylor Davis",2022,PIT,PIT,32,0,4,22,1,2,6,0,0,0,0,0.166666666,0,0.4,0.5,0.4,0,0,2,0.9,12782,543089,7,20,1,2,4,0,0.1,0.2,0.166666666,0.25,0.333333333,0,0,3,0.583333333,7,20,1,2,4,0,0.1,0.2,0.166666666,0.25,0.333333333,0,0,3,0.583333333
"Roberto Perez",2022,PIT,CLE,33,4.2,8,490,0,44,161,7,13,17,1,0.105590062,0.347826086,0.14893617,0.245283018,0.319148936,1,0,21,0.564431954,2900,547379,119,449,24,46,63,0,0.100222717,0.282850779,0.23907455,0.321266968,0.452442159,12,0,93,0.773709127,119,449,24,46,63,0,0.100222717,0.282850779,0.23907455,0.321266968,0.452442159,12,0,93,0.773709127
"Yoshi Tsutsugo",2022,PIT,PIT,30,-0.4,2,132,1,81,262,8,27,32,0,0.110687022,0.27480916,0.217391304,0.306513409,0.382608695,3,1,50,0.689122104,27459,660294,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Joc Pederson",2022,SFG,ATL,30,2.6,8,885,0,137,481,18,55,61,2,0.081081081,0.243243243,0.237762237,0.309771309,0.421911421,9,3,102,0.73168273,11899,592626,149,514,36,83,74,1,0.097276264,0.215953307,0.248888888,0.3385214,0.537777777,4,1,112,0.876299177,149,514,36,83,74,1,0.097276264,0.215953307,0.248888888,0.3385214,0.537777777,4,1,112,0.876299177
"Brandon Belt",2022,SFG,SFG,34,5.2,11,1232,1,97,381,29,65,59,3,0.125984251,0.270341207,0.273846153,0.377952755,0.596923076,9,2,89,0.974875831,10264,474832,156,616,17,76,57,4,0.134740259,0.206168831,0.233840304,0.339285714,0.403041825,6,3,123,0.742327539,156,616,17,76,57,4,0.134740259,0.206168831,0.233840304,0.339285714,0.403041825,6,3,123,0.742327539
"Billy Hamilton",2022,SEA,CHW,31,0.7,9,911,0,71,135,2,23,11,9,0.029629629,0.348148148,0.22047244,0.242424242,0.377952755,1,0,28,0.620376997,10199,571740,119,353,0,41,15,22,0.090651558,0.246458923,0.21835443,0.288571428,0.275316455,1,6,69,0.563887883,119,353,0,41,15,22,0.090651558,0.246458923,0.21835443,0.288571428,0.275316455,1,6,69,0.563887883
"Steven Souza Jr.",2022,SEA,LAD,33,-0.2,7,499,0,17,36,1,2,3,0,0.055555555,0.388888888,0.151515151,0.222222222,0.333333333,2,0,5,0.555555555,5667,519306,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Albert Pujols",2022,STL,LAD,42,-0.4,21,2971,0,109,296,17,29,50,2,0.047297297,0.152027027,0.236363636,0.283783783,0.432727272,14,0,65,0.716511055,1177,405395,131,545,23,55,93,3,0.078899082,0.124770642,0.244399185,0.304587155,0.429735234,21,0,120,0.734322389,131,545,23,55,93,3,0.078899082,0.124770642,0.244399185,0.304587155,0.429735234,21,0,120,0.734322389
"Corey Dickerson",2022,STL,TOR,33,1.3,9,937,0,109,365,6,43,29,6,0.06849315,0.186301369,0.270833333,0.326027397,0.407738095,8,5,91,0.733765492,10762,572816,78,279,12,33,59,1,0.05734767,0.200716845,0.303846153,0.340501792,0.565384615,4,0,79,0.905886407,78,279,12,33,59,1,0.05734767,0.200716845,0.303846153,0.340501792,0.565384615,4,0,79,0.905886407
