Name ,Team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,NameASCII,PlayerId,MLBAMID
Rob Zastryzny,PIT,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rob Zastryzny,15094,642239
Josh Staumont,KCR,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josh Staumont,18335,622251
Kenta Maeda,MIN,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kenta Maeda,18498,628317
Shane Bieber,CLE,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shane Bieber,19427,669456
Tanner Houck,BOS,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tanner Houck,19879,656557
Bobby Dalbec,BOS,21,53,1,6,1,1,0.075471698,0.528301886,0.204081632,0.264150943,0.306122448,0,0,10,0.570273391,Bobby Dalbec,19966,666915
Kaleb Ort,BOS,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kaleb Ort,20061,672391
Kyle Muller,OAK,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyle Muller,20167,666205
Sean Bouchard,COL,21,43,4,11,7,0,0.093023255,0.325581395,0.315789473,0.372093023,0.684210526,0,1,12,1.056303549,Sean Bouchard,21270,656248
Shane McClanahan,TBR,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shane McClanahan,21483,663556
José Fermín,STL,21,61,0,2,4,0,0.098360655,0.13114754,0.235294117,0.33898305,0.25490196,1,1,12,0.59388501,Jose Fermin,21746,665877
Sam Huff,TEX,21,45,3,5,6,0,0.044444444,0.377777777,0.255813953,0.288888888,0.511627906,1,0,11,0.800516794,Sam Huff,22209,669087
Reese Olson,DET,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reese Olson,24968,681857
Colin Selby,PIT,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Colin Selby,24986,681882
Lane Ramsey,CHW,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lane Ramsey,25071,682010
Andrew Abbott,CIN,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andrew Abbott,29911,671096
Carlos Carrasco,NYM,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carlos Carrasco,6632,471911
Darin Ruf,- - -,20,57,0,3,3,0,0.140350877,0.280701754,0.224489795,0.333333333,0.285714285,0,0,11,0.619047618,Darin Ruf,9929,573131
Chris Sale,BOS,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Sale,10603,519242
Ty Blach,COL,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ty Blach,14361,621389
Duane Underwood Jr.,PIT,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Duane Underwood Jr.,14677,621249
Óscar Mercado,STL,20,32,0,3,5,2,0.03125,0.125,0.29032258,0.3125,0.387096774,0,1,9,0.699596774,Oscar Mercado,16375,640458
Yonny Chirinos,- - -,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yonny Chirinos,16401,630023
Jason Vosler,CIN,20,65,3,6,10,0,0.046153846,0.384615384,0.161290322,0.2,0.370967741,0,0,10,0.570967741,Jason Vosler,16686,613564
Touki Toussaint,- - -,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Touki Toussaint,16929,657053
Domingo Germán,NYY,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Domingo German,17149,593334
Tony Gonsolin,LAD,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tony Gonsolin,19388,664062
Bowden Francis,TOR,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bowden Francis,20548,670102
Collin Snider,KCR,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Collin Snider,23307,676092
Chris Murphy,BOS,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Murphy,26214,669684
Cody Bradford,TEX,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cody Bradford,27597,674003
Wade Meckler,SFG,20,64,0,6,4,0,0.09375,0.390625,0.232142857,0.328125,0.25,0,0,13,0.578125,Wade Meckler,31490,685133
Chase Anderson,- - -,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chase Anderson,6895,502624
James Paxton,BOS,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Paxton,11828,572020
Anthony DeSclafani,SFG,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anthony DeSclafani,13050,543101
Jake Lamb,LAA,19,54,2,7,5,0,0.055555555,0.277777777,0.215686274,0.259259259,0.352941176,1,0,11,0.612200435,Jake Lamb,13329,571875
Franmil Reyes,KCR,19,65,2,5,7,0,0.061538461,0.369230769,0.186440677,0.23076923,0.288135593,3,0,11,0.518904823,Franmil Reyes,14566,614177
Ben Lively,CIN,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ben Lively,14932,594902
Ben Heller,ATL,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ben Heller,15100,621294
Luis Severino,NYY,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luis Severino,15890,622663
Estevan Florial,NYY,19,71,0,5,8,3,0.098591549,0.28169014,0.229508196,0.323943661,0.311475409,0,0,14,0.63541907,Estevan Florial,19151,664314
Cal Quantrill,CLE,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cal Quantrill,19312,615698
Zach Jackson,OAK,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zach Jackson,19493,667427
Keegan Thompson,CHC,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keegan Thompson,19795,624522
Cody Thomas,OAK,19,46,1,1,2,0,0.086956521,0.369565217,0.238095238,0.304347826,0.38095238,1,0,10,0.685300206,Cody Thomas,19828,642137
Cristopher Sánchez,PHI,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cristopher Sanchez,20778,650911
Andre Jackson,- - -,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andre Jackson,21298,656578
Roansy Contreras,PIT,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roansy Contreras,22810,672710
Josh Winder,MIN,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josh Winder,24606,680739
Alek Manoah,TOR,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alek Manoah,26410,666201
Garrett Mitchell,MIL,19,73,3,10,7,1,0.09589041,0.356164383,0.246153846,0.315068493,0.446153846,0,1,16,0.761222339,Garrett Mitchell,27555,669003
Austin Wells,NYY,19,75,4,8,13,0,0.04,0.186666666,0.228571428,0.256756756,0.485714285,3,0,16,0.742471041,Austin Wells,27562,669224
Nick Loftin,KCR,19,68,0,10,10,2,0.058823529,0.176470588,0.322580645,0.367647058,0.43548387,0,0,20,0.803130928,Nick Loftin,27630,679845
