Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,NameASCII,PlayerId,MLBAMID
"Matt Olson","ATL",162,699,34,86,103,0,0.107296137,0.243204577,0.24025974,0.324749642,0.477272727,13,0,148,0.802022369,"Matt Olson",14344,621566
"Dansby Swanson","ATL",162,696,25,99,96,18,0.070402298,0.261494252,0.2765625,0.329022988,0.446875,12,7,177,0.775897988,"Dansby Swanson",18314,621020
"Marcus Semien","TEX",161,724,26,101,83,25,0.073204419,0.165745856,0.248097412,0.303867403,0.429223744,7,8,163,0.733091147,"Marcus Semien",12533,543760
"Francisco Lindor","NYM",161,706,26,98,107,16,0.083569405,0.188385269,0.269841269,0.338526912,0.449206349,11,6,170,0.787733261,"Francisco Lindor",12916,596019
"Christian Walker","ARI",160,667,36,84,94,2,0.103448275,0.196401799,0.241852487,0.326836581,0.47684391,15,2,141,0.803680491,"Christian Walker",13419,572233
"Trea Turner","LAD",160,708,21,101,100,27,0.063559322,0.185028248,0.297546012,0.342776203,0.466257668,9,3,194,0.809033871,"Trea Turner",16252,607208
"Pete Alonso","NYM",160,685,40,95,131,5,0.097810218,0.186861313,0.271356783,0.351824817,0.517587939,17,1,162,0.869412756,"Pete Alonso",19251,624413
"Vladimir Guerrero Jr.","TOR",160,706,32,90,97,8,0.082152974,0.164305949,0.27429467,0.338526912,0.479623824,26,3,175,0.818150736,"Vladimir Guerrero Jr.",19611,665489
"Freddie Freeman","LAD",159,708,21,117,100,13,0.118644067,0.144067796,0.325163398,0.406779661,0.511437908,6,3,199,0.918217569,"Freddie Freeman",5361,518692
"Austin Riley","ATL",159,693,38,90,93,2,0.082251082,0.242424242,0.273170731,0.349206349,0.528455284,13,0,168,0.877661633,"Austin Riley",18360,663586
"Bo Bichette","TOR",159,697,24,91,93,13,0.058823529,0.222381635,0.2898773,0.332855093,0.469325153,21,8,189,0.802180246,"Bo Bichette",19612,666182
"Ian Happ","CHC",158,641,17,72,72,9,0.090483619,0.232449297,0.270506108,0.341653666,0.439790575,11,4,155,0.781444241,"Ian Happ",17919,664023
"Jake Cronenworth","SDP",158,684,17,88,88,3,0.102339181,0.191520467,0.238500851,0.331864904,0.39011925,2,0,140,0.721984154,"Jake Cronenworth",18036,630105
"José Ramírez","CLE",157,685,29,90,126,20,0.100729927,0.119708029,0.279534109,0.354744525,0.514143094,5,7,168,0.868887619,"Jose Ramirez",13510,608070
"Aaron Judge","NYY",157,696,62,133,131,16,0.159482758,0.251436781,0.310526315,0.424855491,0.685964912,14,3,177,1.110820403,"Aaron Judge",15640,592450
"José Abreu","CHW",157,679,15,85,75,0,0.091310751,0.162002945,0.304492512,0.37849779,0.44592346,19,0,183,0.82442125,"Jose Abreu",15676,547989
"Nathaniel Lowe","TEX",157,645,27,74,76,2,0.074418604,0.227906976,0.301854974,0.358139534,0.492411467,10,2,179,0.850551001,"Nathaniel Lowe",19566,663993
"Shohei Ohtani","LAA",157,666,34,90,95,11,0.108108108,0.241741741,0.273037542,0.355855855,0.518771331,6,9,160,0.874627186,"Shohei Ohtani",19755,660271
"Josh Bell","- - -",156,647,17,78,71,0,0.125193199,0.157650695,0.266304347,0.361801242,0.422101449,22,1,147,0.783902691,"Josh Bell",13145,605137
"Adam Frazier","SEA",156,602,3,61,42,11,0.07641196,0.121262458,0.238447319,0.301003344,0.310536044,15,6,129,0.611539388,"Adam Frazier",15223,624428
"Rhys Hoskins","PHI",156,672,30,81,79,2,0.107142857,0.251488095,0.246179966,0.332339791,0.46179966,12,1,145,0.794139451,"Rhys Hoskins",16472,656555
"Cedric Mullins","BAL",156,672,16,89,64,34,0.069940476,0.1875,0.258223684,0.31838565,0.402960526,4,10,157,0.721346176,"Cedric Mullins",17929,656775
"Adolis García","TEX",156,657,27,88,101,25,0.0608828,0.278538812,0.249586776,0.299847792,0.456198347,9,6,151,0.756046139,"Adolis Garcia",19287,666969
"Kyle Schwarber","PHI",155,669,46,100,94,10,0.128550074,0.298953662,0.218370883,0.322869955,0.504332755,10,1,126,0.82720271,"Kyle Schwarber",16478,656941
"Matt Chapman","TOR",155,621,27,83,76,2,0.109500805,0.273752012,0.228624535,0.323671497,0.433085501,7,2,123,0.756756998,"Matt Chapman",16505,656305
