Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,NameASCII,PlayerId,MLBAMID
"Alex Bregman","HOU",155,656,23,93,93,1,0.132621951,0.117378048,0.259124087,0.365853658,0.454379562,18,2,142,0.82023322,"Alex Bregman",17678,608324
"Christian Yelich","MIL",154,671,14,99,57,19,0.13114754,0.2414307,0.252173913,0.35522388,0.382608695,9,3,145,0.737832575,"Christian Yelich",11477,592885
"Ryan McMahon","COL",153,597,20,67,67,7,0.100502512,0.264656616,0.245746691,0.326633165,0.413988657,7,3,130,0.740621822,"Ryan McMahon",15112,641857
"Amed Rosario","CLE",153,670,11,86,71,18,0.037313432,0.165671641,0.282574568,0.311940298,0.403453689,19,4,180,0.715393987,"Amed Rosario",15518,642708
"Rowdy Tellez","MIL",153,599,35,67,89,2,0.103505843,0.202003338,0.219281663,0.305509181,0.461247637,20,1,116,0.766756818,"Rowdy Tellez",15679,642133
"Randy Arozarena","TBR",153,645,20,72,89,32,0.071317829,0.241860465,0.262798634,0.327131782,0.445392491,17,12,154,0.772524273,"Randy Arozarena",19290,668227
"Tommy Edman","STL",153,630,13,95,57,32,0.073015873,0.176190476,0.265164644,0.324324324,0.40034662,10,3,153,0.724670944,"Tommy Edman",19470,669242
"Juan Soto","- - -",153,664,27,93,62,6,0.203313253,0.144578313,0.242366412,0.401206636,0.452290076,12,2,127,0.853496712,"Juan Soto",20123,665742
"Jurickson Profar","SDP",152,658,15,82,58,5,0.110942249,0.156534954,0.24347826,0.331297709,0.391304347,12,1,140,0.722602056,"Jurickson Profar",10815,595777
"Anthony Santander","BAL",152,647,33,78,89,0,0.085007727,0.188562596,0.240418118,0.318392581,0.454703832,14,2,138,0.773096413,"Anthony Santander",14551,623993
"Alex Verdugo","BOS",152,644,11,75,74,1,0.065217391,0.133540372,0.279932546,0.327639751,0.404721753,14,3,166,0.732361504,"Alex Verdugo",17027,657077
"Myles Straw","CLE",152,596,0,72,32,21,0.090604026,0.145973154,0.220560747,0.291245791,0.272897196,4,1,118,0.564142987,"Myles Straw",17620,664702
"Trent Grisham","SDP",152,524,17,58,53,7,0.108778625,0.286259541,0.184035476,0.284332688,0.341463414,3,1,83,0.625796102,"Trent Grisham",18564,663757
"Alec Bohm","PHI",152,631,13,79,72,2,0.049128367,0.174326465,0.279863481,0.315372424,0.397610921,18,3,164,0.712983345,"Alec Bohm",21618,664761
"Wilmer Flores","SFG",151,602,19,72,71,0,0.098006644,0.171096345,0.228571428,0.315614617,0.394285714,7,0,120,0.709900331,"Wilmer Flores",5827,527038
"Paul Goldschmidt","STL",151,651,35,106,115,7,0.121351766,0.216589861,0.317290552,0.403697996,0.577540106,7,0,178,0.981238102,"Paul Goldschmidt",9218,502671
"Brandon Nimmo","NYM",151,673,16,102,64,3,0.105497771,0.172362555,0.274137931,0.367164179,0.43275862,9,2,159,0.799922799,"Brandon Nimmo",12927,607043
"Corey Seager","TEX",151,663,33,91,83,3,0.087481146,0.155354449,0.244519392,0.316742081,0.455311973,14,0,145,0.772054054,"Corey Seager",13624,608369
"Daulton Varsho","ARI",151,592,27,79,74,16,0.077702702,0.244932432,0.235404896,0.30220713,0.442561205,8,6,125,0.744768335,"Daulton Varsho",19918,662139
"Manny Machado","SDP",150,644,32,100,102,9,0.097826086,0.206521739,0.297577854,0.366459627,0.531141868,12,1,172,0.897601495,"Manny Machado",11493,592518
"Xander Bogaerts","BOS",150,631,15,84,73,8,0.090332805,0.187004754,0.307001795,0.37717908,0.456014362,14,2,171,0.833193442,"Xander Bogaerts",12161,593428
"C.J. Cron","COL",150,632,29,79,102,0,0.068037974,0.25949367,0.257391304,0.315372424,0.467826086,16,0,148,0.78319851,"C.J. Cron",12546,543068
"Eugenio Suárez","SEA",150,629,31,76,87,0,0.116057233,0.311605723,0.23572744,0.332273449,0.458563535,12,0,128,0.790836984,"Eugenio Suarez",12552,553993
"Jorge Mateo","BAL",150,533,13,63,50,35,0.05065666,0.275797373,0.220647773,0.267045454,0.37854251,8,9,109,0.645587964,"Jorge Mateo",17273,622761
"Seth Brown","OAK",150,555,25,55,73,11,0.091891891,0.263063063,0.23,0.304504504,0.444,7,2,115,0.748504504,"Seth Brown",18171,664913
"Kyle Tucker","HOU",150,609,30,71,107,25,0.096880131,0.155993431,0.257352941,0.330033003,0.477941176,11,4,140,0.807974179,"Kyle Tucker",18345,663656
"Bobby Witt Jr.","KCR",150,632,20,82,80,30,0.047468354,0.213607594,0.253807106,0.294303797,0.428087986,12,7,150,0.722391783,"Bobby Witt Jr.",25764,677951
"Ha-Seong Kim","SDP",150,582,11,58,59,12,0.087628865,0.171821305,0.251450676,0.324697754,0.382978723,9,2,130,0.707676477,"Ha-Seong Kim",27506,673490
"Elvis Andrus","- - -",149,577,17,66,58,18,0.067590987,0.159445407,0.24859813,0.303292894,0.403738317,11,4,133,0.707031211,"Elvis Andrus",8709,462101
"Nolan Arenado","STL",148,620,30,73,103,5,0.083870967,0.116129032,0.292639138,0.358064516,0.533213644,15,3,163,0.89127816,"Nolan Arenado",9777,571448
"Mike Yastrzemski","SFG",148,558,17,73,57,5,0.109318996,0.252688172,0.214432989,0.305206463,0.391752577,3,1,104,0.69695904,"Mike Yastrzemski",14854,573262
"Jeff McNeil","NYM",148,589,9,73,62,4,0.067911714,0.103565365,0.326454033,0.382003395,0.454033771,6,0,174,0.836037166,"Jeff McNeil",15362,643446
"Sean Murphy","OAK",148,612,18,67,66,1,0.091503267,0.202614379,0.24953445,0.332242225,0.426443202,14,0,134,0.758685427,"Sean Murphy",19352,669221
"Geraldo Perdomo","ARI",148,500,5,58,40,9,0.1,0.206,0.194895591,0.284836065,0.262180974,3,2,84,0.547017039,"Geraldo Perdomo",22799,672695
"César Hernández","WSN",147,617,1,64,34,10,0.072933549,0.184764991,0.248214285,0.311074918,0.317857142,9,4,139,0.62893206,"Cesar Hernandez",10556,514917
"Tony Kemp","OAK",147,558,7,61,46,11,0.080645161,0.123655913,0.235412474,0.307414104,0.334004024,5,1,117,0.641418128,"Tony Kemp",14894,643393
"Steven Kwan","CLE",147,638,6,89,52,19,0.097178683,0.094043887,0.29840142,0.372641509,0.39964476,9,5,168,0.772286269,"Steven Kwan",24610,680757
"Lane Thomas","WSN",146,548,17,62,52,8,0.074817518,0.240875912,0.240963855,0.30109489,0.403614457,8,4,120,0.704709347,"Lane Thomas",16939,657041
"Yuli Gurriel","HOU",146,584,8,53,53,8,0.051369863,0.125,0.242201834,0.287671232,0.359633027,13,0,132,0.647304259,"Yuli Gurriel",19198,493329
"Andrés Giménez","CLE",146,557,17,66,69,20,0.061041292,0.201077199,0.297352342,0.370705244,0.466395112,9,3,146,0.837100356,"Andres Gimenez",19950,665926
"Kyle Farmer","CIN",145,583,14,58,78,4,0.056603773,0.16981132,0.254752851,0.314974182,0.385931558,20,3,134,0.70090574,"Kyle Farmer",14813,571657
"J.P. Crawford","SEA",145,603,6,57,42,3,0.112769485,0.132669983,0.243243243,0.339434276,0.335907335,11,2,126,0.675341611,"J.P. Crawford",15491,641487
"Ryan Mountcastle","BAL",145,609,22,62,85,4,0.070607553,0.252873563,0.25045045,0.305418719,0.423423423,12,1,139,0.728842142,"Ryan Mountcastle",18373,663624
"Bryan Reynolds","PIT",145,614,27,74,62,7,0.091205211,0.229641693,0.261992619,0.345276872,0.461254612,13,3,142,0.806531484,"Bryan Reynolds",19326,668804
"Austin Hays","BAL",145,582,16,66,60,2,0.058419243,0.195876288,0.250467289,0.305841924,0.413084112,11,4,134,0.718926036,"Austin Hays",19363,669720
"Tommy Pham","- - -",144,622,17,89,63,8,0.090032154,0.268488745,0.236462093,0.311897106,0.373646209,20,3,131,0.685543315,"Tommy Pham",2967,502054
"Gio Urshela","MIN",144,551,13,61,64,1,0.074410163,0.174228675,0.285429141,0.337568058,0.429141716,21,0,143,0.766709774,"Gio Urshela",10681,570482
"Javier Báez","DET",144,590,17,64,67,9,0.044067796,0.249152542,0.237837837,0.277966101,0.392792792,13,2,132,0.670758893,"Javier Baez",12979,595879
"Cody Bellinger","LAD",144,550,19,70,68,14,0.069090909,0.272727272,0.21031746,0.265454545,0.388888888,7,3,106,0.654343433,"Cody Bellinger",15998,641355
"Luis Arraez","MIN",144,603,8,88,49,4,0.082918739,0.071310116,0.316270566,0.374792703,0.420475319,6,4,173,0.795268022,"Luis Arraez",18568,650333
"Trey Mancini","- - -",143,587,18,56,63,0,0.090289608,0.229982964,0.238921001,0.318568994,0.391136801,12,0,124,0.709705795,"Trey Mancini",15149,641820
"Mookie Betts","LAD",142,639,35,117,82,12,0.086071987,0.162754303,0.269230769,0.339593114,0.533216783,8,2,154,0.872809897,"Mookie Betts",13611,605141
"Isiah Kiner-Falefa","NYY",142,531,4,66,48,22,0.06591337,0.13559322,0.260869565,0.314393939,0.327122153,13,4,126,0.641516092,"Isiah Kiner-Falefa",16512,643396
"Nicky Lopez","KCR",142,480,0,51,20,13,0.060416666,0.13125,0.22706422,0.280851063,0.272935779,8,3,99,0.553786842,"Nicky Lopez",19339,670032
"Taylor Walls","TBR",142,466,8,53,33,10,0.111587982,0.257510729,0.171990171,0.267818574,0.285012285,6,3,70,0.552830859,"Taylor Walls",22458,670764
"Jose Altuve","HOU",141,604,28,103,57,18,0.109271523,0.144039735,0.299810246,0.387417218,0.533206831,13,1,158,0.920624049,"Jose Altuve",5417,514888
"Randal Grichuk","COL",141,538,19,60,73,4,0.044609665,0.236059479,0.25889328,0.299256505,0.424901185,12,0,131,0.72415769,"Randal Grichuk",10243,545341
"Rafael Devers","BOS",141,614,27,84,88,3,0.081433224,0.185667752,0.295495495,0.358306188,0.52072072,14,1,164,0.879026908,"Rafael Devers",17350,646240
"Miguel Rojas","MIA",140,507,6,34,36,9,0.051282051,0.120315581,0.235668789,0.282608695,0.322717622,12,3,111,0.605326317,"Miguel Rojas",7802,500743
"Mark Canha","NYM",140,542,13,71,61,3,0.088560885,0.178966789,0.266233766,0.367158671,0.402597402,3,1,123,0.769756073,"Mark Canha",11445,592192
"Thairo Estrada","SFG",140,541,14,71,62,21,0.060998151,0.164510166,0.260245901,0.322222222,0.399590163,10,6,127,0.721812385,"Thairo Estrada",16426,642731
"Gleyber Torres","NYY",140,572,24,73,76,10,0.068181818,0.225524475,0.256653992,0.309982486,0.450570342,12,5,135,0.760552828,"Gleyber Torres",16997,650402
"Ty France","SEA",140,613,20,65,83,0,0.057096247,0.153344208,0.274047186,0.338235294,0.435571687,18,0,151,0.773806981,"Ty France",17982,664034
"J.D. Martinez","BOS",139,596,16,76,62,0,0.087248322,0.24328859,0.2739212,0.34117647,0.448405253,20,0,146,0.789581723,"J.D. Martinez",6184,502110
"Whit Merrifield","- - -",139,550,11,70,58,16,0.069090909,0.154545454,0.25,0.298181818,0.375,11,5,126,0.673181818,"Whit Merrifield",11281,593160
"J.T. Realmuto","PHI",139,562,22,75,84,21,0.072953736,0.211743772,0.27579365,0.34163701,0.478174603,7,1,139,0.819811613,"J.T. Realmuto",11739,592663
"Willy Adames","MIL",139,617,31,83,98,8,0.079416531,0.26904376,0.238010657,0.298217179,0.458259325,11,3,134,0.756476504,"Willy Adames",15986,642715
"Alejandro Kirk","TOR",139,541,14,59,63,0,0.116451016,0.107208872,0.285106382,0.371534195,0.414893617,11,0,134,0.786427812,"Alejandro Kirk",22581,672386
"AJ Pollock","CHW",138,527,14,61,56,3,0.060721062,0.185958254,0.245398773,0.292220113,0.388548057,13,1,120,0.68076817,"AJ Pollock",9256,572041
"Brandon Drury","- - -",138,568,28,87,87,2,0.066901408,0.221830985,0.262548262,0.320422535,0.492277992,8,3,136,0.812700527,"Brandon Drury",11615,592273
"Nick Gordon","MIN",138,443,9,45,50,6,0.04288939,0.237020316,0.271604938,0.31590909,0.427160493,8,4,110,0.743069583,"Nick Gordon",16337,624503
"Ketel Marte","ARI",137,558,12,68,52,5,0.098566308,0.181003584,0.239837398,0.32078853,0.406504065,12,1,118,0.727292595,"Ketel Marte",13613,606466
"Yandy Díaz","TBR",137,558,9,71,57,3,0.139784946,0.107526881,0.295983086,0.401433691,0.42283298,10,3,140,0.824266671,"Yandy Diaz",16578,650490
"Brendan Rodgers","COL",137,581,13,72,63,0,0.079173838,0.173838209,0.265654648,0.325301204,0.407969639,25,0,140,0.733270843,"Brendan Rodgers",17907,663898
"Will Smith","LAD",137,578,24,68,87,1,0.096885813,0.166089965,0.259842519,0.342560553,0.464566929,11,0,132,0.807127482,"Will Smith",19197,669257
"Eduardo Escobar","NYM",136,542,20,58,69,0,0.073800738,0.23800738,0.24040404,0.295202952,0.43030303,4,2,119,0.725505982,"Eduardo Escobar",6153,500871
"Nick Castellanos","PHI",136,558,13,56,62,7,0.051971326,0.23297491,0.263358778,0.304659498,0.389312977,15,1,138,0.693972475,"Nick Castellanos",11737,592206
"Max Muncy","LAD",136,565,21,69,69,2,0.159292035,0.249557522,0.196120689,0.329203539,0.383620689,2,0,91,0.712824228,"Max Muncy",13301,571970
"Jesse Winker","SEA",136,547,14,51,53,0,0.153564899,0.188299817,0.219298245,0.34369287,0.344298245,8,0,100,0.687991115,"Jesse Winker",13590,608385
"Carlos Correa","MIN",136,590,22,70,64,0,0.10338983,0.205084745,0.291187739,0.366101694,0.46743295,18,1,152,0.833534644,"Carlos Correa",14162,621043
"Ke'Bryan Hayes","PIT",136,560,7,55,41,20,0.085714285,0.217857142,0.243564356,0.314285714,0.344554455,12,5,123,0.658840169,"Ke'Bryan Hayes",18577,663647
"Jeremy Peña","HOU",136,558,22,72,63,11,0.039426523,0.241935483,0.253358925,0.288808664,0.426103646,5,2,132,0.71491231,"Jeremy Pena",21636,665161
"Charlie Blackmon","COL",135,577,16,60,78,4,0.055459272,0.188908145,0.264150943,0.314136125,0.418867924,10,1,140,0.733004049,"Charlie Blackmon",7859,453568
"Rougned Odor","BAL",135,472,13,49,53,6,0.06779661,0.230932203,0.206572769,0.275423728,0.356807511,9,1,88,0.632231239,"Rougned Odor",12282,596059
"Luke Voit","- - -",135,568,22,55,69,1,0.096830985,0.315140845,0.226,0.308098591,0.402,9,1,113,0.710098591,"Luke Voit",14811,572228
"Taylor Ward","LAA",135,564,23,73,65,5,0.106382978,0.212765957,0.28080808,0.359929078,0.472727272,5,3,139,0.83265635,"Taylor Ward",17548,621493
"Yordan Alvarez","HOU",135,561,37,95,97,1,0.139037433,0.188948306,0.306382978,0.406417112,0.612765957,12,1,144,1.019183069,"Yordan Alvarez",19556,670541
"Santiago Espinal","TOR",135,491,7,51,51,6,0.073319755,0.138492871,0.267260579,0.322448979,0.369710467,12,6,120,0.692159446,"Santiago Espinal",19997,669289
"Nico Hoerner","CHC",135,517,10,60,55,20,0.054158607,0.11025145,0.28066528,0.32688588,0.409563409,11,2,135,0.736449289,"Nico Hoerner",21479,663538
"David Peralta","- - -",134,490,12,39,59,1,0.083673469,0.232653061,0.250569476,0.31632653,0.414578587,8,3,110,0.730905117,"David Peralta",2136,444482
"Andrew McCutchen","MIL",134,580,17,66,69,8,0.098275862,0.213793103,0.236893203,0.315517241,0.384466019,10,6,122,0.69998326,"Andrew McCutchen",9847,457705
"Joc Pederson","SFG",134,433,23,57,70,3,0.09699769,0.230946882,0.27368421,0.353348729,0.521052631,5,2,104,0.87440136,"Joc Pederson",11899,592626
"Kolten Wong","MIL",134,497,15,65,47,17,0.092555331,0.177062374,0.25116279,0.339393939,0.430232558,5,6,108,0.769626497,"Kolten Wong",12532,543939
"Patrick Wisdom","CHC",134,534,25,67,66,8,0.099250936,0.342696629,0.206823027,0.298311444,0.426439232,8,4,97,0.724750676,"Patrick Wisdom",13602,621550
"Brandon Marsh","- - -",134,461,11,49,52,10,0.060737527,0.342733188,0.245283018,0.294759825,0.384433962,4,4,104,0.679193787,"Brandon Marsh",20202,669016
"Andrew Vaughn","CHW",134,555,17,60,76,0,0.055855855,0.172972972,0.270588235,0.32072072,0.429411764,13,0,138,0.750132484,"Andrew Vaughn",26197,683734
"George Springer","TOR",133,583,25,89,76,14,0.092624356,0.171526586,0.26705653,0.341968911,0.471734892,7,2,137,0.813703803,"George Springer",12856,543807
"Josh Donaldson","NYY",132,546,15,59,62,2,0.098901098,0.271062271,0.221757322,0.307692307,0.374476987,13,2,106,0.682169294,"Josh Donaldson",5038,518626
"Jackie Bradley Jr.","- - -",132,370,4,30,38,2,0.064864864,0.208108108,0.203488372,0.255434782,0.311046511,5,3,70,0.566481293,"Jackie Bradley Jr.",12984,598265
"Victor Robles","WSN",132,407,6,42,33,15,0.041769041,0.255528255,0.224043715,0.272727272,0.311475409,3,4,82,0.584202681,"Victor Robles",18363,645302
"Julio Rodríguez","SEA",132,560,28,84,75,25,0.071428571,0.258928571,0.283757338,0.344642857,0.508806262,7,7,145,0.853449119,"Julio Rodriguez",23697,677594
"Carlos Santana","- - -",131,506,19,52,60,0,0.140316205,0.173913043,0.201856148,0.316205533,0.375870069,9,0,87,0.692075602,"Carlos Santana",2396,467793
"Jonathan Schoop","DET",131,510,11,48,38,5,0.037254901,0.209803921,0.201663201,0.239215686,0.322245322,15,0,97,0.561461008,"Jonathan Schoop",11265,570731
"Teoscar Hernández","TOR",131,535,25,71,77,6,0.063551401,0.284112149,0.266533066,0.31588785,0.490981963,18,3,133,0.806869813,"Teoscar Hernandez",13066,606192
"Anthony Rizzo","NYY",130,548,32,77,75,6,0.105839416,0.184306569,0.223655913,0.33759124,0.479569892,13,5,104,0.817161132,"Anthony Rizzo",3473,519203
"Aaron Hicks","NYY",130,453,8,54,40,10,0.136865342,0.240618101,0.216145833,0.329646017,0.3125,10,3,83,0.642146017,"Aaron Hicks",5297,543305
"Daniel Vogelbach","- - -",130,461,18,47,59,0,0.158351409,0.247288503,0.238341968,0.360086767,0.432642487,11,0,92,0.792729254,"Daniel Vogelbach",14130,596129
"Owen Miller","CLE",130,472,6,53,51,2,0.06779661,0.197033898,0.242924528,0.300847457,0.351415094,8,0,103,0.652262551,"Owen Miller",24655,680911
"Robbie Grossman","- - -",129,477,7,40,45,6,0.117400419,0.270440251,0.209245742,0.310272536,0.311435523,3,2,86,0.621708059,"Robbie Grossman",5254,543257
"Jesús Aguilar","- - -",129,507,16,39,51,1,0.055226824,0.234714003,0.234913793,0.281437125,0.379310344,8,0,109,0.660747469,"Jesus Aguilar",11342,542583
"Hunter Dozier","KCR",129,500,12,51,41,4,0.068,0.25,0.235930735,0.292,0.387445887,14,3,109,0.679445887,"Hunter Dozier",15117,641531
"Michael Chavis","PIT",129,426,14,39,49,1,0.044600938,0.295774647,0.229426433,0.265258215,0.389027431,4,1,92,0.654285646,"Michael Chavis",17321,656308
"Gavin Lux","LAD",129,471,6,66,42,7,0.099787685,0.201698513,0.275534441,0.346072186,0.399049881,3,2,116,0.745122067,"Gavin Lux",19955,666158
"MJ Melendez","KCR",129,534,18,57,62,2,0.123595505,0.245318352,0.217391304,0.312734082,0.39347826,2,3,100,0.706212342,"MJ Melendez",22197,669004
"Justin Turner","LAD",128,532,13,61,81,3,0.093984962,0.167293233,0.277777777,0.34962406,0.438034188,13,0,130,0.787658248,"Justin Turner",5235,457759
"Gary Sánchez","MIN",128,471,16,42,61,2,0.08492569,0.288747346,0.205250596,0.282377919,0.377088305,12,0,86,0.659466224,"Gary Sanchez",11442,596142
"Raimel Tapia","TOR",128,433,7,47,52,8,0.036951501,0.187066974,0.265206812,0.292056074,0.379562043,12,2,109,0.671618117,"Raimel Tapia",14350,606132
"Dylan Carlson","STL",128,488,8,56,42,5,0.092213114,0.19262295,0.236111111,0.31557377,0.379629629,6,2,102,0.695203399,"Dylan Carlson",20126,666185
"Jonah Heim","TEX",127,450,16,51,48,2,0.091111111,0.193333333,0.226600985,0.297777777,0.399014778,10,0,92,0.696792555,"Jonah Heim",16930,641680
"Luis Rengifo","LAA",127,511,17,45,52,6,0.033268101,0.154598825,0.26380368,0.294117647,0.429447852,11,2,129,0.723565499,"Luis Rengifo",19858,650859
"Bryson Stott","PHI",127,466,10,58,49,12,0.077253218,0.190987124,0.234192037,0.294623655,0.358313817,3,4,100,0.652937472,"Bryson Stott",26294,681082
"Joey Gallo","- - -",126,410,19,48,47,3,0.136585365,0.397560975,0.16,0.280487804,0.357142857,0,0,56,0.637630661,"Joey Gallo",14128,608336
"Andrew Benintendi","- - -",126,521,5,54,51,8,0.099808061,0.147792706,0.303687635,0.373076923,0.399132321,7,3,140,0.772209244,"Andrew Benintendi",17901,643217
"Brendan Donovan","STL",126,468,5,64,45,2,0.128205128,0.149572649,0.281329923,0.394004282,0.378516624,8,3,110,0.772520906,"Brendan Donovan",24679,680977
"DJ LeMahieu","NYY",125,541,12,74,46,4,0.123844731,0.131238447,0.26124197,0.357407407,0.376873661,12,3,122,0.734281068,"DJ LeMahieu",9874,518934
"Kole Calhoun","TEX",125,424,12,36,49,3,0.063679245,0.320754716,0.195876288,0.257075471,0.329896907,6,2,76,0.586972378,"Kole Calhoun",11200,594777
"Andrew Velazquez","LAA",125,349,9,37,28,17,0.042979942,0.340974212,0.195652173,0.236151603,0.304347826,3,1,63,0.540499429,"Andrew Velazquez",14196,623205
"Hunter Renfroe","MIL",125,522,29,62,72,1,0.074712643,0.231800766,0.255274261,0.315384615,0.491561181,11,1,121,0.806945796,"Hunter Renfroe",15464,592669
"Austin Slater","SFG",125,325,7,49,34,12,0.123076923,0.273846153,0.263537906,0.366153846,0.407942238,9,1,73,0.774096084,"Austin Slater",16153,596103
"Josh Rojas","ARI",125,510,9,66,56,23,0.107843137,0.192156862,0.268623024,0.348514851,0.390519187,7,3,119,0.739034038,"Josh Rojas",19734,668942
"Jose Miranda","MIN",125,483,15,45,66,1,0.057971014,0.188405797,0.268018018,0.325051759,0.425675675,19,1,119,0.750727434,"Jose Miranda",20538,669304
"Nelson Cruz","WSN",124,507,10,50,64,4,0.096646942,0.234714003,0.234375,0.313492063,0.337053571,16,0,105,0.650545634,"Nelson Cruz",2434,443558
"Marcell Ozuna","ATL",124,507,23,56,56,2,0.061143984,0.240631163,0.225531914,0.274161735,0.412765957,12,1,106,0.686927692,"Marcell Ozuna",10324,542303
"Michael A. Taylor","KCR",124,456,9,49,43,4,0.076754385,0.239035087,0.253623188,0.31277533,0.357487922,6,2,105,0.670263252,"Michael A. Taylor",11489,572191
"Jeimer Candelario","DET",124,467,13,49,50,0,0.059957173,0.23340471,0.216783216,0.271948608,0.361305361,9,1,93,0.633253969,"Jeimer Candelario",13621,600869
"Gavin Sheets","CHW",124,410,15,34,53,0,0.065853658,0.209756097,0.24137931,0.295121951,0.411140583,9,0,91,0.706262534,"Gavin Sheets",19901,657757
"Josh Naylor","CLE",122,498,20,47,79,6,0.07630522,0.16064257,0.256124721,0.319277108,0.452115812,13,1,115,0.77139292,"Josh Naylor",18839,647304
"Gilberto Celestino","MIN",122,347,2,30,24,4,0.09221902,0.221902017,0.237942122,0.313043478,0.302250803,13,1,74,0.615294281,"Gilberto Celestino",20233,665482
"Lourdes Gurriel Jr.","TOR",121,493,5,52,52,3,0.062880324,0.168356997,0.291390728,0.343495934,0.399558498,11,4,132,0.743054432,"Lourdes Gurriel Jr.",19238,666971
"Tyrone Taylor","MIL",120,405,17,49,51,3,0.054320987,0.251851851,0.233243967,0.286419753,0.442359249,11,2,87,0.728779002,"Tyrone Taylor",13675,621438
"Harold Ramírez","TBR",120,435,6,46,58,3,0.04367816,0.165517241,0.300248138,0.342528735,0.404466501,5,5,121,0.746995236,"Harold Ramirez",14387,623912
