W,L,ERA,WHIP,G,GS,QS,SV,BS,HLD,IP,SO,K/9,BB/9,HR/9,GB%,LD%,FB%,FBv,NameASCII,PlayerId,MLBAMID
4,3,3.218543859,1.132450617,52,0,0,22,4,1,50.1,69,12.33775146,3.576159844,0.536423977,0.487179487,0.162393162,0.35042735,100.1132638,Aroldis Chapman,10233,547973
4,1,2.793104183,1.189655485,54,0,0,0,4,13,58,52,8.06896764,4.189656275,0.465517364,0.506329113,0.234177215,0.25949367,98.95107034,Joe Kelly,9761,523260
0,0,0,0,1,0,0,0,0,0,1,1,9,0,0,0.5,0.5,0,98.71428571,Thyago Vieira,14510,600986
3,6,2.865922276,1.223463896,66,0,0,10,3,19,59.2,100,15.08380145,6.63687264,0.452514044,0.485714285,0.133333333,0.38095238,98.53620352,Dellin Betances,6216,476454
5,3,1.672566654,0.889380681,73,0,0,21,2,14,75.1,88,10.51327611,2.389380934,0.477876187,0.529411764,0.187165775,0.283422459,98.50070323,Felipe Vazquez,12076,553878
3,4,3.398602124,1.195804451,50,0,0,11,2,12,47.2,76,14.34965341,3.776224582,0.566433687,0.40776699,0.281553398,0.310679611,98.43920973,Trevor Rosenthal,10745,572096
0,0,4.320000659,1.800000275,8,0,0,0,0,0,8.1,10,10.80000165,6.480000989,2.16000033,0.260869565,0.434782608,0.304347826,98.34653465,Sandy Alcantara,18684,645261
5,0,1.434782926,0.681159571,67,0,0,35,4,1,69,126,16.43478624,1.82608736,0.782608869,0.37037037,0.194444444,0.435185185,98.32782719,Craig Kimbrel,6655,518886
1,2,2.967033278,1.054945166,7,7,4,0,0,0,30.1,34,10.08791315,0.890109983,0,0.576470588,0.188235294,0.235294117,98.2991453,Noah Syndergaard,11762,592789
0,3,3.640451155,1.112360075,35,0,0,0,0,7,29.2,29,8.797756957,2.730338366,0.30337093,0.536585365,0.158536585,0.304878048,98.24857143,Jose Alvarado,17780,621237
1,1,7.253732995,1.858209378,42,0,0,0,1,6,44.2,48,9.671643994,7.052240412,1.410448082,0.353846153,0.184615384,0.461538461,98.21937322,Brian Ellington,17233,623395
0,0,5.850001674,1.900000544,21,0,0,0,1,4,20,29,13.05000373,5.400001545,2.700000772,0.351851851,0.222222222,0.425925925,98.19014085,Ryne Stanek,15947,592773
1,0,7.714285977,2.035714355,8,0,0,0,0,1,9.1,12,11.57142897,7.714285977,1.928571494,0.666666666,0.166666666,0.166666666,98.14179104,Walker Buehler,19374,621111
