W,L,ERA,WHIP,G,GS,QS,SV,BS,HLD,IP,SO,K/9,BB/9,HR/9,GB%,LD%,FB%,FBv,NameASCII,PlayerId,MLBAMID
1,3,2.297872434,1.037234085,63,0,0,34,4,2,62.2,83,11.92021325,3.015957569,0.574468108,0.439716312,0.177304964,0.382978723,98.10358566,Ken Giles,12910,571704
0,0,10.80000412,2.400000916,2,0,0,0,0,0,1.2,2,10.80000412,10.80000412,0,0.2,0.6,0.2,98.03846154,Tanner Scott,17586,656945
0,0,5.178082868,1.479452248,19,0,0,0,0,0,24.1,29,10.7260288,8.136987364,2.219178372,0.428571428,0.142857142,0.428571428,97.98965517,Ariel Hernandez,15603,554374
2,4,3.556886878,1.401197861,53,0,0,2,2,10,55.2,65,10.50898396,3.718563554,1.131736734,0.389610389,0.188311688,0.422077922,97.98961039,Enny Romero,4001,544836
2,4,2.585107196,1.117021628,69,0,0,0,6,15,62.2,96,13.78723838,2.44149013,0.574468266,0.407142857,0.214285714,0.378571428,97.85946746,Tommy Kahnle,11384,592454
5,3,2.825582022,1.098837453,62,0,0,14,3,17,57.1,64,10.04651386,3.296512359,1.098837453,0.385135135,0.162162162,0.452702702,97.82725528,Arodys Vizcaino,5498,527055
6,0,2.061069182,0.916030748,45,0,0,2,1,10,43.2,50,10.30534591,1.854962264,0,0.449541284,0.23853211,0.311926605,97.69577465,Brandon Morrow,9346,453344
1,1,7.031250838,1.84375022,23,0,0,0,0,1,32,36,10.12500121,5.625000671,2.812500335,0.354838709,0.236559139,0.40860215,97.66093366,Frankie Montas,14309,593423
14,6,2.979310423,1.0396552,31,31,21,0,0,0,193.1,230,10.70689683,2.374137993,0.977586233,0.506122448,0.187755102,0.306122448,97.58380772,Luis Severino,15890,622663
3,4,3.78344041,1.452229652,57,0,0,10,5,10,52.1,58,9.974524717,3.267516717,1.203821949,0.373417721,0.196202531,0.430379746,97.49464012,Matt Bush,1246,456713
3,3,4.247191375,1.348314722,64,0,0,26,5,4,59.1,56,8.494382751,3.033708125,1.365168656,0.475138121,0.182320441,0.342541436,97.46084337,Kelvin Herrera,6033,516969
3,7,3.123133973,1.074626743,15,15,8,0,0,0,89.1,98,9.873133204,3.22388023,1.108208829,0.588235294,0.122171945,0.28959276,97.45081081,Luis Castillo,15689,622491
1,4,1.776316324,1.157895086,76,0,0,39,6,11,76,126,14.92105713,4.736843532,0.71052653,0.382978723,0.170212765,0.44680851,97.3613963,Corey Knebel,15010,608349
0,0,9,3.4,4,0,0,0,0,0,5,2,3.6,9,0,0.59090909,0.272727272,0.136363636,97.33695652,Jairo Diaz,12774,545064
4,6,3.272728408,1.151515551,66,0,0,34,5,2,66,89,12.13636785,4.363637877,1.363636837,0.390728476,0.145695364,0.463576158,97.32425422,Edwin Diaz,14710,621242
3,6,3.925110858,1.387665455,72,0,0,16,5,10,75.2,74,8.801763742,2.973568832,0.71365652,0.584474885,0.187214611,0.228310502,97.16334165,Blake Treinen,12572,595014
1,0,2.314286975,1.285714986,11,0,0,0,0,4,11.2,15,11.57143488,4.628573951,0.771428992,0.538461538,0.192307692,0.269230769,97.15238095,Nate Jones,4696,518858
2,5,2.649533183,1.219626386,66,0,0,2,5,14,71.1,60,7.570094807,3.280374417,0.37850474,0.563106796,0.17961165,0.257281553,97.15127389,Luis Garcia,6984,472610
0,1,4.695653147,1.434782906,9,0,0,0,1,2,7.2,12,14.08695944,4.695653147,2.347826574,0.352941176,0.235294117,0.411764705,97.12121212,Rubby De La Rosa,3862,523989
2,3,3.193549173,1.193548681,68,0,0,0,5,27,62,56,8.129034259,4.209678455,1.306451934,0.46060606,0.115151515,0.424242424,97.10849057,Jose Ramirez,10171,542432
5,0,5.567010528,1.639175322,35,0,0,0,0,6,32.1,31,8.628866319,3.89690737,0.835051579,0.450980392,0.284313725,0.264705882,97.08878505,Carlos Estevez,14542,608032
0,0,13.50003339,3.000007421,2,0,0,0,0,0,1.1,2,13.50003339,6.750016697,0,0.4,0.6,0,97.06666667,Fabio Castillo,2826,503566
3,6,2.953126232,1.328125554,66,0,0,0,3,23,64,64,9.000003755,4.078126702,1.265625528,0.345945945,0.221621621,0.432432432,97.01875733,Pedro Baez,5420,520980
1,1,3.907895521,1.263158148,24,0,0,0,1,2,25.1,17,6.039474897,2.842105834,1.421052917,0.428571428,0.22077922,0.35064935,96.98373984,Dovydas Neverauskas,11604,596720
1,4,5.700002537,1.566667364,31,0,0,0,3,6,30,28,8.400003738,4.500002003,1.200000534,0.306818181,0.227272727,0.46590909,96.93253968,Jumbo Diaz,3397,471822
6,1,3.857143193,1.337142974,64,0,0,3,2,10,58.1,63,9.720000848,2.777143099,1.697143005,0.375757575,0.212121212,0.412121212,96.84313725,Keynan Middleton,15264,641871
1,3,10.91489539,1.978723725,21,0,0,1,1,7,15.2,22,12.63829992,5.744681784,0.574468178,0.395348837,0.302325581,0.302325581,96.8,Bruce Rondon,5766,541652
0,0,10.1250006,2.250000134,6,0,0,0,0,0,5.1,11,18.56250111,10.1250006,0,0.5,0.4,0.1,96.78723404,Dillon Maples,14672,596027
1,1,4.242857721,1.350000184,41,0,0,0,4,2,46.2,52,10.02857279,3.857143383,1.735714522,0.361538461,0.169230769,0.469230769,96.73333333,Dan Altavilla,16507,656186
3,4,4.000000848,1.250000265,73,0,0,2,5,24,72,80,10.00000212,4.125000874,1.000000212,0.532608695,0.195652173,0.27173913,96.71044776,Jacob Barnes,12323,606930
3,6,6.522472469,1.550561931,68,0,0,22,4,6,59.1,59,8.949438969,2.882022719,1.21348325,0.385026737,0.262032085,0.352941176,96.59585492,Brandon Maurer,4878,543506
0,1,5.120692518,1.241380004,23,0,0,8,2,5,19.1,17,7.913797528,1.862070007,0.465517502,0.440677966,0.220338983,0.33898305,96.47826087,Koda Glover,17695,606983
3,4,3.757734323,1.190722399,69,0,0,0,2,16,64.2,57,7.932994682,3.340208287,1.113402762,0.541899441,0.162011173,0.296089385,96.46296296,Wandy Peralta,14295,593974
4,1,2.793104183,0.905172652,39,0,0,2,1,11,38.2,51,11.87069278,3.956897593,0.931034728,0.304878048,0.121951219,0.573170731,96.45915493,Keone Kela,14696,605309
0,1,3.139533491,1.395348218,7,0,0,0,0,0,14.1,18,11.30232057,5.651160284,0.627906698,0.545454545,0.212121212,0.242424242,96.43307087,Domingo German,17149,593334
4,1,4.238372469,1.220930341,61,0,0,0,3,10,57.1,69,10.83139631,3.139535162,1.569767581,0.48275862,0.165517241,0.351724137,96.41693811,Hector Rondon,2391,444468
3,3,2.486841606,1.105262936,63,0,0,28,2,0,76,92,10.89473465,3.197367779,0.592105144,0.421621621,0.254054054,0.324324324,96.41142857,Raisel Iglesias,17130,628452
8,4,4.44578395,1.349397838,70,0,0,2,5,18,83,80,8.67470039,3.686747666,0.975903794,0.546218487,0.201680672,0.25210084,96.40714286,Michael Lorenzen,14843,547179
3,3,1.726027938,1.041096217,63,0,0,1,6,25,73,79,9.739729081,2.589041908,0.49315084,0.478494623,0.231182795,0.29032258,96.40685714,Archie Bradley,12918,605151
3,5,2.607955676,0.97159133,61,0,0,1,0,25,58.2,64,9.818186074,2.147728204,0.920454944,0.44217687,0.210884353,0.346938775,96.34146341,Tommy Hunter,1157,488984
1,3,4.909091441,1.363636511,5,5,2,0,0,0,29.1,31,9.511364667,2.454545721,0.61363643,0.353658536,0.207317073,0.43902439,96.30487805,Luiz Gohara,15166,627894
0,1,4.937144256,1.611429028,66,0,0,0,1,14,58.1,55,8.48571669,3.702858192,0.617143032,0.571428571,0.192307692,0.236263736,96.26381462,Scott Oberg,13911,623184
0,1,6.480000247,1.260000048,14,0,0,1,0,1,16.2,19,10.26000039,4.860000185,2.160000082,0.38095238,0.166666666,0.452380952,96.23125,Josh Ravin,2951,502051
4,2,5.625002235,1.562500621,46,0,0,0,2,2,48,70,13.12500522,4.125001639,1.500000596,0.309523809,0.269841269,0.42063492,96.22635659,Michael Feliz,11903,593140
2,5,5.478261551,1.369565388,49,0,0,8,1,2,46,37,7.239131335,4.50000056,1.760869784,0.325757575,0.219696969,0.454545454,96.20300752,Neftali Feliz,18,491703
0,0,8.250003934,2.333334446,11,0,0,0,0,0,12,3,2.250001073,10.50000501,1.500000715,0.488372093,0.255813953,0.255813953,96.13017751,Brad Goldberg,14776,643329
1,0,8.756759014,1.378378734,8,0,0,0,0,0,12.1,10,7.297299178,0.729729918,3.648649589,0.418604651,0.186046511,0.395348837,96.13,Angel Sanchez,11776,605795
2,1,2.892857833,1.526786078,38,0,0,15,2,0,37.1,29,6.991073095,4.339286749,0.241071486,0.725663716,0.194690265,0.079646017,96.12204007,Zack Britton,3240,502154
3,4,5.448431146,1.57399122,72,0,0,0,1,3,74.1,84,10.17040481,3.995516174,0.968609981,0.52112676,0.230046948,0.248826291,96.08180536,Blake Wood,1345,502028
1,1,5.00000106,1.555555885,28,0,0,0,1,2,27,26,8.666668503,5.00000106,2.333333828,0.375,0.2,0.425,96.07120743,Jake Barrett,13322,545332
5,4,2.834254562,1.176795754,69,0,0,0,4,21,60.1,65,9.696134027,3.878453611,0.596685171,0.592105263,0.105263157,0.302631578,96.05319149,Pedro Strop,4070,467008
0,0,8.499997298,1.444443985,14,0,0,0,0,0,18,17,8.499997298,2.499999205,3.999998728,0.327272727,0.181818181,0.49090909,96.02547771,Jose A. Valdez,14470,572308
1,1,5.785716425,1.683674092,20,1,0,1,0,0,32.2,17,4.683675201,3.581633978,0.551020612,0.540983606,0.25409836,0.204918032,96.02352941,Bryan Mitchell,11479,571951
5,4,7.848838689,1.831395694,19,8,2,0,0,0,57.1,52,8.162792236,5.023256761,1.569767738,0.445054945,0.219780219,0.335164835,95.98931298,Wily Peralta,7738,503449
12,12,4.256157635,1.251231527,33,33,20,0,0,0,203,196,8.689655172,2.438423645,1.374384236,0.457685664,0.20552677,0.336787564,95.98828921,Gerrit Cole,13125,543037
0,2,7.043479721,1.043478477,9,0,0,0,0,0,7.2,8,9.391306295,4.695653147,1.173913287,0.444444444,0.055555555,0.5,95.97014925,Shae Simmons,14200,623406
10,4,3.670694526,1.296072388,20,20,10,0,0,0,110.1,112,9.135950819,2.447129684,0.815709895,0.488888888,0.225396825,0.285714285,95.96175908,Jon Gray,14916,592351
4,4,3.413793889,1.293103746,65,0,0,13,3,9,58,80,12.41379596,5.431035733,0.775862248,0.374045801,0.183206106,0.442748091,95.95275591,Justin Wilson,4301,458677
0,0,4.050001545,1.200000458,9,0,0,0,1,1,6.2,5,6.750002575,1.350000515,0,0.565217391,0.173913043,0.260869565,95.92424242,Jamie Callahan,14711,621094
0,0,5.39999691,2.399998627,6,0,0,0,0,0,5,2,3.59999794,12.59999279,0,0.5,0.0625,0.4375,95.91803279,Jandel Gustave,14665,594311
0,0,6.75,1.75,2,0,0,0,0,0,4,1,2.25,4.5,2.25,0.3125,0.5625,0.125,95.9,Keury Mella,15964,622492
1,1,7.344003222,1.656000726,31,3,0,0,0,0,41.2,33,7.128003127,5.400002369,2.376001042,0.403100775,0.178294573,0.418604651,95.89920949,Miguel Diaz,18815,622766
0,0,1.928571691,1.285714461,5,0,0,0,0,0,4.2,4,7.714286765,3.857143383,0,0.428571428,0.428571428,0.142857142,95.890625,Taylor Williams,14899,592865
0,1,3.00000248,1.000000827,16,0,0,0,0,5,15,26,15.60001289,1.200000992,0.600000496,0.375,0.21875,0.40625,95.88888889,A.J. Minter,18655,621345
2,2,4.378378491,1.459459497,26,0,0,6,1,2,24.2,25,9.121621857,5.472973114,0.364864874,0.602941176,0.205882352,0.19117647,95.87833828,Jeurys Familia,5114,544727
10,12,3.825910813,1.153846118,25,25,18,0,0,0,164.2,114,6.230769038,2.18623475,0.710526294,0.492125984,0.218503937,0.289370078,95.84914676,Michael Fulmer,13218,605242
2,3,3.941606059,1.379562121,47,0,0,2,1,10,45.2,60,11.82481818,7.883212118,0.788321212,0.395833333,0.104166666,0.5,95.83371298,Jose Leclerc,14524,600917
0,0,12.15001159,1.95000186,6,0,0,0,0,0,6.2,2,2.700002575,8.100007725,0,0.478260869,0.217391304,0.304347826,95.83116883,Arcenio Leon,8846,455376
5,0,1.826087562,0.73913068,40,1,0,0,1,9,69,103,13.43478707,2.21739204,0.521739304,0.263565891,0.271317829,0.465116279,95.82278481,Chad Green,15552,643338
0,0,22.09091292,3.54545516,2,0,0,0,0,0,3.2,1,2.45454588,7.36363764,4.90909176,0.5,0.1,0.4,95.81818182,Andres Machado,14681,600921
2,3,4.695653732,1.15760908,57,0,0,0,1,6,61.1,61,8.951089926,2.788044403,1.467391791,0.506024096,0.168674698,0.325301204,95.79471545,Ryan Pressly,7005,519151
0,2,2.277108172,0.903614354,6,6,1,0,0,0,27.2,27,8.783131521,2.277108172,0.325301167,0.541666666,0.166666666,0.291666666,95.76706827,Garrett Richards,9784,572070
0,0,2.700000257,1.350000129,7,0,0,0,1,0,6.2,11,14.85000142,4.050000386,1.350000129,0.466666666,0.2,0.333333333,95.74137931,Reyes Moronta,14966,606625
4,5,3.74257454,1.336633764,13,13,6,0,0,0,67.1,75,10.02475323,5.61386181,0.801980259,0.464705882,0.223529411,0.311764705,95.73402675,Alex Meyer,12833,543542
1,1,1.989473604,0.978947329,28,0,0,0,1,2,31.2,23,6.536841843,2.557894634,1.13684206,0.375,0.170454545,0.454545454,95.66384181,Alan Busenitz,15239,641427
4,3,2.64130506,1.434782995,68,0,0,1,2,21,61.1,58,8.510871859,4.25543593,0.58695668,0.387640449,0.168539325,0.443820224,95.65527489,Hunter Strickland,7836,519326
12,11,3.64390271,1.219512286,32,32,20,0,0,0,205,217,9.526829977,3.117073403,1.185365942,0.512681159,0.188405797,0.298913043,95.64869467,Carlos Martinez,11682,593372
8,1,2.745762801,1.042372915,69,0,0,0,5,21,78.2,88,10.06779694,2.860169584,1.144067834,0.426395939,0.172588832,0.401015228,95.62382445,Mychal Givens,10430,571710
5,2,5.797545944,1.509202436,32,4,0,0,1,1,54.1,69,11.42944772,5.134969265,1.159509189,0.425531914,0.219858156,0.354609929,95.60456942,Francis Martes,17303,642564
15,4,2.51520898,1.015209067,28,28,20,0,0,0,175.1,204,10.47148228,2.412547389,0.667300342,0.467889908,0.190366972,0.341743119,95.60303688,Stephen Strasburg,10131,544931
0,3,4.75,1.472222222,10,5,0,0,0,0,36,30,7.5,4.25,1.75,0.454545454,0.181818181,0.363636363,95.59923664,Luis Cessa,13345,570666
3,3,3.527639184,1.221105871,39,1,0,0,0,1,66.1,38,5.155780346,3.798996044,1.085427441,0.492610837,0.172413793,0.334975369,95.59083728,Miguel Castro,15684,612434
2,7,4.378379101,1.4594597,71,0,0,0,2,21,61.2,66,9.632434021,4.816217011,1.02162179,0.432926829,0.207317073,0.359756097,95.55287009,Daniel Hudson,7146,543339
0,0,3.061856874,1.206186041,30,0,0,0,0,1,32.1,28,7.793817498,4.731960624,0.55670125,0.379310344,0.16091954,0.459770114,95.54101996,Kyle Crick,13182,605195
4,5,3.857144685,1.39751619,59,0,0,0,3,10,53.2,65,10.90062628,4.024846628,1.1739136,0.510344827,0.220689655,0.268965517,95.53846154,James Pazos,13323,572021
8,11,4.347457768,1.468220386,31,31,8,0,0,0,157.1,142,8.122881619,4.118644201,0.972457659,0.419068736,0.232815964,0.348115299,95.52989449,Chad Kuhl,14975,641771
2,1,3.128049799,1.189024777,52,0,0,0,1,5,54.2,49,8.067075798,3.292683999,0.6585368,0.361290322,0.225806451,0.412903225,95.52700186,Gregory Infante,9119,500872
11,10,4.153845867,1.34389131,27,24,11,0,1,0,147.1,105,6.414026706,2.993212463,1.282805341,0.514285714,0.182417582,0.303296703,95.51744681,JC Ramirez,8302,500724
0,0,13.5,3.5,2,0,0,0,0,0,2,0,0,9,0,0.5,0.2,0.3,95.5,Miguel Almonte,14139,602083
10,12,4.074626556,1.258706372,34,34,20,0,0,0,201,249,11.14925288,2.68656696,1.208955132,0.420262664,0.219512195,0.36022514,95.49381188,Chris Archer,6345,502042
14,7,3.819253624,1.273084541,34,28,12,0,0,0,169.2,113,5.994106382,3.39489211,1.37917492,0.43076923,0.186538461,0.382692307,95.48735349,Jose Urena,11589,570632
2,3,3.629034714,1.451613886,62,0,0,0,3,14,62,70,10.1612972,2.612904994,1.451613886,0.388888888,0.205555555,0.405555555,95.42150171,Heath Hembree,11632,592390
12,5,2.977941511,1.1029413,24,24,14,0,0,0,136,156,10.32353057,2.448529686,0.595588302,0.448863636,0.224431818,0.326704545,95.41621622,James Paxton,11828,572020
3,3,2.551181179,1.086614206,37,0,0,0,0,1,42.1,34,7.228346674,2.338582747,0.850393726,0.487804878,0.195121951,0.31707317,95.40350877,Sam Tuivailala,13485,592815
0,1,6.230771973,1.615385326,16,0,0,1,2,1,13,11,7.615387967,2.769231988,2.076923991,0.325581395,0.302325581,0.372093023,95.39759036,Ricardo Rodriguez,15458,600965
2,0,4.354838844,1.548387144,14,0,0,0,0,0,20.2,8,3.483871075,6.096774381,0.870967769,0.485294117,0.132352941,0.382352941,95.3877551,Jimmy Yacabonis,15157,642231
5,5,2.612904133,1.078341388,76,0,0,6,4,21,72.1,72,8.958528456,2.488480127,0.622120032,0.455958549,0.21761658,0.32642487,95.38426454,Juan Nicasio,7731,504379
4,3,7.225353471,1.478873518,27,0,0,0,0,2,23.2,33,12.54929813,4.56338114,1.140845285,0.389830508,0.254237288,0.355932203,95.38306452,Rex Brothers,9794,571521
1,2,7.887644675,1.887641461,25,0,0,0,2,2,29.2,25,7.584273726,5.157306134,2.123596643,0.44,0.21,0.35,95.37313433,Ricardo Pinto,16318,620982
5,0,2.842105834,0.964912474,57,0,0,2,3,15,57,60,9.473686113,2.368421528,1.578947685,0.296551724,0.213793103,0.489655172,95.35795455,Josh Fields,5070,451661
2,2,2.61290403,1.193548754,50,0,0,0,0,2,62,66,9.580648109,3.048388035,1.16129068,0.358490566,0.213836477,0.427672955,95.3470437,Zach McAllister,2895,502083
1,1,2.33653889,1.384615639,37,0,0,1,0,10,34.2,54,14.01923334,4.67307778,1.038461729,0.417721518,0.202531645,0.379746835,95.33579336,Drew Steckenrider,18806,608716
0,0,0,1,1,0,0,0,0,0,1,1,9,9,0,0.5,0,0.5,95.33333333,Jose Ruiz,14552,614179
1,1,4.443037546,1.405063155,27,0,0,0,0,3,26.1,17,5.810126021,4.101265427,1.367088476,0.493975903,0.144578313,0.361445783,95.32170543,Tom Wilhelmsen,9975,452666
3,2,6.230771059,1.730769739,54,0,0,0,1,6,43.1,43,8.930771851,5.607693953,1.45384658,0.448818897,0.212598425,0.338582677,95.31894484,Josh Osich,11528,592612
0,2,12.31579566,2.105264215,24,0,0,0,1,0,19,17,8.052635621,4.263160035,1.894737793,0.342857142,0.228571428,0.428571428,95.28404669,Joe Jimenez,15761,641729
10,13,4.792208267,1.480519627,29,28,15,0,0,0,154,143,8.357143685,3.44805229,1.168831285,0.394004282,0.244111349,0.361884368,95.27256532,Mike Foltynewicz,10811,592314
5,8,4.448275472,1.471264239,16,16,5,0,0,0,87,73,7.551723476,3.827585871,0.931034401,0.503846153,0.2,0.296153846,95.25827108,Sal Romano,13690,607219
8,7,4.443890613,1.481296871,25,25,9,0,0,0,133.2,125,8.416459493,3.097257094,0.740648435,0.472636815,0.251243781,0.276119402,95.25554808,Jameson Taillon,11674,592791
15,8,3.36407767,1.174757282,33,33,23,0,0,0,206,219,9.567961165,3.145631068,1.17961165,0.334545454,0.238181818,0.427272727,95.24464981,Justin Verlander,8700,434378
7,3,3.875597803,1.220095605,70,0,0,1,2,21,69.2,83,10.72248726,3.617224616,0.904306154,0.488505747,0.229885057,0.281609195,95.24205749,Matt Barnes,12863,598264
0,0,8.307687432,1.269230024,9,0,0,0,0,0,8.2,10,10.38460929,2.076921858,2.076921858,0.24,0.2,0.56,95.23622047,John Curtiss,16128,595928
0,0,0.519230807,0.865384679,13,0,0,0,0,0,17.1,14,7.269231302,1.038461615,0.519230807,0.26,0.14,0.6,95.22807018,Austin Maddox,14241,545348
0,0,8.437500503,1.875000112,4,0,0,0,0,0,5.1,6,10.1250006,1.687500101,0,0.315789473,0.315789473,0.368421052,95.22,Roberto Gomez,12963,596816
15,10,3.531456775,1.187086033,31,31,21,0,0,0,201.1,239,10.68377429,2.637417085,1.251655566,0.452611218,0.210831721,0.336557059,95.17388826,Jacob deGrom,10954,594798
0,0,4.695653147,1.402174204,26,0,0,0,1,3,30.2,38,11.15217623,3.815218182,1.76086993,0.580246913,0.12345679,0.296296296,95.171875,Kevin Shackelford,11012,594992
5,4,2.984924509,1.010050213,73,0,0,0,4,25,66.1,94,12.75376836,5.155778697,0.814070321,0.443548387,0.193548387,0.362903225,95.17110266,Carl Edwards Jr.,13607,605218
5,4,1.830508889,0.79661035,60,0,0,2,3,25,59,67,10.2203413,1.372881667,0.305084815,0.547445255,0.240875912,0.211678832,95.1616341,Ryan Madson,1852,425492
0,1,4.764703209,1.411763914,5,0,0,0,0,0,5.2,6,9.529406419,3.176468806,1.588234403,0.411764705,0.235294117,0.352941176,95.15217391,Diego Moreno,6238,514981
0,0,7.875002347,2.250000671,22,0,0,0,0,1,16,16,9.000002682,6.750002012,0.562500168,0.545454545,0.236363636,0.218181818,95.14492754,Reymin Guduan,13058,594056
1,2,7.125,1.416666667,8,4,0,0,0,0,24,12,4.5,4.5,1.875,0.4875,0.1875,0.325,95.1350365,Raul Alcantara,12790,593417
0,0,3.500001854,1.55555638,19,0,0,0,0,2,18,20,10.0000053,6.000003179,1.00000053,0.44680851,0.255319148,0.29787234,95.13259669,Edgar Santana,17355,650828
2,3,3.240000494,1.200000183,65,0,0,47,6,1,66.2,58,7.830001195,3.105000474,0.540000082,0.487046632,0.176165803,0.336787564,95.13190184,Alex Colome,6661,517008
12,9,4.128772509,1.358148852,30,30,15,0,0,0,165.2,158,8.583500743,2.987927474,0.923541219,0.48,0.210526315,0.309473684,95.07735584,Michael Wacha,14078,608379
5,6,4.281552843,1.339805652,23,19,7,0,0,0,103,145,12.66990127,3.844659696,1.223300812,0.391836734,0.253061224,0.35510204,95.07685185,Danny Salazar,5867,517593
2,0,2.550001459,1.250000715,58,0,0,0,3,12,60,59,8.850005064,4.050002317,0.450000257,0.585365853,0.152439024,0.262195121,95.07663551,Sam Freeman,6832,518693
4,10,6.091463911,1.774390388,55,0,0,14,7,4,54.2,34,5.597561431,4.939024792,1.317073278,0.629629629,0.169312169,0.201058201,95.06700168,Sam Dyson,11710,473879
2,3,5.076922829,1.487179414,18,2,1,0,3,1,39,23,5.307692048,3.461538292,1.846153756,0.434108527,0.186046511,0.379844961,95.05275779,Jacob Turner,10185,545363
0,1,6.428569677,2.095237524,22,0,0,0,1,1,21,21,8.999997548,7.285712301,1.285713935,0.5,0.25,0.25,95.046875,John Axford,9059,446099
0,0,4.695652563,1.565217521,7,0,0,0,0,0,7.2,8,9.391305127,4.695652563,0,0.227272727,0.318181818,0.454545454,95.01754386,Bobby Wahl,14832,592833
11,12,4.676785587,1.494642816,34,34,15,0,0,0,186.2,179,8.630356908,3.423214192,1.398214248,0.427289048,0.220825852,0.351885098,95.01437181,Kevin Gausman,14107,592332
0,0,0,1,1,0,0,0,0,0,1,0,0,9,0,0.333333333,0.333333333,0.333333333,95,David Goforth,12166,592341
7,8,4.565597261,1.241982397,21,21,10,0,0,0,114.1,139,10.94168999,4.250728485,1.416909495,0.371024734,0.197879858,0.431095406,94.98810704,Dinelson Lamet,17186,659275
4,3,2.660098922,1.241379497,71,0,0,9,4,14,67.2,73,9.709361066,4.522168168,0.798029677,0.47368421,0.181286549,0.345029239,94.98016529,Shane Greene,10756,572888
14,7,3.62045442,1.193181777,25,25,10,0,0,0,146.2,163,10.00227238,3.068181712,0.859090879,0.518134715,0.191709844,0.29015544,94.9601251,Charlie Morton,4676,450203
4,5,3.176470588,1.132352941,67,0,0,18,6,9,68,70,9.264705882,3.441176471,0.926470588,0.423728813,0.186440677,0.389830508,94.95951417,Brad Brach,6627,542960
1,0,5.062500302,1.593750095,9,0,0,0,0,0,10.2,7,5.906250352,3.375000201,0.84375005,0.571428571,0.228571428,0.2,94.95901639,Jason Hursh,14914,592422
11,7,4.388888475,1.37654308,29,29,14,0,0,0,162,147,8.166665897,2.722221966,1.388888758,0.45194274,0.216768916,0.331288343,94.95627158,German Marquez,15038,608566
1,0,29.99997139,4.666662216,4,0,0,0,0,0,3,3,8.999991417,8.999991417,2.999997139,0.352941176,0.294117647,0.352941176,94.95522388,Trevor Gott,15046,641627
7,1,3.592276207,1.133047693,73,0,0,2,2,17,77.2,81,9.38627009,3.592276207,0.811159144,0.416243654,0.177664974,0.40609137,94.95308311,Ryan Tepera,10291,572193
1,3,4.25,1.722222222,8,8,3,0,0,0,36,24,6,5,1.5,0.475409836,0.237704918,0.286885245,94.94882729,Aaron Sanchez,11490,592717
1,2,5.530120609,1.337349428,50,0,0,1,2,4,55.1,59,9.596385763,4.391566366,1.951807274,0.430555555,0.194444444,0.375,94.94259259,Justin Grimm,11720,518748
1,1,9.000003815,2.111112006,9,0,0,0,0,0,9,7,7.000002967,7.000002967,2.000000848,0.366666666,0.2,0.433333333,94.93859649,Jacob Rhame,15267,642008
0,2,3.610465677,1.09883738,62,0,0,3,3,20,57.1,58,9.104652576,2.511628297,0.627907074,0.405228758,0.189542483,0.405228758,94.93807339,Jake McGee,7550,459429
