Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,NameASCII,PlayerId,MLBAMID
"Whit Merrifield","KCR",162,720,10,97,74,40,0.055555555,0.143055555,0.277108433,0.316666666,0.394578313,12,4,184,0.711244979,"Whit Merrifield",11281,593160
"Marcus Semien","TOR",162,724,45,115,102,15,0.09116022,0.201657458,0.265337423,0.334254143,0.538343558,9,1,173,0.872597701,"Marcus Semien",12533,543760
"Salvador Perez","KCR",161,665,48,88,121,1,0.042105263,0.255639097,0.272580645,0.315789473,0.543548387,14,0,169,0.85933786,"Salvador Perez",7304,521692
"Vladimir Guerrero Jr.","TOR",161,698,48,123,111,4,0.123209169,0.157593123,0.311258278,0.401146131,0.600993377,20,1,188,1.002139508,"Vladimir Guerrero Jr.",19611,665489
"J.P. Crawford","SEA",160,687,9,89,54,3,0.084425036,0.165938864,0.273021001,0.338192419,0.37641357,10,6,169,0.714605989,"J.P. Crawford",15491,641487
"Dansby Swanson","ATL",160,653,27,78,88,9,0.079632465,0.255742725,0.248299319,0.311349693,0.448979591,7,3,146,0.760329284,"Dansby Swanson",18314,621020
"Austin Riley","ATL",160,662,33,91,107,0,0.078549848,0.253776435,0.30338983,0.367069486,0.530508474,11,1,179,0.89757796,"Austin Riley",18360,663586
"Freddie Freeman","ATL",159,695,31,120,83,8,0.122302158,0.153956834,0.3,0.392805755,0.503333333,11,3,180,0.896139088,"Freddie Freeman",5361,518692
"Kyle Seager","SEA",159,670,35,73,101,3,0.088059701,0.240298507,0.212271973,0.285074626,0.437810945,7,1,128,0.722885571,"Kyle Seager",9785,572122
"Cedric Mullins","BAL",159,675,30,91,59,30,0.087407407,0.185185185,0.290697674,0.359583952,0.518272425,2,8,175,0.877856377,"Cedric Mullins",17929,656775
"Bryan Reynolds","PIT",159,646,24,93,90,5,0.116099071,0.184210526,0.302325581,0.390092879,0.522361359,10,2,169,0.912454238,"Bryan Reynolds",19326,668804
"Tommy Edman","STL",159,691,11,91,56,30,0.054992764,0.13748191,0.262090483,0.307692307,0.386895475,4,5,168,0.694587782,"Tommy Edman",19470,669242
"Bo Bichette","TOR",159,690,29,121,102,25,0.057971014,0.198550724,0.2984375,0.34347826,0.484375,10,1,191,0.82785326,"Bo Bichette",19612,666182
"Carlos Santana","KCR",158,659,19,66,69,2,0.130500758,0.154779969,0.214159292,0.318664643,0.34159292,12,0,121,0.660257563,"Carlos Santana",2396,467793
"Paul Goldschmidt","STL",158,679,31,102,99,12,0.098674521,0.20029455,0.293532338,0.365243004,0.514096185,13,0,177,0.879339189,"Paul Goldschmidt",9218,502671
"Isiah Kiner-Falefa","TEX",158,677,8,74,53,20,0.041358936,0.132939438,0.270866141,0.312130177,0.357480314,11,5,172,0.669610491,"Isiah Kiner-Falefa",16512,643396
"Myles Straw","- - -",158,638,4,86,48,30,0.105015673,0.189655172,0.271276595,0.348508634,0.34751773,13,6,153,0.696026364,"Myles Straw",17620,664702
"Shohei Ohtani","LAA",158,639,46,103,100,26,0.150234741,0.295774647,0.25698324,0.372456964,0.59217877,7,10,138,0.964635734,"Shohei Ohtani",19755,660271
"Nolan Arenado","STL",157,653,34,81,105,2,0.076569678,0.147013782,0.254637436,0.312404287,0.494097807,20,0,151,0.806502094,"Nolan Arenado",9777,571448
"Mitch Haniger","SEA",157,691,39,110,100,1,0.078147612,0.244573082,0.253225806,0.31837916,0.48548387,12,0,157,0.80386303,"Mitch Haniger",14274,571745
"David Fletcher","LAA",157,665,2,74,47,15,0.046616541,0.090225563,0.26198083,0.297420333,0.32428115,10,3,164,0.621701483,"David Fletcher",17992,664058
"Nathaniel Lowe","TEX",157,642,18,75,72,8,0.124610591,0.252336448,0.263913824,0.356697819,0.414721723,13,0,147,0.771419542,"Nathaniel Lowe",19566,663993
"Robbie Grossman","DET",156,671,23,88,67,20,0.14605067,0.230998509,0.238779174,0.357249626,0.414721723,8,5,133,0.771971349,"Robbie Grossman",5254,543257
"Jonathan Schoop","DET",156,674,22,85,84,2,0.054896142,0.197329376,0.277688603,0.320474777,0.434991974,15,0,173,0.755466751,"Jonathan Schoop",11265,570731
"Matt Olson","OAK",156,673,39,101,111,4,0.1307578,0.167904903,0.27079646,0.371471025,0.539823008,17,1,153,0.911294033,"Matt Olson",14344,621566
"Ozzie Albies","ATL",156,686,30,103,106,20,0.068513119,0.186588921,0.259141494,0.310495626,0.488076311,4,4,163,0.798571937,"Ozzie Albies",16556,645277
"Rafael Devers","BOS",156,664,38,101,113,5,0.093373493,0.215361445,0.279187817,0.352409638,0.538071065,13,5,165,0.890480703,"Rafael Devers",17350,646240
"Tommy Pham","SDP",155,561,15,74,49,14,0.139037433,0.228163992,0.229473684,0.340463458,0.383157894,10,6,109,0.723621352,"Tommy Pham",2967,502054
"Adam Frazier","- - -",155,639,5,83,43,10,0.07511737,0.10798122,0.305025996,0.367924528,0.410745233,10,5,176,0.778669761,"Adam Frazier",15223,624428
"Manny Machado","SDP",153,640,28,92,106,12,0.0984375,0.159375,0.278368794,0.346875,0.489361702,10,3,157,0.836236702,"Manny Machado",11493,592518
"Joey Gallo","- - -",153,616,38,90,77,6,0.180194805,0.34577922,0.19879518,0.35064935,0.457831325,6,0,99,0.808480675,"Joey Gallo",14128,608336
"Jorge Polanco","MIN",152,644,33,97,98,11,0.069875776,0.183229813,0.268707482,0.322981366,0.50340136,4,6,158,0.826382726,"Jorge Polanco",13152,593871
"José Ramírez","CLE",152,636,36,111,103,27,0.113207547,0.136792452,0.266304347,0.355345911,0.538043478,13,4,147,0.893389389,"Jose Ramirez",13510,608070
"José Abreu","CHW",152,659,30,86,117,1,0.092564491,0.216995447,0.261484098,0.350531107,0.480565371,28,0,148,0.831096478,"Jose Abreu",15676,547989
"Ty France","SEA",152,650,18,85,73,0,0.07076923,0.163076923,0.290718038,0.367692307,0.444833625,13,0,166,0.812525932,"Ty France",17982,664034
"Jake Cronenworth","SDP",152,643,21,94,71,4,0.085536547,0.139968895,0.266313932,0.34015748,0.46031746,8,3,151,0.80047494,"Jake Cronenworth",18036,630105
"Pete Alonso","NYM",152,637,37,81,94,3,0.094191522,0.199372056,0.262032085,0.343799058,0.518716577,20,0,147,0.862515635,"Pete Alonso",19251,624413
"Eric Hosmer","SDP",151,565,12,53,65,5,0.084955752,0.175221238,0.269155206,0.336879432,0.394891944,13,4,137,0.731771376,"Eric Hosmer",3516,543333
"Justin Turner","LAD",151,612,27,87,87,3,0.099673202,0.160130718,0.277673545,0.361111111,0.470919324,12,0,148,0.832030435,"Justin Turner",5235,457759
"Ryan McMahon","COL",151,596,23,80,86,6,0.098993288,0.246644295,0.253787878,0.330536912,0.448863636,14,2,134,0.779400548,"Ryan McMahon",15112,641857
"Matt Chapman","OAK",151,622,27,75,72,3,0.128617363,0.324758842,0.209829867,0.313504823,0.402646502,6,2,111,0.716151325,"Matt Chapman",16505,656305
"Nicky Lopez","KCR",151,565,2,78,43,22,0.086725663,0.130973451,0.299798792,0.365280289,0.378269617,9,1,149,0.743549906,"Nicky Lopez",19339,670032
"Juan Soto","WSN",151,654,29,111,95,9,0.221712538,0.142201834,0.312749003,0.464831804,0.533864541,23,7,157,0.998696345,"Juan Soto",20123,665742
"David Peralta","ARI",150,538,8,57,63,2,0.085501858,0.171003717,0.258726899,0.32527881,0.402464065,9,1,126,0.727742875,"David Peralta",2136,444482
"Charlie Blackmon","COL",150,582,13,76,78,3,0.092783505,0.156357388,0.270428015,0.350515463,0.410505836,8,0,139,0.761021299,"Charlie Blackmon",7859,453568
"DJ LeMahieu","NYY",150,679,10,84,57,4,0.107511045,0.13843888,0.2680067,0.349042709,0.361809045,16,2,160,0.710851754,"DJ LeMahieu",9874,518934
"Luis Urías","MIL",150,570,23,77,75,5,0.110526315,0.203508771,0.248979591,0.344522968,0.444897959,9,1,122,0.789420927,"Luis Urias",16622,649966
"Jonathan India","CIN",150,631,21,98,69,12,0.112519809,0.223454833,0.268796992,0.376190476,0.458646616,13,3,143,0.834837092,"Jonathan India",21523,663697
"Randal Grichuk","TOR",149,545,22,59,81,0,0.049541284,0.209174311,0.2407045,0.280733944,0.422700587,17,3,123,0.703434531,"Randal Grichuk",10243,545341
"César Hernández","- - -",149,637,21,84,62,1,0.092621664,0.211930926,0.231578947,0.307692307,0.385964912,11,1,132,0.693657219,"Cesar Hernandez",10556,514917
"Jeimer Candelario","DET",149,626,16,75,67,0,0.103833865,0.215654952,0.271095152,0.351437699,0.443447037,10,0,151,0.794884736,"Jeimer Candelario",13621,600869
"Jorge Soler","- - -",149,602,27,74,70,0,0.111295681,0.235880398,0.222868217,0.316498316,0.432170542,12,0,115,0.748668858,"Jorge Soler",14221,624585
"Brandon Lowe","TBR",149,615,39,97,99,7,0.110569105,0.271544715,0.246728971,0.339837398,0.523364485,2,1,132,0.863201883,"Brandon Lowe",18882,664040
"Adolis García","TEX",149,622,31,77,90,16,0.051446945,0.311897106,0.242685025,0.286173633,0.454388984,15,5,141,0.740562617,"Adolis Garcia",19287,666969
"Dylan Carlson","STL",149,619,18,79,65,2,0.092084006,0.24555735,0.265682656,0.343042071,0.437269372,5,1,144,0.780311443,"Dylan Carlson",20126,666185
"J.D. Martinez","BOS",148,634,28,92,99,0,0.086750788,0.236593059,0.285964912,0.349131121,0.517543859,18,0,163,0.86667498,"J.D. Martinez",6184,502110
"Chris Taylor","LAD",148,582,20,92,73,13,0.108247422,0.28694158,0.254437869,0.344234079,0.437869822,5,1,129,0.782103901,"Chris Taylor",13757,621035
"Carlos Correa","HOU",148,640,26,104,92,0,0.1171875,0.18125,0.279279279,0.365625,0.484684684,16,0,155,0.850309684,"Carlos Correa",14162,621043
"Aaron Judge","NYY",148,633,39,89,98,6,0.118483412,0.249605055,0.287272727,0.372827804,0.543636363,16,1,158,0.916464167,"Aaron Judge",15640,592450
"Trea Turner","- - -",148,646,28,107,77,32,0.063467492,0.170278637,0.327731092,0.374613003,0.536134453,18,5,195,0.910747456,"Trea Turner",16252,607208
"Kevin Newman","PIT",148,554,5,50,39,6,0.048736462,0.07400722,0.226305609,0.26459854,0.309477756,7,1,117,0.574076296,"Kevin Newman",17696,621028
"Ian Happ","CHC",148,535,25,63,66,9,0.11588785,0.291588785,0.225806451,0.322701688,0.434408602,12,2,105,0.75711029,"Ian Happ",17919,664023
"Kyle Farmer","CIN",147,529,16,60,63,2,0.041587901,0.183364839,0.262939958,0.316287878,0.416149068,16,3,127,0.732436946,"Kyle Farmer",14813,571657
"Trey Mancini","BAL",147,616,21,77,71,0,0.082792207,0.232142857,0.255395683,0.326298701,0.431654676,19,0,142,0.757953377,"Trey Mancini",15149,641820
"Garrett Hampson","COL",147,494,11,69,33,17,0.066801619,0.238866396,0.233995584,0.289205702,0.379690949,6,7,106,0.668896651,"Garrett Hampson",19262,641658
"Jose Altuve","HOU",146,678,31,117,83,5,0.097345132,0.134218289,0.277870216,0.350073855,0.489184692,9,3,167,0.839258547,"Jose Altuve",5417,514888
"Eduardo Escobar","- - -",146,599,28,77,90,1,0.080133555,0.207011686,0.253187613,0.313856427,0.471766848,3,0,139,0.785623275,"Eduardo Escobar",6153,500871
"Elvis Andrus","OAK",146,541,3,60,37,12,0.057301293,0.149722735,0.243460764,0.293680297,0.319919517,14,2,121,0.613599814,"Elvis Andrus",8709,462101
"Wil Myers","SDP",146,500,17,56,63,8,0.108,0.282,0.255656108,0.334,0.43438914,9,5,113,0.76838914,"Wil Myers",10047,571976
"Adam Duvall","- - -",146,555,38,67,113,5,0.063063063,0.313513513,0.228070175,0.281081081,0.49122807,7,0,117,0.772309151,"Adam Duvall",10950,594807
"Alex Verdugo","BOS",146,604,13,88,63,6,0.084437086,0.158940397,0.288602941,0.350993377,0.426470588,11,2,157,0.777463965,"Alex Verdugo",17027,657077
"Eugenio Suárez","CIN",145,574,31,71,79,0,0.097560975,0.297909407,0.198019801,0.285714285,0.427722772,14,1,100,0.713437057,"Eugenio Suarez",12552,553993
"Dominic Smith","NYM",145,493,11,43,58,2,0.064908722,0.227180527,0.244394618,0.304259634,0.363228699,13,1,109,0.667488333,"Dominic Smith",15653,642086
"Pavin Smith","ARI",145,545,11,68,49,1,0.07706422,0.194495412,0.267068273,0.328440366,0.403614457,11,0,133,0.732054823,"Pavin Smith",19892,656976
"Andrew McCutchen","PHI",144,574,27,78,80,6,0.141114982,0.229965156,0.221991701,0.334494773,0.443983402,10,1,107,0.778478175,"Andrew McCutchen",9847,457705
"Xander Bogaerts","BOS",144,603,23,90,79,5,0.102819237,0.187396351,0.29489603,0.369817578,0.493383742,13,1,156,0.86320132,"Xander Bogaerts",12161,593428
"Josh Bell","WSN",144,568,27,75,88,0,0.114436619,0.177816901,0.261044176,0.346830985,0.475903614,22,0,130,0.822734599,"Josh Bell",13145,605137
"Max Muncy","LAD",144,592,36,95,94,2,0.140202702,0.202702702,0.249496981,0.368243243,0.527162977,7,1,124,0.89540622,"Max Muncy",13301,571970
"Hunter Dozier","KCR",144,543,16,55,54,5,0.079189686,0.283609576,0.215605749,0.285451197,0.394250513,12,4,105,0.67970171,"Hunter Dozier",15117,641531
"Kris Bryant","- - -",144,586,25,86,73,10,0.105802047,0.230375426,0.265107212,0.35324232,0.481481481,9,2,136,0.834723801,"Kris Bryant",15429,592178
"Hunter Renfroe","BOS",144,572,31,89,96,1,0.076923076,0.227272727,0.259117082,0.314685314,0.500959692,6,2,135,0.815645006,"Hunter Renfroe",15464,592669
"Yoán Moncada","CHW",144,616,14,74,61,3,0.136363636,0.254870129,0.263461538,0.375,0.411538461,6,2,137,0.786538461,"Yoan Moncada",17232,660162
"Ryan Mountcastle","BAL",144,586,33,77,89,4,0.06996587,0.274744027,0.254681647,0.30887372,0.486891385,12,3,136,0.795765105,"Ryan Mountcastle",18373,663624
"Jared Walsh","LAA",144,585,29,70,98,2,0.082051282,0.259829059,0.27735849,0.34017094,0.509433962,7,1,147,0.849604902,"Jared Walsh",18607,665120
"Yordan Alvarez","HOU",144,598,33,92,104,1,0.08361204,0.242474916,0.277467411,0.346153846,0.530726256,16,0,149,0.876880102,"Yordan Alvarez",19556,670541
"Teoscar Hernández","TOR",143,595,32,92,116,12,0.060504201,0.248739495,0.296363636,0.346218487,0.523636363,5,4,163,0.86985485,"Teoscar Hernandez",13066,606192
"Yuli Gurriel","HOU",143,605,15,83,81,1,0.097520661,0.112396694,0.318867924,0.383471074,0.46226415,16,1,169,0.845735224,"Yuli Gurriel",19198,493329
"Jonathan Villar","NYM",142,505,18,63,42,14,0.091089108,0.261386138,0.248898678,0.322067594,0.416299559,6,7,113,0.738367153,"Jonathan Villar",10071,542340
"Michael A. Taylor","KCR",142,528,12,58,54,14,0.0625,0.272727272,0.244306418,0.296577946,0.35610766,9,7,118,0.652685606,"Michael A. Taylor",11489,572191
