Team,Season,Age,W,L,ERA,WHIP,G,GS,QS,SV,BS,HLD,IP,SO,K/9,BB/9,HR/9,GB%,LD%,FB%,FBv,NameASCII,PlayerId,MLBAMID
- - -,2023,32,1,2,4.634329315,1.343283859,50,0,0,0,5,12,44.2,45,9.06716605,2.820896105,1.410448052,0.454545454,0.174242424,0.371212121,90.52962963,Chasen Shreve,10855,592741
ATL,2023,25,0,1,6.567568245,1.621621789,4,3,0,0,0,0,12.1,13,9.486487465,2.91891922,1.45945961,0.307692307,0.256410256,0.435897435,90.51111111,Kolby Allard,18694,663465
MIA,2023,26,0,0,5.142857143,1.142857143,3,0,0,0,0,0,7,1,1.285714286,5.142857143,0,0.260869565,0.173913043,0.565217391,90.5,Jeff Lindgren,25830,689167
MIL,2023,36,9,4,3.141274371,1.138504203,23,23,9,0,0,0,120.1,79,5.908587507,2.842105383,1.196675951,0.462809917,0.159779614,0.377410468,90.45714286,Wade Miley,8779,489119
TEX,2023,25,4,3,5.30357197,1.214285838,20,8,0,0,0,0,56,51,8.196429409,1.928571626,1.767857323,0.321428571,0.214285714,0.464285714,90.44632768,Cody Bradford,27597,674003
TBR,2023,27,2,0,4.703226038,1.451612975,12,3,0,0,0,0,51.2,25,4.354838924,3.309677582,1.567742013,0.596590909,0.204545454,0.198863636,90.41778976,Josh Fleming,20418,676596
NYM,2023,34,3,6,3.568282058,1.308370088,13,13,8,0,0,0,75.2,60,7.136564117,2.854625647,0.594713676,0.416309012,0.227467811,0.356223175,90.36494253,Jose Quintana,11423,500779
SEA,2023,25,0,0,0,0.300000029,1,1,1,0,0,0,6.2,2,2.700000257,1.350000129,0,0.47368421,0.157894736,0.368421052,90.35294118,Easton McGee,22176,668834
MIA,2023,33,0,0,18,3,1,0,0,0,0,0,3,2,6,6,6,0.357142857,0.142857142,0.5,90.33333333,Sean Nolin,11341,543594
OAK,2023,30,0,1,10.38461615,2.076923229,1,1,0,0,0,0,4.1,4,8.307692917,4.153846459,4.153846459,0.266666666,0.2,0.533333333,90.26530612,Spenser Watkins,17489,657093
