Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,NameASCII,PlayerId,MLBAMID
"Justin Shafer","TOR",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Justin Shafer",16132,596101
"Aaron Nola","PHI",34,70,0,6,2,0,0.085714285,0.5,0.118644067,0.2,0.152542372,0,0,7,0.352542372,"Aaron Nola",16149,605400
"Jonathan Holder","NYY",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jonathan Holder",16588,656547
"Lane Thomas","STL",34,44,4,6,12,1,0.09090909,0.181818181,0.315789473,0.409090909,0.684210526,1,1,12,1.093301435,"Lane Thomas",16939,657041
"Jalen Beeks","TBR",34,3,0,0,0,0,0,0.666666666,0,0,0,0,0,0,0,"Jalen Beeks",17192,656222
"Austin Allen","SDP",34,71,0,4,3,0,0.084507042,0.295774647,0.215384615,0.28169014,0.276923076,2,0,14,0.558613216,"Austin Allen",18083,664119
"Jared Walsh","LAA",34,87,1,6,5,0,0.068965517,0.40229885,0.202531645,0.275862068,0.329113924,0,0,16,0.604975992,"Jared Walsh",18607,665120
"José Quijada","MIA",34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Jose Quijada",19200,650671
"Hector Velázquez","BOS",34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Hector Velazquez",19341,584171
"Shane Bieber","CLE",34,5,0,0,0,0,0,0.6,0,0,0,0,0,0,0,"Shane Bieber",19427,669456
"Lance Lynn","TEX",33,2,0,0,0,0,0,1,0,0,0,0,0,0,0,"Lance Lynn",2520,458681
"Charlie Morton","TBR",33,2,0,0,0,0,0,1,0,0,0,0,0,0,0,"Charlie Morton",4676,450203
"Mike Montgomery","- - -",33,6,0,0,0,0,0,0.5,0.166666666,0.166666666,0.166666666,0,0,1,0.333333332,"Mike Montgomery",4869,543557
"Chase Anderson","MIL",33,44,0,1,1,0,0.045454545,0.545454545,0.1,0.142857142,0.125,0,0,4,0.267857142,"Chase Anderson",6895,502624
"Mike Fiers","OAK",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mike Fiers",7754,571666
"Wade Miley","HOU",33,6,0,1,0,0,0.166666666,0.166666666,0,0.2,0,0,0,0,0.2,"Wade Miley",8779,489119
"Patrick Corbin","WSN",33,72,0,3,4,0,0.041666666,0.375,0.092307692,0.132352941,0.107692307,0,0,6,0.240045248,"Patrick Corbin",9323,571578
"Mike Minor","TEX",33,10,0,0,0,0,0,0.6,0,0,0,0,0,0,0,"Mike Minor",10021,501985
"Jacob deGrom","NYM",33,70,2,4,6,0,0.057142857,0.271428571,0.2,0.246376811,0.323076923,0,0,13,0.569453734,"Jacob deGrom",10954,594798
"Casey Sadler","- - -",33,3,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,"Casey Sadler",11209,594987
"Jacob Barnes","- - -",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jacob Barnes",12323,606930
"Gerrit Cole","HOU",33,7,0,0,0,0,0,0.714285714,0,0,0,1,0,0,0,"Gerrit Cole",13125,543037
"Daniel Norris","DET",33,6,0,1,0,0,0,0.5,0.166666666,0.166666666,0.166666666,0,0,1,0.333333332,"Daniel Norris",13475,596057
"Zack Godley","- - -",33,23,0,3,2,0,0.130434782,0.434782608,0.157894736,0.272727272,0.157894736,0,0,3,0.430622008,"Zack Godley",14862,643327
"Reynaldo López","CHW",33,4,0,0,0,0,0,0.75,0,0,0,0,0,0,0,"Reynaldo Lopez",16400,625643
"Sam Coonrod","SFG",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sam Coonrod",17264,656322
"Nestor Cortes","NYY",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nestor Cortes",17874,641482
"Dakota Hudson","STL",33,59,0,1,2,0,0,0.406779661,0.078431372,0.096153846,0.078431372,1,0,4,0.174585218,"Dakota Hudson",19206,641712
"Nick Solak","TEX",33,135,5,19,17,2,0.111111111,0.214814814,0.293103448,0.392592592,0.49137931,2,0,34,0.883971902,"Nick Solak",19294,669256
"Gregory Soto","DET",33,2,0,0,0,0,0,0,1,1,1,0,0,2,2,"Gregory Soto",19677,642397
"Rick Porcello","BOS",32,6,0,0,0,0,0,0.333333333,0,0,0,1,0,0,0,"Rick Porcello",2717,519144
"Jeff Samardzija","SFG",32,56,0,1,1,0,0,0.535714285,0.12,0.12,0.16,0,0,6,0.28,"Jeff Samardzija",3254,502188
"Jon Lester","CHC",32,53,1,6,6,0,0.094339622,0.37735849,0.1875,0.264150943,0.291666666,1,0,9,0.555817609,"Jon Lester",4930,452657
"Martín Pérez","MIN",32,3,0,1,0,0,0,0.666666666,0,0,0,0,0,0,0,"Martin Perez",6902,527048
"J.A. Happ","NYY",32,4,0,1,0,0,0,0,0,0,0,0,0,0,0,"J.A. Happ",7410,457918
"Nick Vincent","- - -",32,3,0,0,0,0,0,1,0,0,0,0,0,0,0,"Nick Vincent",7555,543883
"Miles Mikolas","STL",32,62,0,1,2,0,0,0.43548387,0.13559322,0.13559322,0.152542372,0,0,8,0.288135592,"Miles Mikolas",9803,571945
"Mike Leake","- - -",32,24,0,0,1,0,0.041666666,0.458333333,0.047619047,0.09090909,0.047619047,0,0,1,0.138528137,"Mike Leake",10130,502190
"Merrill Kelly","ARI",32,60,0,3,2,0,0.033333333,0.416666666,0.019230769,0.055555555,0.019230769,2,0,1,0.074786324,"Merrill Kelly",11156,518876
"Jose Quintana","CHC",32,63,0,2,3,0,0,0.428571428,0.092592592,0.092592592,0.111111111,1,0,5,0.203703703,"Jose Quintana",11423,500779
"Noah Syndergaard","NYM",32,69,2,6,2,0,0.04347826,0.68115942,0.092307692,0.132352941,0.2,1,0,6,0.332352941,"Noah Syndergaard",11762,592789
"Nick Martini","- - -",32,109,1,8,7,0,0.128440366,0.23853211,0.225806451,0.330275229,0.322580645,0,0,21,0.652855874,"Nick Martini",12005,605361
"Cory Spangenberg","MIL",32,102,2,11,10,3,0.058823529,0.352941176,0.231578947,0.277227722,0.357894736,1,0,22,0.635122458,"Cory Spangenberg",12294,605486
"Ross Stripling","LAD",32,24,0,1,1,0,0.083333333,0.291666666,0.15,0.227272727,0.15,1,0,3,0.377272727,"Ross Stripling",13273,548389
"Marcus Stroman","- - -",32,25,0,2,0,0,0,0.52,0.04347826,0.04347826,0.04347826,1,0,1,0.08695652,"Marcus Stroman",13431,573186
"Zach Eflin","PHI",32,52,0,3,2,0,0,0.519230769,0.16,0.16,0.18,0,0,8,0.34,"Zach Eflin",13774,621107
"José Berríos","MIN",32,5,0,1,0,0,0.2,0.8,0,0.2,0,0,0,0,0.2,"Jose Berrios",14168,621244
"Luke Bard","LAA",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Luke Bard",14288,572703
"Keone Kela","PIT",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Keone Kela",14696,605309
"Wes Parsons","- - -",32,3,0,0,0,0,0.333333333,0.666666666,0,0.333333333,0,0,0,0,0.333333333,"Wes Parsons",14764,641149
"Matthew Boyd","DET",32,2,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,1,1,"Matthew Boyd",15440,571510
"Luis Castillo","CIN",32,66,0,3,0,0,0,0.484848484,0.096774193,0.096774193,0.112903225,1,0,6,0.209677418,"Luis Castillo",15689,622491
"Masahiro Tanaka","NYY",32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Masahiro Tanaka",15764,547888
"Jeff Brigham","MIA",32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Jeff Brigham",16631,656257
"Ariel Jurado","TEX",32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Ariel Jurado",17030,642558
"Chad Sobotka","ATL",32,2,0,0,0,0,0,1,0,0,0,0,0,0,0,"Chad Sobotka",17470,656977
"Trent Thornton","TOR",32,3,0,2,0,0,0,0,0.666666666,0.666666666,0.666666666,0,0,2,1.333333332,"Trent Thornton",17948,663423
"Sandy Alcantara","MIA",32,63,0,2,4,0,0.015873015,0.73015873,0.086206896,0.116666666,0.103448275,0,0,5,0.220114941,"Sandy Alcantara",18684,645261
"Corbin Burnes","MIL",32,8,0,0,0,0,0,0.25,0.285714285,0.285714285,0.285714285,0,0,2,0.57142857,"Corbin Burnes",19361,669203
"Yusei Kikuchi","SEA",32,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,"Yusei Kikuchi",20633,579328
"Adam Wainwright","STL",31,59,0,6,2,0,0.033898305,0.33898305,0.16,0.188679245,0.22,0,0,8,0.408679245,"Adam Wainwright",2233,425794
"Nick Hundley","OAK",31,73,2,5,5,0,0.02739726,0.246575342,0.2,0.232876712,0.357142857,7,1,14,0.590019569,"Nick Hundley",3376,460026
"Brett Anderson","OAK",31,8,0,1,0,0,0,0.25,0.5,0.5,0.5,0,0,4,1,"Brett Anderson",8223,474463
"Homer Bailey","- - -",31,5,0,0,1,0,0,0.2,0.4,0.4,0.4,0,0,2,0.8,"Homer Bailey",8362,456701
"Tanner Roark","- - -",31,34,1,2,2,0,0,0.382352941,0.151515151,0.151515151,0.272727272,0,0,5,0.424242423,"Tanner Roark",8753,543699
"Zack Wheeler","NYM",31,64,1,5,6,0,0.03125,0.296875,0.210526315,0.262295081,0.298245614,0,0,12,0.560540695,"Zack Wheeler",10310,554430
"Wilfredo Tovar","LAA",31,88,0,5,5,0,0.056818181,0.170454545,0.192771084,0.238636363,0.253012048,0,0,16,0.491648411,"Wilfredo Tovar",10416,541600
"Kyle Hendricks","CHC",31,64,0,1,5,0,0.03125,0.453125,0.148148148,0.192982456,0.166666666,1,0,8,0.359649122,"Kyle Hendricks",12049,543294
"Anthony DeSclafani","CIN",31,57,0,0,1,0,0,0.49122807,0.109090909,0.109090909,0.109090909,0,0,6,0.218181818,"Anthony DeSclafani",13050,543101
"Yu Darvish","CHC",31,62,0,1,3,0,0.032258064,0.5,0.089285714,0.118644067,0.089285714,1,0,5,0.207929781,"Yu Darvish",13074,506433
"Robel García","CHC",31,80,5,8,11,0,0.0875,0.4375,0.208333333,0.275,0.5,2,0,15,0.775,"Robel Garcia",13167,596825
"Jakob Junis","KCR",31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jakob Junis",13619,596001
"Kevin Gausman","- - -",31,27,0,1,0,0,0,0.666666666,0.037037037,0.037037037,0.037037037,1,0,1,0.074074074,"Kevin Gausman",14107,592332
"Rowan Wick","CHC",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rowan Wick",14646,592858
"Glenn Sparkman","KCR",31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Glenn Sparkman",15200,642098
"Jimmy Cordero","- - -",31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jimmy Cordero",15690,622772
"John Means","BAL",31,3,0,0,0,0,0.333333333,0,1,1,1,0,0,1,2,"John Means",16269,607644
"Trevor Richards","- - -",31,34,0,2,0,0,0.058823529,0.529411764,0.1,0.15625,0.1,0,0,3,0.25625,"Trevor Richards",19309,670950
"Aníbal Sánchez","WSN",30,56,0,1,1,0,0,0.428571428,0.115384615,0.115384615,0.115384615,3,0,6,0.23076923,"Anibal Sanchez",3284,434671
"Zach Duke","CIN",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zach Duke",3840,435043
"Jake Odorizzi","MIN",30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jake Odorizzi",6397,543606
"Jason Vargas","- - -",30,45,0,0,0,0,0,0.488888888,0.075,0.075,0.075,1,0,3,0.15,"Jason Vargas",8044,450306
"Chris Herrmann","OAK",30,94,1,9,8,0,0.09574468,0.308510638,0.202380952,0.279569892,0.273809523,4,0,17,0.553379415,"Chris Herrmann",9284,543302
"Jesse Biddle","- - -",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jesse Biddle",11437,592145
"Scott Schebler","CIN",30,95,2,11,7,0,0.147368421,0.284210526,0.12345679,0.252631578,0.222222222,3,1,10,0.4748538,"Scott Schebler",12225,594988
