Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,IP
Shohei Ohtani,12/11/2023,Los Angeles Dodgers,LAA,29,28.4,6,701,2483,481.2
Matt Chapman,3/3/2024,San Francisco Giants,TOR,31,11.5,7,868,3138,
Brandon Woodruff,2/21/2024,Milwaukee Brewers,MIL,31,10.8,7,79,115,680.1
Sonny Gray,11/27/2023,St. Louis Cardinals,MIN,34,10.8,11,63,99,1571
Aaron Nola,11/19/2023,Philadelphia Phillies,PHI,31,10.8,9,152,271,1422
Clayton Kershaw,2/9/2024,Los Angeles Dodgers,LAD,36,9.8,16,357,698,2712.2
Teoscar Hernández,1/12/2024,Los Angeles Dodgers,SEA,31,8.7,8,811,2945,
Wade Miley,12/4/2023,Milwaukee Brewers,MIL,37,8.3,13,157,297,1738.1
Kevin Kiermaier,12/28/2023,Toronto Blue Jays,TOR,34,8.2,11,1043,3423,
Marcus Stroman,1/17/2024,New York Yankees,CHC,33,8,9,56,89,1303.2
Justin Turner,1/30/2024,Toronto Blue Jays,BOS,39,7.8,15,1539,5080,
Lourdes Gurriel Jr.,12/22/2023,Arizona Diamondbacks,ARI,30,7.8,6,613,2275,
Michael A. Taylor,3/16/2024,Pittsburgh Pirates,MIN,33,7.7,10,969,2916,
Jeimer Candelario,12/11/2023,Cincinnati Reds,CHC,30,7.1,8,746,2688,
Tyler Mahle,12/14/2023,Texas Rangers,MIN,29,7,7,81,125,635.2
Amed Rosario,2/21/2024,Tampa Bay Rays,LAD,28,6.7,7,839,3175,
Isiah Kiner-Falefa,12/29/2023,Toronto Blue Jays,NYY,29,6.5,6,647,2213,4
Adam Frazier,1/30/2024,Kansas City Royals,BAL,32,6.4,8,962,3163,
Lucas Giolito,1/3/2024,Boston Red Sox,CLE,29,6.4,8,13,18,1013.2
Martín Pérez,1/5/2024,Pittsburgh Pirates,TEX,33,6.3,12,16,26,1440.2
Enrique Hernández,2/26/2024,Los Angeles Dodgers,LAD,32,5.8,10,1057,3125,
Joey Wendle,11/30/2023,New York Mets,MIA,34,5.8,8,649,2106,
Kolten Wong,2/28/2024,Baltimore Orioles,LAD,33,5.5,11,1189,3796,
Brandon Crawford,2/27/2024,St. Louis Cardinals,SFG,37,5.5,13,1654,5575,1
Joey Gallo,1/27/2024,Washington Nationals,MIN,30,5.4,9,863,2646,
Harrison Bader,1/5/2024,New York Mets,CIN,30,5.4,7,635,1895,
Lance Lynn,11/21/2023,St. Louis Cardinals,LAD,37,5.4,12,176,283,1889
Michael Wacha,12/18/2023,Kansas City Royals,SDP,32,5.2,11,159,251,1288
Eduardo Rodríguez,12/8/2023,Arizona Diamondbacks,DET,31,5.2,8,13,26,1100.1
C.J. Cron,3/3/2024,Boston Red Sox,LAA,34,5,10,1049,3670,
Rhys Hoskins,1/26/2024,Milwaukee Brewers,PHI,31,5,6,667,2427,
Kyle Gibson,11/21/2023,St. Louis Cardinals,BAL,36,4.9,11,24,48,1696
Frankie Montas,1/2/2024,Cincinnati Reds,NYY,31,4.8,8,6,10,593.2
Josh Hader,1/22/2024,Houston Astros,SDP,30,4.7,7,199,8,388.2
Adam Duvall,3/14/2024,Atlanta Braves,BOS,35,4.5,10,922,3090,
Gio Urshela,2/22/2024,Detroit Tigers,LAA,32,4.5,8,664,2194,
Mitch Garver,12/28/2023,Seattle Mariners,TEX,33,4.5,7,450,1422,
Reynaldo López,11/20/2023,Atlanta Braves,CLE,30,4.5,8,18,17,679.2
Whit Merrifield,2/19/2024,Philadelphia Phillies,TOR,35,4.4,8,1052,4174,
Hunter Renfroe,12/19/2023,Kansas City Royals,CIN,32,4.4,8,841,2938,
Elvis Andrus,3/3/2024,Arizona Diamondbacks,CHW,35,4.3,15,2059,7772,
Liam Hendriks,2/20/2024,Boston Red Sox,CHW,35,4.3,13,29,2,650
Craig Kimbrel,12/6/2023,Baltimore Orioles,PHI,36,4.3,14,416,2,757.1
Héctor Neris,2/1/2024,Chicago Cubs,HOU,35,4.2,10,360,4,541.1
Adam Ottavino,1/30/2024,New York Mets,NYM,38,4.2,13,354,24,687
David Robertson,1/26/2024,Texas Rangers,MIA,39,4.2,15,66,1,804.2
Cody Bellinger,2/27/2024,Chicago Cubs,CHC,28,4.1,7,875,3126,
Tim Anderson,2/24/2024,Miami Marlins,CHW,31,4.1,8,895,3622,
Gary Sánchez,2/21/2024,Milwaukee Brewers,SDP,31,3.9,9,741,2591,
Andrew McCutchen,12/20/2023,Pittsburgh Pirates,PIT,37,3.9,15,2007,7425,
Carlos Santana,2/7/2024,Minnesota Twins,MIL,38,3.7,14,1930,6879,
Tony Kemp,2/24/2024,Cincinnati Reds,OAK,32,3.6,8,734,1936,
Chris Flexen,12/30/2023,Chicago White Sox,COL,29,3.6,6,28,18,487.2
Matt Moore,1/27/2024,Los Angeles Angels,MIA,35,3.5,12,75,104,1094.1
Seth Lugo,12/14/2023,Kansas City Royals,SDP,34,3.5,8,187,58,641
Joey Votto,3/9/2024,Toronto Blue Jays,CIN,40,3.4,17,2056,7252,
Wandy Peralta,2/8/2024,San Diego Padres,NYY,32,3.4,8,191,1,345.2
Ryne Stanek,3/10/2024,Seattle Mariners,HOU,32,3,7,37,0,347
Michael Fulmer,2/2/2024,Boston Red Sox,CHC,31,3,7,14,14,674
Sean Manaea,1/12/2024,New York Mets,SFG,32,3,8,8,14,1002.2
Eric Haase,12/20/2023,Milwaukee Brewers,CLE,31,3,6,323,997,
Andrew Chafin,12/12/2023,Detroit Tigers,MIL,34,3,10,350,5,452
Jesse Chavez,2/16/2024,Chicago White Sox,ATL,40,2.8,16,219,22,1070.2
Wily Peralta,2/12/2024,Pittsburgh Pirates,WSN,35,2.8,11,,,
Domingo Germán,3/16/2024,Pittsburgh Pirates,NYY,31,2.7,6,7,11,522.1
Aroldis Chapman,1/31/2024,Pittsburgh Pirates,TEX,36,2.7,14,368,2,698.1
Nick Martinez,12/1/2023,Cincinnati Reds,SDP,33,2.7,6,9,10,632
Eduardo Escobar,2/16/2024,Toronto Blue Jays,LAA,35,2.6,13,1363,4691,4.2
Tom Murphy,12/23/2023,San Francisco Giants,SEA,33,2.6,8,314,911,
Dominic Leone,2/13/2024,Chicago White Sox,SEA,32,2.5,10,154,0,410
Austin Nola,2/23/2024,Kansas City Royals,SDP,34,2.4,5,345,1049,
Rafael Ortega,1/5/2024,Chicago White Sox,NYM,33,2.4,7,411,1136,
Jakob Junis,2/7/2024,Milwaukee Brewers,SFG,31,2.3,7,6,8,713.1
Alex Wood,2/2/2024,Oakland Athletics,SFG,33,2.3,11,193,276,1218.2
Brian Anderson,2/24/2024,Seattle Mariners,MIL,31,2.2,7,627,2222,
David Peralta,2/23/2024,Chicago Cubs,LAD,36,2.2,10,1141,3952,
Randal Grichuk,2/17/2024,Arizona Diamondbacks,LAA,32,2.2,10,1141,3968,
Dylan Floro,12/12/2023,Washington Nationals,MIN,33,2.2,8,165,10,334
Francisco Mejia,3/4/2024,Tampa Bay Rays,TBR,28,2.1,7,355,1023,
Curt Casali,2/26/2024,Miami Marlins,CIN,35,2.1,10,502,1259,
Joc Pederson,1/30/2024,Arizona Diamondbacks,SFG,32,2.1,10,1140,3320,
Brett Phillips,1/8/2024,Chicago White Sox,LAA,30,2.1,7,393,854,5.1
Garrett Cooper,3/1/2024,Chicago Cubs,SDP,33,2,7,481,1628,
Jorge Soler,2/18/2024,San Francisco Giants,MIA,32,2,10,870,3030,
Danny Duffy,2/5/2024,Texas Rangers,TEX,35,2,12,,,
Christian Arroyo,1/31/2024,Milwaukee Brewers,BOS,29,2,7,295,917,
Jesse Winker,2/13/2024,Washington Nationals,MIL,30,1.9,7,610,1934,
Lucas Luetge,2/9/2024,Boston Red Sox,ATL,37,1.9,7,7,0,232.1
Adam Cimber,12/13/2023,Los Angeles Angels,TOR,33,1.9,6,77,6,299.1
Jaime Barria,12/1/2023,Cleveland Guardians,LAA,27,1.9,6,4,10,462.2
Carl Edwards Jr.,2/6/2024,Chicago Cubs,WSN,32,1.8,9,183,3,280
Luis Guillorme,1/5/2024,Atlanta Braves,NYM,29,1.8,6,334,721,3
Jack Flaherty,12/20/2023,Detroit Tigers,BAL,28,1.8,7,84,123,667.2
Trayce Thompson,12/13/2023,New York Mets,CHW,33,1.8,7,369,935,
Jurickson Profar,2/24/2024,San Diego Padres,SDP,31,1.7,10,961,3183,
Jiman Choi,2/16/2024,New York Mets,SDP,33,1.7,8,525,1567,
Aaron Hicks,1/29/2024,Los Angeles Angels,BAL,34,1.7,11,963,3078,
Travis Jankowski,1/26/2024,Texas Rangers,TEX,33,1.7,9,577,1317,
Robert Stephenson,1/23/2024,Los Angeles Angels,TBR,31,1.7,8,137,36,364.1
Jacob Stallings,1/5/2024,Colorado Rockies,MIA,34,1.7,8,451,1343,9
Jason Heyward,12/6/2023,Los Angeles Dodgers,LAD,34,1.7,14,1703,5861,
Cole Sulser,11/20/2023,New York Mets,TBR,34,1.7,5,6,0,132.2
Yasmani Grandal,2/14/2024,Pittsburgh Pirates,CHW,35,1.6,12,1235,3923,
Austin Pruitt,1/30/2024,Texas Rangers,OAK,34,1.6,6,7,1,310.2
Matt Duffy,1/25/2024,Texas Rangers,KCR,33,1.6,8,704,2324,2.1
Brent Suter,1/13/2024,Cincinnati Reds,COL,34,1.6,8,123,52,464
Daniel Vogelbach,2/18/2024,Toronto Blue Jays,NYM,31,1.5,8,571,1580,
Buck Farmer,12/28/2023,Cincinnati Reds,CIN,33,1.5,10,12,4,442.2
Chris Stratton,12/15/2023,Kansas City Royals,TEX,33,1.5,8,138,64,545
Daniel Hudson,12/12/2023,Los Angeles Dodgers,LAD,37,1.5,14,355,108,792.1
Bradley Zimmer,2/5/2024,Colorado Rockies,BOS,31,1.4,6,,,
