Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,IP
A.J. Achter,12/9/2016,Detroit Tigers,LAA,28,0.3,3,4,0,
A.J. Ellis,12/12/2016,Miami Marlins,PHI,36,2,9,555,1654,
Aaron Barrett,3/29/2017,Washington Nationals,WSN,29,0.4,2,83,0,20
Aaron Hill,2/17/2017,San Francisco Giants,BOS,35,0.3,12,1525,5578,81.2
Adam Lind,2/15/2017,Washington Nationals,SEA,33,5.5,11,1228,4310,
Adam Loewen,2/13/2017,Texas Rangers,ARI,33,-0.8,6,40,37,487
Adam Moore,1/30/2017,Cleveland Indians,CLE,33,-0.2,8,96,274,1
Adam Rosales,1/25/2017,Oakland Athletics,SDP,34,2.9,9,533,1313,16.1
Adam Wilk,1/16/2017,New York Mets,TBR,29,0,3,1,1,405.1
Adrián Nieto,1/3/2017,Cincinnati Reds,MIA,27,-0.3,2,,,
Al Alburquerque,1/7/2017,Kansas City Royals,SEA,31,2,6,15,0,
Alejandro De Aza,1/20/2017,Oakland Athletics,NYM,33,1.5,9,810,2513,
Alex Avila,12/23/2016,Detroit Tigers,CHW,30,3.1,8,740,2253,
Alex Castellanos,1/25/2017,Baltimore Orioles,COL,30,,4,,,178.2
Alex Presley,1/10/2017,Detroit Tigers,DET,31,-0.8,7,379,1156,923.1
Alex Wimmers,11/22/2016,Minnesota Twins,MIN,28,0.2,1,1,0,
Alexei Ramírez,9/8/2016,Tampa Bay Rays,SDP,35,3,9,1371,5134,804.1
Alexi Amarista,1/17/2017,Colorado Rockies,SDP,28,0.9,6,606,1582,
Alí Solís,12/20/2016,Chicago Cubs,BOS,29,-0.3,4,,,1724.1
André Rienzo,12/2/2016,San Diego Padres,MIA,28,-1.8,3,,,
Andrés Blanco,12/14/2016,Philadelphia Phillies,PHI,33,1,9,456,1061,
Andrew Albers,12/20/2016,Atlanta Braves,MIN,31,-0.3,3,0,0,
Andrew Bailey,11/9/2016,Los Angeles Angels,LAA,33,-0.4,7,42,0,604
Andrew Bellatti,3/14/2017,Baltimore Orioles,TBR,25,0.5,1,0,0,
Andrew Cashner,11/21/2016,Texas Rangers,MIA,30,0.5,7,209,192,
Andy Oliver,12/15/2016,Milwaukee Brewers,BAL,29,,6,,,
Anthony Swarzak,1/23/2017,Chicago White Sox,NYY,31,0.1,7,15,5,
Anthony Vasquez,12/14/2016,Detroit Tigers,PHI,30,,5,,,595.1
Aroldis Chapman,12/15/2016,New York Yankees,CHC,29,7.2,7,343,2,
Asher Wojciechowski,4/21/2017,Cincinnati Reds,MIA,28,-0.4,1,0,0,578
Austin Jackson,1/25/2017,Cleveland Indians,CHW,30,3,7,914,3573,
Bartolo Colón,11/17/2016,Atlanta Braves,NYM,44,3.8,19,134,276,1.1
Ben Paulsen,12/3/2016,Minnesota Twins,COL,29,0.4,3,186,480,
Ben Revere,12/23/2016,Los Angeles Angels,WSN,29,3.1,7,748,2847,70
Ben Rowen,12/15/2016,New York Mets,MIL,28,-0.2,2,4,0,
Billy Butler,9/15/2016,New York Yankees,OAK,31,-0.7,10,1414,5105,595.1
Blaine Boyer,4/18/2017,Boston Red Sox,MIL,35,2,10,316,9,
Blake Lalli,10/16/2016,Atlanta Braves,ATL,34,-0.2,3,32,52,
Blake Smith,1/23/2017,Chicago White Sox,CHW,29,0,1,1,0,
Bobby Wilson,1/3/2017,Los Angeles Dodgers,TBR,34,-0.7,8,324,753,
