Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,IP
Boone Logan,2/7/2017,Cleveland Indians,COL,32,0.2,11,194,0,1189.1
Brad Ziegler,12/23/2016,Miami Marlins,BOS,37,4.7,9,350,7,
Brandon Barnes,12/16/2016,Miami Marlins,COL,31,-0.7,5,465,1153,229.2
Brandon Cunniff,1/11/2017,Miami Marlins,ATL,28,-0.2,2,53,0,
Brandon Morrow,1/26/2017,Los Angeles Dodgers,SDP,32,1,10,37,23,109
Brandon Moss,2/1/2017,Kansas City Royals,STL,33,2.3,10,898,2771,23.1
Brandon Snyder,11/16/2016,Washington Nationals,ATL,30,0.1,5,120,194,
Brayan Peña,2/7/2017,Kansas City Royals,STL,35,0,12,638,1807,76
Brendan Ryan,12/19/2016,Detroit Tigers,LAA,35,-0.9,10,896,2591,1723.1
Brett Anderson,1/26/2017,Chicago Cubs,LAD,29,1.7,8,45,68,
Brett Cecil,11/21/2016,St. Louis Cardinals,TOR,30,2.8,8,18,6,
Brett Hayes,2/6/2017,Texas Rangers,CHW,33,-0.9,7,,,4.1
Brett Oberholtzer,12/7/2016,Toronto Blue Jays,LAA,27,0.6,4,26,7,1
Brett Wallace,12/19/2016,San Diego Padres,SDP,30,-0.1,6,494,1284,
Brian Duensing,12/2/2016,Chicago Cubs,BAL,34,1.7,8,27,7,
Brian Matusz,2/13/2017,Arizona Diamondbacks,CHC,30,0.4,8,19,8,
Bronson Arroyo,2/14/2017,Cincinnati Reds,WSN,40,0.8,15,338,603,34
Bryan Holaday,3/31/2017,Detroit Tigers,BOS,29,0.1,5,151,376,
Bryan Morris,12/9/2016,San Francisco Giants,MIA,30,2.5,5,199,7,
Bud Norris,2/1/2017,Los Angeles Angels,LAD,32,0.6,8,162,204,
Caleb Cotham,2/23/2017,Seattle Mariners,CIN,29,-0.8,2,23,0,
Carlos Beltrán,12/5/2016,Houston Astros,TEX,40,3,19,2457,9301,
Carlos Fisher,12/2/2016,San Diego Padres,TEX,34,,7,,,
Carlos Gómez,12/13/2016,Texas Rangers,TEX,31,6.9,10,1204,3910,15.1
Carlos Rivero,1/14/2017,Arizona Diamondbacks,ARI,29,0.1,2,,,1415.1
Carson Blair,1/11/2017,Chicago White Sox,TEX,27,-0.4,1,,,2025
Casey Coleman,4/30/2017,Houston Astros,TBR,29,-0.2,6,,,
Casey Fien,12/3/2016,Seattle Mariners,LAD,33,1.4,7,43,0,
Casey Kelly,1/27/2017,Chicago Cubs,ATL,27,-0.9,3,20,14,
Cesár Ramos,1/5/2017,Philadelphia Phillies,DET,33,0.9,8,43,6,
César Valdez,5/5/2017,Toronto Blue Jays,HOU,32,,1,9,4,331
Chad Huffman,11/18/2016,St. Louis Cardinals,DET,32,,1,9,18,
Charlie Morton,11/16/2016,Houston Astros,PHI,33,-1,9,153,255,710.2
Chase Utley,2/18/2017,Los Angeles Dodgers,LAD,38,5.2,14,1723,6384,1138.1
Chris Carter,2/16/2017,New York Yankees,MIL,30,3.3,7,688,2285,
Chris Coghlan,4/1/2017,Toronto Blue Jays,CHC,32,2.3,8,765,2505,
Chris Colabello,12/20/2016,Cleveland Indians,TOR,33,-0.7,4,225,727,439.2
Chris Dickerson,12/15/2016,Baltimore Orioles,BAL,35,0,8,,,334.2
Chris Dominguez,1/3/2017,Chicago Cubs,BOS,30,-0.1,2,,,388.1
Chris Gimenez,1/19/2017,Minnesota Twins,CLE,34,-0.1,8,287,684,900
Chris Heisey,11/19/2016,Washington Nationals,WSN,32,1.1,7,659,1520,2364.2
Chris Iannetta,1/13/2017,Arizona Diamondbacks,SEA,34,3.2,11,946,2848,739
Chris Johnson,3/29/2017,Baltimore Orioles,MIA,32,-1.8,8,839,2811,
Chris Marrero,11/9/2016,San Francisco Giants,BOS,28,,2,39,125,435.1
Chris Narveson,2/14/2017,Cleveland Indians,MIA,35,-0.7,8,113,119,
Chris Volstad,12/16/2016,Chicago White Sox,CHW,30,0.1,7,126,201,20.2
Chris Withrow,1/7/2017,Kansas City Royals,ATL,28,0.7,3,84,1,400
Christian Bergman,12/1/2016,Seattle Mariners,COL,29,-0.3,3,54,34,189.1
Clayton Mortensen,3/31/2017,Miami Marlins,KCR,32,,7,,,237.1
Clayton Richard,12/20/2016,San Diego Padres,SDP,33,0.7,8,171,226,528.2
Cody Asche,12/22/2016,Chicago White Sox,PHI,27,-1.2,4,371,1181,139.2
Cody Decker,4/11/2017,New York Mets,BOS,30,-0.3,1,,,71.1
Cody Ege,12/28/2016,Los Angeles Angels,LAA,26,0.1,1,5,1,358.2
Colby Rasmus,1/30/2017,Tampa Bay Rays,HOU,30,6.6,8,1037,3538,
Colin Walsh,4/3/2017,Arizona Diamondbacks,OAK,27,-0.5,1,38,47,371.1
Collin Cowgill,2/6/2017,San Diego Padres,CLE,31,1.8,6,317,689,
Colt Hynes,2/14/2017,Los Angeles Dodgers,OAK,32,0,3,,,
Conor Mullee,12/8/2016,Chicago Cubs,CHC,29,0.1,1,2,0,
Corban Joseph,11/19/2016,Washington Nationals,BAL,28,,1,2,6,
Cory Luebke,1/12/2017,Chicago White Sox,MIA,32,-0.3,4,61,49,608.2
Cory Rasmus,2/1/2017,Tampa Bay Rays,LAA,29,0.8,4,10,1,570.2
Craig Stammen,12/21/2016,San Diego Padres,CLE,33,0.5,7,217,89,1503
Dan Butler,12/14/2016,Boston Red Sox,BOS,30,0,1,7,19,
Dana Eveland,10/31/2016,Tampa Bay Rays,TBR,33,-0.5,11,92,22,
Daniel Castro,11/21/2016,Colorado Rockies,ATL,24,-0.4,2,80,226,537
Daniel Corcino,12/9/2016,Chicago Cubs,LAD,26,0.1,1,5,3,
Daniel Descalso,2/7/2017,Arizona Diamondbacks,COL,30,-0.3,7,729,1658,0.1
Daniel Hudson,12/21/2016,Pittsburgh Pirates,ARI,30,-1,7,180,106,410.1
Daniel Moskos,12/9/2016,Chicago Cubs,SDP,31,,5,,,
Daniel Muno,2/20/2017,Detroit Tigers,MIA,28,-0.3,1,,,
Daniel Nava,12/12/2016,Philadelphia Phillies,KCR,34,2.4,6,509,1518,
Daniel Robertson,11/23/2016,Cleveland Indians,SEA,31,0.5,3,116,271,
David Hale,4/11/2017,Los Angeles Dodgers,BAL,29,0.1,4,62,44,
David Hernandez,4/24/2017,Los Angeles Angels,PHI,32,0.7,7,301,4,
David Lough,2/8/2017,Detroit Tigers,MIA,31,1.2,5,342,749,
David Martínez,4/5/2017,Houston Astros,DET,29,0,3,,,
Dayán Díaz,2/2/2017,Houston Astros,CIN,28,-0.4,1,6,0,
Dean Anna,1/21/2017,Kansas City Royals,STL,30,0.1,2,,,
Derek Holland,12/14/2016,Chicago White Sox,TEX,30,2.9,8,7,14,
Dexter Fowler,12/9/2016,St. Louis Cardinals,CHC,31,8.2,9,1064,3734,834
Dillon Gee,4/6/2017,Texas Rangers,KCR,31,0.4,7,111,194,6.2
Domonic Brown,1/31/2017,Colorado Rockies,TOR,29,-1,6,,,
Donovan Solano,12/7/2016,New York Yankees,NYY,29,-0.8,5,370,1068,
Drew Butera,11/18/2016,Kansas City Royals,KCR,33,-0.3,7,361,897,
Drew Rucinski,12/15/2016,Minnesota Twins,CHC,28,-0.2,2,2,0,1101.2
Drew Storen,1/3/2017,Cincinnati Reds,SEA,29,2.9,7,344,2,123
Drew Stubbs,4/5/2017,San Francisco Giants,BAL,32,1.4,8,901,2812,
Dustin Ackley,2/4/2017,Los Angeles Angels,NYY,29,0.7,6,635,2125,
Dustin Antolin,11/22/2016,Washington Nationals,TOR,27,-0.1,1,0,0,170.1
Dustin McGowan,12/12/2016,Miami Marlins,MIA,35,0.4,9,74,21,448.2
Dustin Molleken,11/15/2016,Detroit Tigers,DET,32,0.1,1,0,0,
Dusty Coleman,12/2/2016,San Diego Padres,KCR,30,-0.2,1,4,5,
Eddy Rodríguez,4/3/2017,New York Yankees,NYY,31,,4,,,
Edgar Olmos,11/15/2016,Boston Red Sox,BAL,27,0,3,,,
Edinson Vólquez,12/1/2016,Miami Marlins,KCR,33,4.1,12,166,282,
Edward Mujica,1/4/2017,Detroit Tigers,MIN,33,-0.4,10,319,11,34
Edwin Encarnación,1/5/2017,Cleveland Indians,TOR,34,12.8,12,1513,5409,137
Edwin Jackson,4/5/2017,Baltimore Orioles,SDP,33,-2.1,14,222,271,62
Efren Navarro,1/4/2017,Detroit Tigers,STL,31,0.2,4,130,256,685.2
Emilio Bonifácio,12/9/2016,Atlanta Braves,ATL,32,-0.1,10,793,2572,
Emmanuel Burriss,12/13/2016,Washington Nationals,PHI,32,-0.5,7,325,768,1275
Eric Fryer,12/12/2016,St. Louis Cardinals,PIT,31,0.4,6,125,256,784.2
Eric Jokisch,2/8/2017,Arizona Diamondbacks,TEX,27,0.2,2,,,
Eric O'Flaherty,12/22/2016,Atlanta Braves,ATL,32,-1.7,11,346,2,
Eric Sogard,12/15/2016,Milwaukee Brewers,OAK,31,1.8,6,435,1210,
Eric Young Jr.,1/24/2017,Los Angeles Angels,NYY,32,0.7,8,563,1506,
Erick Aybar,2/6/2017,San Diego Padres,DET,33,6.2,11,1346,4842,
Erik Davis,11/16/2016,Arizona Diamondbacks,WSN,30,,3,,,32
Erik Johnson,12/11/2016,San Diego Padres,SDP,27,-0.6,4,4,7,
Erik Kratz,12/1/2016,Cleveland Indians,TOR,37,-0.9,7,224,599,
Eury Pérez,12/16/2016,Pittsburgh Pirates,TBR,27,-0.2,4,,,
Fernando Rodney,12/9/2016,Arizona Diamondbacks,MIA,40,1.2,14,129,1,
Fernando Rodriguez Jr.,1/19/2017,Chicago Cubs,OAK,33,1,6,123,4,4.1
Fernando Salas,2/15/2017,New York Mets,NYM,32,0.7,7,210,4,484
Frank Garcés,11/12/2016,Miami Marlins,SDP,27,0,2,,,218
Franklin Gutiérrez,2/20/2017,Los Angeles Dodgers,SEA,34,2.9,11,919,2976,184
Garin Cecchini,12/15/2016,Kansas City Royals,MIL,26,0.2,2,,,
Gavin Floyd,1/6/2017,Toronto Blue Jays,TOR,34,1.3,13,44,75,1149.1
Geovany Soto,1/10/2017,Chicago White Sox,LAA,34,1.5,12,784,2480,555
Gerardo Concepción,12/9/2016,Chicago Cubs,CHC,25,0,1,3,0,
Gordon Beckham,3/31/2017,Seattle Mariners,SFG,30,0.7,8,953,3119,4.2
Grant Green,1/27/2017,Washington Nationals,SFG,29,-0.9,4,127,327,
Grégor Blanco,3/28/2017,Arizona Diamondbacks,SFG,33,1.8,8,902,2516,343.1
Gregorio Petit,1/23/2017,Toronto Blue Jays,LAA,32,0.1,5,171,397,4
Gregory Infante,1/20/2017,Chicago White Sox,PHI,29,,1,0,0,231.2
Guillermo Quiroz,11/15/2016,Cleveland Indians,CLE,35,-0.1,12,,,670.2
Hank Conger,2/9/2017,Arizona Diamondbacks,TBR,29,0.8,7,373,1013,
Héctor Sánchez,12/4/2016,San Diego Padres,SDP,27,-0.5,6,272,646,
Hernán Iribarren,12/2/2016,Cincinnati Reds,CIN,33,0.2,3,48,72,
Hiram Burgos,12/15/2016,Milwaukee Brewers,MIL,29,,3,,,1281
Ian Desmond,12/13/2016,Colorado Rockies,TEX,31,8.3,8,1083,4105,
Irving Falu,1/10/2017,Washington Nationals,KCR,34,-0.3,4,,,
Iván De Jesús,12/12/2016,Milwaukee Brewers,CIN,30,-0.7,4,228,495,0.2
Iván Nova,12/27/2016,Pittsburgh Pirates,PIT,30,1.8,7,21,40,
J.J. Hoover,1/10/2017,Arizona Diamondbacks,CIN,29,-1.4,5,217,0,26.1
J.P. Howell,2/9/2017,Toronto Blue Jays,LAD,34,2.9,11,271,13,
Jackson Williams,1/4/2017,Pittsburgh Pirates,COL,31,0.1,2,,,
Jacob Lindgren,12/4/2016,Atlanta Braves,NYY,24,0,1,,,
Jacob Turner,12/13/2016,Washington Nationals,CHW,26,-2.6,5,53,72,
Jaff Decker,11/22/2016,Oakland Athletics,TBR,27,-1,4,60,111,197
Jake Dunning,3/2/2017,Chicago White Sox,SFG,28,0,3,,,
Jake Elmore,2/9/2017,Toronto Blue Jays,MIL,30,-1.7,5,197,418,52
Jake Goebbert,1/23/2017,Arizona Diamondbacks,TBR,29,-0.1,2,,,223
James Loney,4/12/2017,Detroit Tigers,NYM,33,0.3,11,1443,5023,1190
James Russell,2/15/2017,Cleveland Indians,PHI,31,-0.5,7,373,16,225.1
Jared Hoying,12/13/2016,Texas Rangers,TEX,28,-0.3,1,38,46,
Jarrett Grube,11/28/2016,Toronto Blue Jays,SEA,35,0,2,,,242.1
Jarrod Saltalamacchia,2/6/2017,Toronto Blue Jays,DET,32,0.6,10,880,2820,408.2
Jason Bourgeois,1/7/2017,Chicago White Sox,CHW,35,-0.1,8,,,
Jason Castro,11/30/2016,Minnesota Twins,HOU,30,3.9,6,617,2018,
Jason Hammel,2/8/2017,Kansas City Royals,CHC,34,6.3,11,184,333,227
Javy Guerra,12/16/2016,Miami Marlins,LAA,31,1.2,6,102,0,
Jaye Chapman,1/5/2017,Texas Rangers,TBR,30,,4,,,93.2
JB Shuck,12/17/2016,Minnesota Twins,CHW,30,-1.3,5,363,995,1250
Jean Machi,1/22/2017,Seattle Mariners,SFG,35,1,4,162,5,
Jeff Beliveau,12/19/2016,Toronto Blue Jays,BAL,30,0.3,4,27,0,
Jeff Locke,12/12/2016,Miami Marlins,PIT,29,-0.9,6,120,185,
Jeff Mathis,12/5/2016,Arizona Diamondbacks,MIA,34,-0.1,12,706,2038,
Jemile Weeks,12/14/2016,Chicago Cubs,SDP,30,0.4,6,260,955,
Jered Weaver,2/19/2017,San Diego Padres,LAA,34,2.5,11,20,45,346.2
Jermaine Curtis,12/1/2016,Oakland Athletics,CIN,29,,3,,,546.2
Jerry Blevins,2/9/2017,New York Mets,NYM,33,1,10,154,2,
Jesse Chavez,11/14/2016,Los Angeles Angels,LAD,33,2.4,9,151,11,
Jesús Montero,1/3/2017,Baltimore Orioles,TOR,27,-0.4,5,,,
Jhoulys Chacín,12/20/2016,San Diego Padres,LAA,29,1.1,8,131,221,413.2
Jim Henderson,1/27/2017,Chicago Cubs,NYM,34,-0.5,4,149,0,
Joaquín Benoit,12/6/2016,Philadelphia Phillies,TOR,39,4.8,15,145,9,
Joe Blanton,3/2/2017,Washington Nationals,LAD,36,3.1,12,214,216,
Joe Mantiply,11/29/2016,New York Yankees,NYY,26,-0.2,1,0,0,385.2
Joe Nathan,4/9/2017,Washington Nationals,SFG,42,0.1,16,168,63,
Joe Smith,2/9/2017,Toronto Blue Jays,CHC,33,3.8,10,179,2,104.1
Joey Butler,2/9/2017,Washington Nationals,CLE,31,0.5,3,,,11.2
Joey Terdoslavich,1/18/2017,Pittsburgh Pirates,BAL,28,-0.2,3,,,793.2
John Lamb,11/30/2016,Los Angeles Angels,TBR,26,-1.5,2,22,36,
John Lannan,3/1/2017,Washington Nationals,KCR,32,-0.5,9,,,
Johnny Giavotella,2/2/2017,Baltimore Orioles,LAA,29,1.4,6,353,1236,
Jon Edwards,12/16/2016,San Diego Padres,SDP,29,0,2,13,0,596.2
Jon Jay,11/29/2016,Chicago Cubs,SDP,32,3.9,7,847,2703,
Jon Niese,3/28/2017,New York Yankees,NYM,30,2.7,9,202,347,
Jonathan Diaz,1/27/2017,Toronto Blue Jays,NYY,32,-0.3,3,,,398
Jonny Venters,3/27/2017,Tampa Bay Rays,TBR,32,,3,219,1,
Jordan Schafer,12/12/2016,St. Louis Cardinals,LAD,30,-0.7,7,,,
Jorge De La Rosa,2/19/2017,Arizona Diamondbacks,COL,36,4.9,13,260,378,93.1
Jorge Rondon,12/2/2016,Chicago White Sox,PIT,29,-1,3,5,0,
José Bautista,1/18/2017,Toronto Blue Jays,TOR,36,12.9,13,1519,5139,3.1
José Domínguez,11/4/2016,San Francisco Giants,SDP,26,-0.5,4,44,2,512
José Pirela,12/4/2016,San Diego Padres,SDP,27,-0.8,3,59,137,91.2
Josh Reddick,11/23/2016,Houston Astros,LAD,30,9.1,8,786,2658,490.2
Josh Rutledge,12/8/2016,Boston Red Sox,BOS,28,-0.3,5,333,994,79.2
Josh Thole,3/29/2017,Arizona Diamondbacks,TOR,30,-1.4,8,478,1336,842.2
Josh Zeid,3/21/2017,St. Louis Cardinals,NYM,30,-0.9,3,,,
Joshua Rodriguez,3/29/2017,New York Mets,OAK,32,,5,,,3.1
Josmil Pinto,12/19/2016,San Francisco Giants,MIL,28,0,3,84,250,883.1
Juan Centeno,12/15/2016,Houston Astros,MIN,27,0,4,79,237,
Juan Pérez,12/14/2016,Detroit Tigers,CHC,30,-0.7,3,,,
Junichi Tazawa,12/16/2016,Miami Marlins,BOS,31,1.5,7,16,0,45
Juniel Querecuto,11/17/2016,San Francisco Giants,TBR,24,-0.1,1,4,11,
Junior Lake,12/9/2016,Boston Red Sox,TOR,27,-1.9,4,223,659,
Justin De Fratus,2/18/2017,San Diego Padres,WSN,29,0.2,5,,,
Justin Marks,12/1/2016,Tampa Bay Rays,TBR,29,0.2,2,0,0,
Justin Masterson,3/27/2017,Los Angeles Dodgers,PIT,32,-1.6,8,,,
Justin Miller,11/8/2016,Los Angeles Angels,COL,30,0.4,3,70,3,
Justin Ruggiano,12/16/2016,San Francisco Giants,NYM,35,0,8,464,1280,1
Justin Turner,12/23/2016,Los Angeles Dodgers,LAD,32,12.9,8,704,2070,
Kelvin Marte,12/20/2016,Miami Marlins,PIT,29,-0.2,1,2,0,
Kendrys Morales,11/18/2016,Toronto Blue Jays,KCR,34,2.7,10,1030,3716,25
Kenley Jansen,1/10/2017,Los Angeles Dodgers,LAD,29,5.3,7,391,3,156.2
Kevin Jepsen,2/13/2017,Arizona Diamondbacks,TBR,32,2.4,9,24,0,
Keyvius Sampson,12/21/2016,Arizona Diamondbacks,CIN,26,-1.5,2,31,23,
Koji Uehara,12/14/2016,Chicago Cubs,BOS,42,3.7,8,21,2,312
Kris Medlen,3/29/2017,Atlanta Braves,KCR,31,-0.7,7,149,128,705.2
Kristopher Negrón,11/14/2016,Arizona Diamondbacks,CHC,31,1.5,3,96,241,
Kurt Suzuki,1/30/2017,Atlanta Braves,MIN,33,3.3,10,1208,4191,
Kyle Kendrick,1/18/2017,Boston Red Sox,LAA,32,-0.1,9,247,373,
Kyle Lobstein,11/10/2016,Miami Marlins,BAL,27,0.2,3,13,2,377
Kyle Waldrop,12/20/2016,Seattle Mariners,CIN,25,-0.2,2,16,23,
Lane Adams,12/2/2016,Atlanta Braves,CHC,27,-0.1,1,6,3,351
Lisalverto Bonilla,2/13/2017,Cincinnati Reds,LAD,27,0.4,1,0,0,
Logan Kensing,11/17/2016,Detroit Tigers,DET,34,-0.1,9,130,8,
Logan Morrison,2/7/2017,Tampa Bay Rays,TBR,29,1.7,7,715,2441,11.2
Logan Ondrusek,12/13/2016,Baltimore Orioles,BAL,32,-1.2,6,267,7,14.1
Logan Schafer,11/30/2016,Baltimore Orioles,MIN,30,-0.6,6,318,625,15.2
Logan Watkins,12/19/2016,Detroit Tigers,CHC,27,-0.4,3,,,
Louis Coleman,1/10/2017,Cincinnati Reds,LAD,31,-0.5,6,68,1,
Lucas Harrell,1/30/2017,Toronto Blue Jays,TEX,32,-0.1,6,47,74,
Lucas Luetge,11/25/2016,Cincinnati Reds,LAA,30,0.1,4,4,0,985
Luis Valbuena,1/24/2017,Los Angeles Angels,HOU,31,7.4,9,798,2535,117.2
Madison Younginer,11/17/2016,Los Angeles Dodgers,ATL,26,-0.1,1,8,0,688.1
Maikel Cleto,12/9/2016,Chicago Cubs,ATL,28,-0.3,5,,,
Marc Rzepczynski,12/3/2016,Seattle Mariners,WSN,31,0.7,8,169,1,437.2
Mark Melancon,12/5/2016,San Francisco Giants,WSN,32,7.1,8,372,0,
Mark Reynolds,2/2/2017,Colorado Rockies,COL,33,1,10,1376,4571,
Mark Trumbo,1/20/2017,Baltimore Orioles,BAL,31,3,7,849,3167,
Mat Latos,2/16/2017,Toronto Blue Jays,WSN,29,1,8,174,324,
Matt Albers,4/4/2017,Washington Nationals,CHW,34,0.1,11,85,35,211
Matt Belisle,2/3/2017,Minnesota Twins,WSN,37,2,13,577,89,
Matt Buschmann,2/28/2017,Toronto Blue Jays,ARI,33,0.1,1,3,1,
Matt Carasiti,12/9/2016,Colorado Rockies,COL,25,-0.6,1,19,0,1
Matt den Dekker,11/30/2016,Miami Marlins,WSN,29,1.7,4,154,343,277
Matt Dominguez,12/12/2016,Boston Red Sox,TOR,27,-1.3,5,362,1272,173
Matt Holliday,12/7/2016,New York Yankees,STL,37,4.4,13,1773,6583,323.1
Matt Joyce,11/30/2016,Oakland Athletics,PIT,32,2.4,9,958,2660,378.1
Matt Magill,1/24/2017,San Diego Padres,CIN,27,0,2,11,7,
Matt McBride,11/11/2016,Oakland Athletics,OAK,32,-0.3,4,92,194,
Matt Murton,2/20/2017,Detroit Tigers,CHC,35,,11,,,
Matt Reynolds,12/13/2016,San Francisco Giants,SFG,32,-0.2,6,211,5,
Matt Tracy,1/6/2017,Minnesota Twins,MIA,28,-0.1,1,,,
Matt Tuiasosopo,10/20/2016,Atlanta Braves,ATL,31,0,5,155,360,644.1
Matt Wieters,2/24/2017,Washington Nationals,BAL,31,3.7,8,882,3134,572.2
Mayckol Guaipe,1/27/2017,Chicago White Sox,SEA,26,-0.7,2,2,0,
Michael Bourn,4/11/2017,Baltimore Orioles,BAL,34,1,11,1361,4784,
Michael Choice,5/5/2017,Milwaukee Brewers,CLE,27,-2.1,3,,,
Michael Kirkman,3/17/2017,Atlanta Braves,MIL,30,-0.3,6,6,0,1
Michael McKenry,12/22/2016,Tampa Bay Rays,MIL,32,1.5,7,311,839,117.2
Michael Roth,11/14/2016,San Francisco Giants,TEX,27,-0.8,3,1,0,62
Michael Saunders,1/19/2017,Philadelphia Phillies,TOR,30,3.8,8,702,2237,
Mike Dunn,12/15/2016,Colorado Rockies,MIA,32,0.7,8,409,5,
Mike Napoli,2/16/2017,Texas Rangers,CLE,35,4.6,11,1268,4147,
Mike Olt,2/7/2017,Boston Red Sox,SDP,28,-1.4,4,,,15.2
Mitch Moreland,12/8/2016,Boston Red Sox,TEX,31,2.9,7,773,2496,
Munenori Kawasaki,1/5/2017,Chicago Cubs,CHC,36,1,5,276,633,2.1
Nathan Eovaldi,2/14/2017,Tampa Bay Rays,NYY,27,3.7,6,86,140,18.2
Neal Cotts,1/13/2017,Washington Nationals,TEX,37,0.9,13,,,
Neftalí Feliz,1/19/2017,Milwaukee Brewers,PIT,29,1.3,8,75,2,
Neil Ramírez,5/4/2017,Toronto Blue Jays,MIN,28,1.3,3,76,0,
Nevin Ashley,2/7/2017,Seattle Mariners,TEX,32,-0.2,1,,,
Nick Buss,1/16/2017,San Diego Padres,LAA,30,-0.2,2,44,100,
Nick Greenwood,1/6/2017,Minnesota Twins,MIN,29,-0.2,2,,,
Nick Hundley,1/24/2017,San Francisco Giants,COL,33,2.2,9,746,2458,215
Nick Noonan,2/14/2017,Milwaukee Brewers,SDP,28,-0.9,3,83,145,
Nick Rumbelow,12/15/2016,New York Yankees,NYY,25,0,1,1,0,765.2
Nick Tepesch,1/11/2017,Minnesota Twins,KCR,28,1,3,5,6,46.2
Orlando Calixte,11/11/2016,San Francisco Giants,KCR,25,0,1,2,3,
Osvaldo Martínez,4/4/2017,Chicago Cubs,BAL,29,,6,,,1
Oswaldo Arcia,12/21/2016,Arizona Diamondbacks,SDP,26,-0.9,4,288,983,3
Pat McCoy,2/17/2017,Cleveland Indians,COL,28,0.2,2,,,
Patrick Schuster,11/5/2016,Los Angeles Dodgers,PHI,26,-1,1,6,0,
Paul Janish,2/26/2017,Baltimore Orioles,BAL,34,0.2,8,459,1146,324
Pedro Álvarez,3/13/2017,Baltimore Orioles,BAL,30,0.4,7,851,2837,
Pedro Beato,12/21/2016,Philadelphia Phillies,BAL,30,0.2,4,66,0,1018.1
Pedro Florimón,12/12/2016,Philadelphia Phillies,PIT,30,-0.4,6,256,671,
Peter Bourjos,3/28/2017,Tampa Bay Rays,PHI,30,1,7,713,1840,1
Peter Moylan,2/17/2017,Kansas City Royals,KCR,38,0.8,10,324,7,
Preston Claiborne,2/10/2017,Texas Rangers,SFG,29,0.1,2,7,0,
Quintin Berry,2/9/2017,Minnesota Twins,TOR,32,0,4,125,302,610.1
R.A. Dickey,11/10/2016,Atlanta Braves,TOR,42,5.1,14,107,206,2
